seqnames	start	end	width	strand	Conc	Conc_Grh_control	Conc_Grh_KO	Fold	p.value	FDR
chr3L	3513282	3514991	1710	*	9.23	9.59	8.75	0.84	3.62e-10	2.61e-06
chr2R	10914064	10915694	1631	*	9.42	9.75	8.98	0.77	5.28e-10	3.65e-06
chr3L	18979136	18982370	3235	*	8.74	9.12	8.23	0.89	5.87e-10	3.91e-06
chr3L	9509673	9510094	422	*	4.99	5.92	1.71	4.21	7.47e-10	4.8e-06
chr3L	26488	27211	724	*	5.34	6.32	-0.38	6.7	8.55e-10	5.26e-06
chr2L	498605	500762	2158	*	9.58	9.88	9.19	0.7	8.85e-10	5.26e-06
chr2R	9637260	9638033	774	*	7.76	8.27	6.97	1.31	9.07e-10	5.26e-06
chr2R	7845907	7847418	1512	*	8.43	8.89	7.76	1.14	1.16e-09	6.54e-06
chr3L	1820792	1821498	707	*	6.58	7.23	5.39	1.83	1.45e-09	7.74e-06
chrX	3944278	3947324	3047	*	7.33	6.41	7.89	-1.48	1.46e-09	7.74e-06
chr3L	4055281	4055940	660	*	8.38	8.82	7.75	1.07	2.04e-09	1.05e-05
chr3L	41517	42029	513	*	5.17	6.15	-0.38	6.53	2.33e-09	1.16e-05
chr2R	1698337	1703398	5062	*	9.47	9.04	9.79	-0.76	2.54e-09	1.23e-05
chr3L	29563	30008	446	*	5.16	6.14	-0.38	6.52	2.77e-09	1.31e-05
chr2R	11385953	11387444	1492	*	8.46	8.87	7.89	0.98	3.57e-09	1.63e-05
chr3L	6838377	6840593	2217	*	9.9	9.55	10.19	-0.64	3.62e-09	1.63e-05
chr2L	21923451	21924241	791	*	8.82	9.19	8.32	0.87	5.54e-09	2.43e-05
chr3R	11849657	11850350	694	*	8.84	9.22	8.33	0.9	7.71e-09	3.3e-05
chr3L	19555115	19559021	3907	*	10.24	10.49	9.93	0.57	8.9e-09	3.72e-05
chr3R	3719664	3720665	1002	*	7.49	8	6.69	1.31	1.2e-08	4.92e-05
chr3R	27850866	27853099	2234	*	8.74	9.14	8.19	0.95	1.44e-08	5.75e-05
chr3L	13471970	13473888	1919	*	8.23	7.66	8.64	-0.98	1.59e-08	6.23e-05
chr3L	1827691	1830450	2760	*	8.88	9.25	8.37	0.88	1.81e-08	6.92e-05
chr3R	6659604	6661461	1858	*	9.45	9.76	9.05	0.71	1.92e-08	7.2e-05
chr2R	8671829	8674941	3113	*	10.18	10.46	9.82	0.64	2.27e-08	8.13e-05
chr2R	16519175	16521399	2225	*	9.32	9.63	8.93	0.71	2.32e-08	8.13e-05
chr2R	12195580	12199465	3886	*	9.64	9.96	9.23	0.73	2.33e-08	8.13e-05
chr2L	21863381	21864096	716	*	8.99	9.36	8.49	0.86	2.35e-08	8.13e-05
chrX	5230148	5230854	707	*	5.13	5.96	2.93	3.03	2.45e-08	8.33e-05
chr3L	3511009	3513076	2068	*	9.49	9.78	9.13	0.65	2.53e-08	8.43e-05
chr2R	21093469	21094453	985	*	8.19	8.61	7.61	1	2.9e-08	9.48e-05
chr2R	10938681	10942867	4187	*	10.22	10.47	9.92	0.55	3.07e-08	9.87e-05
chr3L	8231553	8232547	995	*	5.77	6.49	4.25	2.24	3.28e-08	0.000104
chr2L	335070	338188	3119	*	8.55	8.95	8	0.94	3.48e-08	0.000105
chr3R	14888629	14891185	2557	*	9.36	9.66	8.96	0.7	3.52e-08	0.000105
chr3L	15713924	15714691	768	*	6.88	7.43	5.96	1.47	3.54e-08	0.000105
chr3L	3193827	3199926	6100	*	9.67	9.27	9.98	-0.7	3.56e-08	0.000105
chr3L	9374309	9378755	4447	*	10.47	10.15	10.74	-0.58	3.94e-08	0.000114
chr3L	15945530	15946531	1002	*	7.66	8.12	6.97	1.15	4.29e-08	0.000122
chr3L	18945228	18946092	865	*	8.95	9.28	8.51	0.77	4.43e-08	0.000125
chr2R	17453567	17457346	3780	*	8.76	9.12	8.27	0.85	4.75e-08	0.000131
chr3L	34511	35030	520	*	4.74	5.72	-0.38	6.09	5.16e-08	0.000141
chr3L	8997738	8999089	1352	*	10.22	10.49	9.87	0.62	5.3e-08	0.000142
chr3L	12824946	12826156	1211	*	9.71	9.99	9.36	0.63	5.58e-08	0.000148
chr2L	19453908	19455675	1768	*	8.63	8.98	8.17	0.8	6.08e-08	0.000158
chr3R	27496459	27500037	3579	*	9.26	9.55	8.89	0.66	9.05e-08	0.000232
chr2R	7840508	7841329	822	*	6.1	6.79	4.73	2.06	9.54e-08	0.000241
chr3R	25664665	25668602	3938	*	11.32	11.54	11.07	0.47	9.66e-08	0.000241
chr2R	17359702	17360242	541	*	7.17	7.68	6.38	1.29	1.07e-07	0.000264
chr2R	14232949	14234702	1754	*	8.76	9.08	8.33	0.75	1.17e-07	0.000284
chr2R	5169006	5170392	1387	*	9.14	9.46	8.72	0.74	1.31e-07	0.00031
chr2L	13043916	13044569	654	*	9.79	10.06	9.45	0.61	1.32e-07	0.00031
chr2L	6189558	6193224	3667	*	9.24	9.53	8.88	0.65	1.33e-07	0.00031
chr3L	16272914	16273860	947	*	7.96	8.43	7.27	1.15	1.4e-07	0.000322
chr3L	24273594	24273833	240	*	4.48	5.4	1.28	4.12	1.67e-07	0.00038
chr2L	377410	378504	1095	*	9.65	9.91	9.32	0.59	1.72e-07	0.000387
chr3R	3960051	3960551	501	*	7.43	7.93	6.68	1.24	1.8e-07	4e-04
chr3R	16494331	16495548	1218	*	9.27	9.56	8.92	0.64	2.2e-07	0.000477
chr2R	10170356	10172337	1982	*	7.81	8.24	7.2	1.04	2.2e-07	0.000477
chr3R	24601309	24602469	1161	*	7.38	7.87	6.62	1.25	2.34e-07	0.000496
chr2R	11004804	11006895	2092	*	10.06	10.32	9.75	0.57	2.35e-07	0.000496
chr3R	26668157	26670466	2310	*	10.82	11.04	10.55	0.49	2.41e-07	0.000504
chr3R	3820896	3822878	1983	*	8.99	9.3	8.58	0.72	2.57e-07	0.000529
chr3L	0	20021	20022	*	4.47	5.45	-0.38	5.82	2.59e-07	0.000529
chr2R	20673120	20675587	2468	*	9.39	9.69	9.01	0.68	2.72e-07	0.00055
chr2R	19607826	19610861	3036	*	9.5	9.8	9.11	0.68	3.2e-07	0.00064
chrX	12340058	12341892	1835	*	7.64	7	8.08	-1.08	3.56e-07	0.000704
chr3L	7188813	7189515	703	*	5.19	5.96	3.41	2.55	3.68e-07	0.000719
chr2R	19936899	19937990	1092	*	6.64	7.2	5.7	1.5	3.91e-07	0.000752
chr2R	10930505	10932321	1817	*	9.41	9.72	9.02	0.7	3.93e-07	0.000752
chr3L	15933620	15934838	1219	*	8.37	8.74	7.89	0.85	4.1e-07	0.000777
chr2L	18002812	18004340	1529	*	9.74	9.99	9.44	0.55	4.76e-07	0.000892
chrX	16516354	16516852	499	*	8.04	8.44	7.48	0.97	4.98e-07	0.000923
chr3R	20027907	20030374	2468	*	8.86	9.16	8.47	0.7	5.25e-07	0.000964
chr2L	13092507	13094571	2065	*	8.51	8.9	7.97	0.92	5.4e-07	0.000981
chr3L	14356392	14358843	2452	*	8.71	9.07	8.25	0.82	5.81e-07	0.00104
chr2L	13955220	13956590	1371	*	8.86	9.16	8.46	0.7	6.25e-07	0.00111
chr2R	18827883	18831286	3404	*	9.29	9.58	8.93	0.65	6.39e-07	0.00112
chr2L	6019689	6020441	753	*	9.35	9.63	9.02	0.61	6.41e-07	0.00112
chr2L	5077441	5079477	2037	*	8.73	9.05	8.32	0.73	7.17e-07	0.00123
chrX	18186074	18187216	1143	*	8.72	8.31	9.04	-0.73	7.18e-07	0.00123
chr2R	19613422	19615682	2261	*	8.06	8.49	7.45	1.03	7.24e-07	0.00123
chr2L	90183	92669	2487	*	9.43	9.71	9.09	0.62	7.38e-07	0.00124
chr2R	7145539	7147869	2331	*	7.86	8.27	7.28	0.99	9.2e-07	0.00153
chr2R	13366171	13367091	921	*	7.18	7.65	6.47	1.18	1.01e-06	0.00166
chr3L	9760701	9762301	1601	*	9.04	9.37	8.6	0.78	1.06e-06	0.00173
chrX	16515339	16515997	659	*	8.26	8.66	7.7	0.96	1.15e-06	0.00186
chr2R	20128700	20131688	2989	*	10.19	9.9	10.43	-0.53	1.16e-06	0.00186
chr3L	1268938	1269974	1037	*	8.08	8.48	7.52	0.96	1.17e-06	0.00187
chr3R	5451838	5452424	587	*	7.57	8.03	6.89	1.14	1.3e-06	0.00205
chr2R	19705072	19706682	1611	*	9.54	9.8	9.23	0.57	1.34e-06	0.0021
chr3R	20685770	20686807	1038	*	6.35	6.93	5.36	1.57	1.45e-06	0.00225
chr2R	9641986	9644670	2685	*	7.86	8.26	7.3	0.96	1.62e-06	0.00248
chr4	1013377	1014622	1246	*	5.21	5.95	3.63	2.32	1.65e-06	0.00249
chr2R	2351183	2352150	968	*	7.64	8.06	7.05	1.01	1.66e-06	0.00249
chr3R	20351604	20353210	1607	*	7.37	7.82	6.73	1.08	1.66e-06	0.00249
chr3R	12427236	12428425	1190	*	7.62	8.06	6.98	1.08	1.73e-06	0.00257
chr2L	12852433	12853368	936	*	8.05	8.43	7.54	0.89	1.86e-06	0.00275
chr3R	24716189	24723470	7282	*	10.62	10.84	10.37	0.47	1.89e-06	0.00276
chr3R	26638497	26640688	2192	*	7.71	8.12	7.14	0.98	1.93e-06	0.00279
chr2L	22360876	22362048	1173	*	8.82	9.13	8.41	0.72	2.02e-06	0.0029
chr3R	18159623	18160659	1037	*	8.44	8.76	8.02	0.75	2.06e-06	0.00292
chr3R	26394665	26397391	2727	*	10.43	10.64	10.19	0.45	2.07e-06	0.00292
chr2R	20507356	20509299	1944	*	6.75	7.26	5.93	1.33	2.08e-06	0.00292
chr2R	2445304	2452659	7356	*	10.88	11.09	10.64	0.45	2.11e-06	0.00294
chrX	19219907	19220606	700	*	8.12	8.48	7.63	0.85	2.17e-06	0.00301
chr3R	7730229	7731249	1021	*	7.46	7.89	6.83	1.07	2.29e-06	0.00314
chrX	14104276	14106796	2521	*	9.6	9.29	9.86	-0.57	2.31e-06	0.00315
chrX	21459895	21461961	2067	*	8.57	8.08	8.93	-0.86	2.36e-06	0.00319
chr3L	20469922	20477459	7538	*	6.82	6.03	7.32	-1.29	2.4e-06	0.00322
chr3L	9294566	9295628	1063	*	5.28	6.03	3.62	2.4	2.44e-06	0.00325
chr3R	20791344	20792459	1116	*	7.92	8.31	7.38	0.94	2.48e-06	0.00328
chr3R	1188506	1189736	1231	*	9	9.32	8.58	0.74	2.64e-06	0.00347
chr2R	13156675	13157393	719	*	7.79	8.18	7.27	0.91	3.18e-06	0.00415
chr3L	6058720	6060376	1657	*	9.13	9.45	8.73	0.72	3.22e-06	0.00417
chr3L	4500149	4501105	957	*	7.34	7.78	6.7	1.08	3.43e-06	0.0044
chr2L	14023600	14026086	2487	*	10.33	10.54	10.08	0.46	3.45e-06	0.0044
chr3R	10672502	10673660	1159	*	7.67	8.08	7.09	0.99	3.76e-06	0.00476
chr3L	21801	21989	189	*	4.01	4.98	-0.38	5.35	4.3e-06	0.00541
chr2L	5765051	5765671	621	*	7.16	7.62	6.5	1.12	4.58e-06	0.00573
chr3R	27790232	27790779	548	*	6.45	7	5.53	1.48	4.85e-06	0.00602
chr3R	2855735	2856338	604	*	4.48	2.1	5.34	-3.24	5.05e-06	0.00623
chr3R	27761284	27764441	3158	*	11.09	11.27	10.87	0.4	5.29e-06	0.00648
chr3R	10937193	10938540	1348	*	7.23	7.7	6.52	1.19	5.92e-06	0.00719
chrX	7661968	7664073	2106	*	8.38	8.72	7.93	0.78	6.79e-06	0.0082
chr3L	5345022	5347219	2198	*	8.06	7.59	8.41	-0.82	7.01e-06	0.00841
chrUextra	2552660	2553006	347	*	3.9	4.86	-0.38	5.23	7.86e-06	0.00936
chr3R	2739942	2740747	806	*	5.59	4.09	6.31	-2.22	7.95e-06	0.00941
chrX	871242	873139	1898	*	8.89	9.16	8.55	0.62	8.42e-06	0.00989
chr3R	12663124	12663674	551	*	6.44	6.98	5.56	1.42	8.66e-06	0.0101
chr3R	18629352	18630140	789	*	6.76	7.25	6.01	1.24	8.66e-06	0.0101
chr3L	5779412	5781045	1634	*	8.55	8.89	8.1	0.8	9.39e-06	0.0108
chr3R	22952472	22956796	4325	*	9.64	9.87	9.36	0.51	9.89e-06	0.0113
chr3R	27526279	27530393	4115	*	10.52	10.71	10.29	0.43	1.01e-05	0.0115
chr3L	8066001	8066731	731	*	6.88	7.35	6.19	1.16	1.02e-05	0.0115
chr2R	20938548	20941174	2627	*	10.25	10.46	10.01	0.45	1.03e-05	0.0116
chr3L	11045821	11046545	725	*	5.92	6.55	4.76	1.79	1.06e-05	0.0117
chr3L	8636745	8638398	1654	*	8.03	8.4	7.53	0.86	1.06e-05	0.0117
chr3L	6712086	6713183	1098	*	9.2	9.49	8.85	0.64	1.06e-05	0.0117
chr3R	12771203	12772038	836	*	6.83	7.31	6.1	1.21	1.07e-05	0.0118
chr2R	3518791	3521508	2718	*	9	9.27	8.67	0.59	1.08e-05	0.0118
chr3R	21030892	21031957	1066	*	9.59	9.83	9.3	0.53	1.17e-05	0.0126
chr3L	21636710	21638878	2169	*	10.21	10.41	9.97	0.44	1.19e-05	0.0127
chr2R	11400754	11401766	1013	*	9.1	9.4	8.73	0.66	1.2e-05	0.0127
chr3R	14835569	14836766	1198	*	8.31	8.63	7.91	0.73	1.2e-05	0.0127
chr3R	19512301	19512851	551	*	6.67	7.17	5.9	1.27	1.26e-05	0.0133
chr3R	12717854	12718583	730	*	5.65	6.29	4.49	1.79	1.32e-05	0.0139
chrX	5589505	5591771	2267	*	9.06	8.74	9.32	-0.59	1.37e-05	0.0143
chr3R	13262019	13264059	2041	*	6.75	7.24	5.99	1.25	1.38e-05	0.0143
chr2L	13889630	13891672	2043	*	7.11	7.56	6.45	1.11	1.41e-05	0.0146
chr2L	13253146	13253696	551	*	6.52	7.03	5.7	1.33	1.42e-05	0.0146
chr3L	21453193	21454016	824	*	9.21	9.47	8.91	0.56	1.43e-05	0.0146
chrX	10212344	10213792	1449	*	9.42	9.13	9.66	-0.54	1.46e-05	0.0148
chr3L	13938821	13940102	1282	*	7.57	7.95	7.05	0.9	1.46e-05	0.0148
chr3L	21044494	21045734	1241	*	7.32	7.73	6.75	0.98	1.48e-05	0.0148
chr2L	15815048	15815612	565	*	7.43	7.87	6.79	1.07	1.56e-05	0.0156
chr3L	9726490	9727275	786	*	7.11	7.55	6.48	1.07	1.61e-05	0.016
chr2L	3521901	3523647	1747	*	7.19	7.64	6.54	1.1	1.64e-05	0.0162
chr3L	16961940	16964025	2086	*	8.69	8.29	8.99	-0.7	1.66e-05	0.0164
chr2R	6934178	6936632	2455	*	8.57	8.86	8.19	0.67	1.69e-05	0.0165
chr3R	16368300	16370925	2626	*	9.35	9.6	9.06	0.54	1.73e-05	0.0167
chr3L	70072	74581	4510	*	10.67	10.45	10.85	-0.4	1.73e-05	0.0167
chr3R	23001135	23003407	2273	*	9.75	10.01	9.44	0.57	1.77e-05	0.017
chr3L	20346389	20347701	1313	*	6.28	6.84	5.35	1.49	1.81e-05	0.0173
chr2L	6527923	6530695	2773	*	8.31	8.62	7.91	0.71	1.81e-05	0.0173
chrX	20392608	20393563	956	*	5.32	5.99	4.05	1.94	1.96e-05	0.0186
chr3R	3347787	3348148	362	*	7.13	7.57	6.5	1.07	2.07e-05	0.0194
chr2R	19148324	19152990	4667	*	9.14	9.4	8.82	0.59	2.2e-05	0.0206
chr3R	6285048	6286208	1161	*	8.48	8.79	8.09	0.7	2.29e-05	0.0213
chr3R	6286980	6290685	3706	*	9.5	9.73	9.24	0.49	2.38e-05	0.022
chr2R	18284604	18286257	1654	*	10.09	10.3	9.85	0.45	2.39e-05	0.022
chr3R	17776794	17777676	883	*	7.06	7.49	6.44	1.04	2.48e-05	0.0228
chrX	20817699	20818613	915	*	7.9	8.24	7.44	0.81	2.49e-05	0.0228
chr3R	19880900	19883424	2525	*	7.58	7.05	7.98	-0.93	2.52e-05	0.0229
chr3R	25544166	25545157	992	*	6.88	7.33	6.22	1.11	2.55e-05	0.0231
chr2R	18941801	18943847	2047	*	9.71	9.92	9.46	0.46	2.65e-05	0.0237
chr3R	6409390	6416115	6726	*	11.13	11.31	10.93	0.38	2.65e-05	0.0237
chr2L	62338	63029	692	*	5.85	6.45	4.83	1.62	2.68e-05	0.0238
chr3R	1072254	1073190	937	*	8.27	8.58	7.88	0.71	2.73e-05	0.024
chr3R	8841079	8843979	2901	*	10.9	11.11	10.66	0.44	2.73e-05	0.024
chr2R	4064875	4066229	1355	*	9.2	9.45	8.9	0.55	2.74e-05	0.024
chrX	8061704	8062355	652	*	4.98	5.7	3.48	2.22	2.76e-05	0.0241
chr2R	6363560	6364860	1301	*	9.3	9.53	9.02	0.51	2.95e-05	0.0256
chr3L	11624353	11624937	585	*	7.19	7.61	6.6	1.01	3.01e-05	0.026
chr3R	19081166	19084850	3685	*	8.74	9.01	8.41	0.6	3.04e-05	0.0261
chrX	5194121	5197127	3007	*	8.92	9.19	8.59	0.6	3.25e-05	0.0278
chr3L	4348365	4349881	1517	*	8.54	8.83	8.18	0.65	3.26e-05	0.0278
chr3R	23046196	23046816	621	*	8.11	8.43	7.69	0.73	3.3e-05	0.028
chrX	5510769	5511812	1044	*	5.12	5.81	3.79	2.02	3.33e-05	0.0281
chr3RHet	2471207	2472064	858	*	6.8	7.26	6.13	1.13	3.37e-05	0.0283
chr2R	12462293	12465198	2906	*	8.05	8.4	7.58	0.82	3.43e-05	0.0286
chrX	21388552	21390335	1784	*	7.65	7.1	8.05	-0.95	3.44e-05	0.0286
chr3L	15526226	15528812	2587	*	10.59	10.78	10.38	0.4	3.68e-05	0.0304
chr3R	18154626	18156489	1864	*	8.12	8.47	7.66	0.81	3.68e-05	0.0304
chr2L	21245024	21246148	1125	*	8.38	8.67	8.01	0.66	3.79e-05	0.0311
chrX	19857684	19861658	3975	*	7.49	6.93	7.89	-0.96	3.81e-05	0.0311
chrX	21432445	21434907	2463	*	8.24	7.82	8.56	-0.74	3.87e-05	0.0315
chr3L	8811502	8813194	1693	*	9.86	10.07	9.62	0.45	3.89e-05	0.0315
chr3R	2849987	2851070	1084	*	7.66	7.18	8.03	-0.85	3.91e-05	0.0315
chr2R	15709465	15710586	1122	*	9.17	9.45	8.81	0.64	3.93e-05	0.0315
chr3L	12694726	12696658	1933	*	8.26	8.57	7.86	0.71	4.01e-05	0.0321
chr4	93492	94086	595	*	8.59	8.87	8.23	0.64	4.06e-05	0.0322
chr3L	14246273	14247385	1113	*	9.08	9.33	8.78	0.55	4.08e-05	0.0322
chr3L	15951747	15952526	780	*	7.71	8.08	7.21	0.87	4.08e-05	0.0322
chr3R	13045614	13046657	1044	*	6.84	7.32	6.11	1.21	4.15e-05	0.0326
chr3R	6643330	6645482	2153	*	8.28	8.59	7.9	0.69	4.24e-05	0.033
chrX	15535155	15536209	1055	*	8.37	7.99	8.66	-0.67	4.25e-05	0.033
chr2R	5389307	5390788	1482	*	8.91	9.18	8.56	0.62	4.26e-05	0.033
chr3R	12571533	12572248	716	*	6.86	7.33	6.16	1.17	4.35e-05	0.0336
chr3R	17292366	17293428	1063	*	6.64	5.93	7.12	-1.19	4.37e-05	0.0336
chr2L	21764443	21765715	1273	*	7.78	7.31	8.14	-0.83	4.41e-05	0.0336
chr3L	7623028	7624541	1514	*	9.17	9.42	8.86	0.56	4.41e-05	0.0336
chr3L	4270844	4271609	766	*	8.3	8.62	7.88	0.74	4.43e-05	0.0336
chr2L	3351319	3353918	2600	*	9.06	9.33	8.74	0.58	4.52e-05	0.0341
chr3R	3264484	3265550	1067	*	6.95	7.4	6.3	1.1	4.58e-05	0.0344
chr3R	23793639	23794555	917	*	5.83	4.73	6.44	-1.72	4.58e-05	0.0344
chr3R	22288703	22289635	933	*	5.77	6.36	4.73	1.63	4.69e-05	0.035
chr2R	14216717	14219091	2375	*	10.15	9.94	10.34	-0.4	4.74e-05	0.0352
chr2R	12502451	12503398	948	*	8.21	8.55	7.77	0.78	4.8e-05	0.0355
chr2L	22643759	22644871	1113	*	7.09	7.51	6.51	0.99	5.13e-05	0.0378
chrX	5230984	5231806	823	*	6.2	6.73	5.36	1.37	5.37e-05	0.0394
chr3R	12161248	12162181	934	*	9.24	9.49	8.94	0.55	5.4e-05	0.0395
chr2R	11751944	11755095	3152	*	7.63	7.99	7.15	0.84	5.51e-05	0.0401
chr3L	21587292	21588453	1162	*	8.74	8.42	9.01	-0.58	5.6e-05	0.0406
chr3L	8830566	8832794	2229	*	10.48	10.65	10.27	0.38	5.62e-05	0.0406
chrX	19768009	19770206	2198	*	8.29	7.92	8.59	-0.67	5.69e-05	0.0409
chr2R	8675244	8676591	1348	*	8.3	8.59	7.93	0.67	5.82e-05	0.0415
chr3L	22056619	22057509	891	*	7.52	7.89	7.02	0.87	5.82e-05	0.0415
chr3R	19479174	19480423	1250	*	7.31	7.73	6.72	1.01	5.84e-05	0.0415
chr2R	13077756	13078442	687	*	6.71	7.21	5.94	1.27	5.89e-05	0.0417
chr2L	9058196	9058855	660	*	7.59	7.97	7.08	0.89	6.05e-05	0.0426
chr3R	15507516	15508660	1145	*	6.97	6.27	7.44	-1.17	6.1e-05	0.0429
chr3L	4346663	4347801	1139	*	7.64	8.01	7.13	0.89	6.14e-05	0.0429
chr3R	25854524	25855492	969	*	6.52	7	5.79	1.2	6.15e-05	0.0429
chr2R	19264928	19267800	2873	*	6.9	7.35	6.26	1.09	6.34e-05	0.044
chr3R	11863660	11864145	486	*	8.93	9.19	8.6	0.59	6.41e-05	0.0444
chr3L	14149924	14150719	796	*	7.37	7.75	6.84	0.91	6.45e-05	0.0444
chr3L	19192484	19193986	1503	*	7.71	8.1	7.17	0.93	6.48e-05	0.0444
chr3L	20938892	20941060	2169	*	8.47	8.75	8.12	0.63	6.49e-05	0.0444
chr2R	10873353	10874883	1531	*	9.01	9.25	8.72	0.54	6.7e-05	0.0455
chr3R	17062759	17063373	615	*	7.47	7.86	6.94	0.92	6.71e-05	0.0455
chr3R	12142103	12143098	996	*	10.01	10.23	9.76	0.47	6.8e-05	0.0459
chr2R	18923758	18925820	2063	*	7.31	7.71	6.76	0.94	6.81e-05	0.0459
chr3R	21358491	21359265	775	*	8.73	9.01	8.38	0.63	6.94e-05	0.0466
chr2L	1642824	1643350	527	*	6.96	7.38	6.36	1.03	7.33e-05	0.049
chrX	2560682	2561733	1052	*	7.7	7.2	8.06	-0.86	7.35e-05	0.049
chr2R	15533881	15535849	1969	*	9.31	9.76	8.63	1.13	7.45e-05	0.0494
