chrom	start	end	chrom_RNA	start_RNA	end_RNA	gene
chr2L	737733	741094	chr2L	740356	740690	CG3159
chr2L	745062	746194	chr2L	740356	740690	CG3159
chr2L	810076	811076	chr2L	810645	810758	CG31658
chr2L	811031	812031	chr2L	811631	812496	CG3561
chr2L	811083	812083	chr2L	811631	812496	CG3561
chr2L	815450	816450	chr2L	815474	815951	CG3883
chr2L	815450	816450	chr2L	816082	816976	CG3639
chr2L	815492	816492	chr2L	815474	815951	CG3883
chr2L	815492	816492	chr2L	816082	816976	CG3639
chr2L	820921	821921	chr2L	819963	821209	CG3642
chr2L	825361	826361	chr2L	824325	825810	CG3862
chr2L	825361	826361	chr2L	825963	826507	CG3727
chr2L	825468	826468	chr2L	824325	825810	CG3862
chr2L	825468	826468	chr2L	825963	826507	CG3727
chr2L	837700	842164	chr2L	836545	837378	CG3365
chr2L	850201	851201	chr2L	852627	852709	CG4291
chr2L	850571	851571	chr2L	852627	852709	CG4291
chr2L	850663	851663	chr2L	852627	852709	CG4291
chr2L	850750	851750	chr2L	852627	852709	CG4291
chr2L	850815	851815	chr2L	852627	852709	CG4291
chr2L	852230	853230	chr2L	852627	852709	CG4291
chr2L	852230	853230	chr2L	852766	853005	CG3943
chr2L	852267	853267	chr2L	852627	852709	CG4291
chr2L	852267	853267	chr2L	852766	853005	CG3943
chr2L	852347	853347	chr2L	852627	852709	CG4291
chr2L	852347	853347	chr2L	852766	853005	CG3943
chr2L	854039	855039	chr2L	855336	855623	CG13949
chr2L	856139	857139	chr2L	855336	855623	CG13949
chr2L	856902	857902	chr2L	855336	855623	CG13949
chr2L	857041	858041	chr2L	855336	855623	CG13949
chr2L	857132	858132	chr2L	855336	855623	CG13949
chr2L	864865	865865	chr2L	864397	864794	CG4276
chr2L	864993	865993	chr2L	864397	864794	CG4276
chr2L	865361	866361	chr2L	864397	864794	CG4276
chr2L	869357	870357	chr2L	868674	869911	CG4258
chr2L	869964	870964	chr2L	868674	869911	CG4258
chr2L	870594	871594	chr2L	871805	872080	CG33526
chr2L	891881	895484	chr2L	898646	898941	CG4178
chr2L	900816	901816	chr2L	898646	898941	CG4178
chr2L	900990	901990	chr2L	898646	898941	CG4178
chr2L	901154	902154	chr2L	898646	898941	CG4178
chr2L	934240	938307	chr2L	922794	923219	CG4341
chr2L	950916	952302	chr2L	922794	923219	CG4341
chr2L	972448	975463	chr2L	1019267	1019321	CG31795
chr2L	991538	993288	chr2L	1019267	1019321	CG31795
chr2L	1014024	1016405	chr2L	1019267	1019321	CG31795
chr2L	1059900	1061087	chr2L	1061233	1062213	CG4385
chr2L	1061486	1063324	chr2L	1061233	1062213	CG4385
chr2L	1064475	1067196	chr2L	1061233	1062213	CG4385
chr2L	1068855	1071519	chr2L	1077979	1078568	CG4426
chr2L	1072089	1074551	chr2L	1077979	1078568	CG4426
chr2L	1077311	1078311	chr2L	1077979	1078568	CG4426
chr2L	1077315	1078315	chr2L	1077979	1078568	CG4426
chr2L	1077447	1078447	chr2L	1077979	1078568	CG4426
chr2L	1080303	1081303	chr2L	1080912	1081427	CG4428
chr2L	1080410	1081410	chr2L	1080912	1081427	CG4428
chr2L	1088961	1090090	chr2L	1085926	1086026	CG4629
chr2L	1107873	1108873	chr2L	1108015	1108369	CG4644
chr2L	1107873	1108873	chr2L	1108538	1109895	CG14339
chr2L	1108039	1109039	chr2L	1108015	1108369	CG4644
chr2L	1108039	1109039	chr2L	1108538	1109895	CG14339
chr2L	1118531	1119531	chr2L	1117443	1117516	CG4710
chr2L	1120853	1123606	chr2L	1117443	1117516	CG4710
chr2L	1124197	1127842	chr2L	1129234	1129505	CG4552
chr2L	1128453	1129453	chr2L	1129234	1129505	CG4552
chr2L	1128815	1129815	chr2L	1129234	1129505	CG4552
chr2L	1136180	1138369	chr2L	1134701	1135081	CG4577
chr2L	1142368	1143368	chr2L	1143202	1143410	CG4726
chr2L	1142700	1143700	chr2L	1143202	1143410	CG4726
chr2L	1142716	1143716	chr2L	1143202	1143410	CG4726
chr2L	1144403	1145644	chr2L	1143202	1143410	CG4726
chr2L	1150177	1151177	chr2L	1150616	1150673	CG5041
chr2L	1150177	1151177	chr2L	1150782	1151764	CG4764
chr2L	1150265	1151265	chr2L	1150616	1150673	CG5041
chr2L	1150265	1151265	chr2L	1150782	1151764	CG4764
chr2L	1157762	1158762	chr2L	1158678	1159467	CG4775
chr2L	1158075	1159075	chr2L	1158678	1159467	CG4775
chr2L	1158160	1159160	chr2L	1158678	1159467	CG4775
chr2L	1161029	1162281	chr2L	1161926	1162146	CG5080
chr2L	1169442	1170442	chr2L	1169627	1170079	CG5105
chr2L	1169442	1170442	chr2L	1170233	1170363	CG31922
chr2L	1169579	1170579	chr2L	1169627	1170079	CG5105
chr2L	1169579	1170579	chr2L	1170233	1170363	CG31922
chr2L	1169680	1170680	chr2L	1169627	1170079	CG5105
chr2L	1169680	1170680	chr2L	1170233	1170363	CG31922
chr2L	1169865	1170865	chr2L	1169627	1170079	CG5105
chr2L	1169865	1170865	chr2L	1170233	1170363	CG31922
chr2L	1172305	1173305	chr2L	1172022	1172745	CG5118
chr2L	1172305	1173305	chr2L	1173010	1173319	CG4887
chr2L	1172508	1173508	chr2L	1172022	1172745	CG5118
chr2L	1172508	1173508	chr2L	1173010	1173319	CG4887
chr2L	1176996	1177996	chr2L	1178107	1178467	CG4896
chr2L	1177089	1178089	chr2L	1178107	1178467	CG4896
chr2L	1177189	1178189	chr2L	1178107	1178467	CG4896
chr2L	1183520	1184520	chr2L	1183528	1184021	CG5126
chr2L	1183520	1184520	chr2L	1184087	1184254	CG4947
chr2L	1183564	1184564	chr2L	1183528	1184021	CG5126
chr2L	1183564	1184564	chr2L	1184087	1184254	CG4947
chr2L	1185256	1186256	chr2L	1186255	1186452	CG5001
chr2L	1185394	1186394	chr2L	1186255	1186452	CG5001
chr2L	1185753	1186753	chr2L	1186255	1186452	CG5001
chr2L	1239535	1240535	chr2L	1240037	1240970	CG5397
chr2L	1291698	1293737	chr2L	1256825	1256945	CG5423
chr2L	1298173	1300788	chr2L	1329160	1329324	CG5430
chr2L	1313780	1317291	chr2L	1329160	1329324	CG5430
chr2L	1362318	1366255	chr2L	1361640	1361732	CG33126
chr2L	1368550	1369550	chr2L	1368101	1368313	CG14346
chr2L	1389325	1398328	chr2L	1368101	1368313	CG14346
chr2L	1398889	1401068	chr2L	1419903	1420449	CG5481
chr2L	1401834	1404351	chr2L	1419903	1420449	CG5481
chr2L	1405090	1406019	chr2L	1419903	1420449	CG5481
chr2L	1409511	1411094	chr2L	1419903	1420449	CG5481
chr2L	1412692	1413869	chr2L	1419903	1420449	CG5481
chr2L	1414467	1415501	chr2L	1419903	1420449	CG5481
chr2L	1419953	1420953	chr2L	1419903	1420449	CG5481
chr2L	1424773	1425666	chr2L	1419903	1420449	CG5481
chr2L	1425988	1427847	chr2L	1419903	1420449	CG5481
chr2L	1432210	1433210	chr2L	1419903	1420449	CG5481
chr2L	1432421	1433421	chr2L	1419903	1420449	CG5481
chr2L	1433663	1434350	chr2L	1419903	1420449	CG5481
chr2L	1434560	1437713	chr2L	1419903	1420449	CG5481
chr2L	1439330	1440696	chr2L	1419903	1420449	CG5481
chr2L	1444491	1448486	chr2L	1419903	1420449	CG5481
chr2L	1448881	1450435	chr2L	1419903	1420449	CG5481
chr2L	1455013	1457764	chr2L	1492313	1493570	CG31928
chr2L	1458178	1459709	chr2L	1492313	1493570	CG31928
chr2L	1460384	1462590	chr2L	1492313	1493570	CG31928
chr2L	1462999	1466081	chr2L	1492313	1493570	CG31928
chr2L	1470290	1470894	chr2L	1492313	1493570	CG31928
chr2L	1473187	1474468	chr2L	1492313	1493570	CG31928
chr2L	1476527	1477239	chr2L	1492313	1493570	CG31928
chr2L	1477977	1479034	chr2L	1492313	1493570	CG31928
chr2L	1485465	1486362	chr2L	1492313	1493570	CG31928
chr2L	1502404	1503404	chr2L	1502610	1502903	CG7420
chr2L	1503704	1504704	chr2L	1502610	1502903	CG7420
chr2L	1537704	1538863	chr2L	1522690	1522830	CG4231
chr2L	1543213	1544786	chr2L	1555158	1555211	CG14351
chr2L	1554628	1555628	chr2L	1555158	1555211	CG14351
chr2L	1556647	1557331	chr2L	1555158	1555211	CG14351
chr2L	1559475	1561303	chr2L	1555158	1555211	CG14351
chr2L	1568108	1570868	chr2L	1555158	1555211	CG14351
chr2L	1573553	1574489	chr2L	1586851	1587155	CG10869
chr2L	1598931	1606057	chr2L	1609754	1611125	CG31935
chr2L	1610657	1611657	chr2L	1609754	1611125	CG31935
chr2L	1610657	1611657	chr2L	1611420	1611868	CG14352
chr2L	1610909	1611909	chr2L	1609754	1611125	CG31935
chr2L	1610909	1611909	chr2L	1611420	1611868	CG14352
chr2L	1612195	1613195	chr2L	1611420	1611868	CG14352
chr2L	1613660	1614660	chr2L	1613982	1614182	CG7361
chr2L	1642735	1645043	chr2L	1613982	1614182	CG7361
chr2L	1647505	1650444	chr2L	1613982	1614182	CG7361
chr2L	1650757	1651757	chr2L	1613982	1614182	CG7361
chr2L	1654120	1655831	chr2L	1690116	1690755	CG31666
chr2L	1656637	1660981	chr2L	1690116	1690755	CG31666
chr2L	1661889	1664096	chr2L	1690116	1690755	CG31666
chr2L	1665219	1666334	chr2L	1690116	1690755	CG31666
chr2L	1667346	1668346	chr2L	1690116	1690755	CG31666
chr2L	1671897	1675470	chr2L	1690116	1690755	CG31666
chr2L	1704182	1705182	chr2L	1704903	1705114	CG17158
chr2L	1704401	1705401	chr2L	1704903	1705114	CG17158
chr2L	1704630	1705630	chr2L	1704903	1705114	CG17158
chr2L	1709921	1710921	chr2L	1710207	1710415	CG17660
chr2L	1709921	1710921	chr2L	1710465	1710537	CG17642
chr2L	1709961	1710961	chr2L	1710207	1710415	CG17660
chr2L	1709961	1710961	chr2L	1710465	1710537	CG17642
chr2L	1710801	1711801	chr2L	1710465	1710537	CG17642
chr2L	1710865	1711865	chr2L	1710465	1710537	CG17642
chr2L	1715351	1716351	chr2L	1715138	1715861	CG17657
chr2L	1715743	1716743	chr2L	1715138	1715861	CG17657
chr2L	1723888	1724888	chr2L	1723881	1724391	CG18317
chr2L	1724267	1725267	chr2L	1723881	1724391	CG18317
chr2L	1724267	1725267	chr2L	1724970	1726655	CG17654
chr2L	1724473	1725473	chr2L	1724970	1726655	CG17654
chr2L	1724559	1725559	chr2L	1724970	1726655	CG17654
chr2L	1727217	1728217	chr2L	1728734	1729527	CG31938
chr2L	1727963	1728963	chr2L	1728734	1729527	CG31938
chr2L	1728231	1729231	chr2L	1728734	1729527	CG31938
chr2L	1729075	1730075	chr2L	1728734	1729527	CG31938
chr2L	1729075	1730075	chr2L	1729945	1731072	CG31937
chr2L	1729136	1730136	chr2L	1728734	1729527	CG31938
chr2L	1729136	1730136	chr2L	1729945	1731072	CG31937
chr2L	1729262	1730262	chr2L	1728734	1729527	CG31938
chr2L	1729262	1730262	chr2L	1729945	1731072	CG31937
chr2L	1729386	1730386	chr2L	1728734	1729527	CG31938
chr2L	1729386	1730386	chr2L	1729945	1731072	CG31937
chr2L	1731856	1732856	chr2L	1732143	1732263	CG17652
chr2L	1732023	1733023	chr2L	1732143	1732263	CG17652
chr2L	1739875	1740662	chr2L	1741659	1742076	CG17646
chr2L	1741488	1745394	chr2L	1741659	1742076	CG17646
chr2L	1751622	1752622	chr2L	1750686	1752116	CG17712
chr2L	1751622	1752622	chr2L	1752348	1752851	CG17648
chr2L	1751807	1752807	chr2L	1750686	1752116	CG17712
chr2L	1751807	1752807	chr2L	1752348	1752851	CG17648
chr2L	1752348	1753348	chr2L	1752348	1752851	CG17648
chr2L	1848548	1854535	chr2L	1836629	1836652	CG31665
chr2L	1855271	1857399	chr2L	1869866	1870956	CG7295
chr2L	1863609	1868227	chr2L	1869866	1870956	CG7295
chr2L	1882685	1883685	chr2L	1883735	1884056	CG15358
chr2L	1884121	1885121	chr2L	1883735	1884056	CG15358
chr2L	1902488	1903834	chr2L	1883735	1884056	CG15358
chr2L	1911241	1912241	chr2L	1932055	1932147	CG7337
chr2L	1914963	1922873	chr2L	1932055	1932147	CG7337
chr2L	1930580	1932819	chr2L	1932055	1932147	CG7337
chr2L	1933076	1935846	chr2L	1932055	1932147	CG7337
chr2L	1954053	1955053	chr2L	1954313	1954519	CG31670
chr2L	1959320	1962630	chr2L	1954313	1954519	CG31670
chr2L	1969862	1970862	chr2L	1974144	1974480	CG10908
chr2L	1972570	1973553	chr2L	1974144	1974480	CG10908
chr2L	1973456	1974456	chr2L	1974144	1974480	CG10908
chr2L	1973611	1974611	chr2L	1974144	1974480	CG10908
chr2L	1980255	1981255	chr2L	1980551	1980612	CG15356
chr2L	1980675	1981675	chr2L	1981309	1981583	CG15362
chr2L	1981599	1982599	chr2L	1982233	1982498	CG7289
chr2L	1981716	1982716	chr2L	1982233	1982498	CG7289
chr2L	1986455	1987455	chr2L	1985781	1985883	CG4233
chr2L	1987258	1988258	chr2L	1988290	1988949	CG7291
chr2L	1987789	1988789	chr2L	1988290	1988949	CG7291
chr2L	1988440	1989440	chr2L	1988290	1988949	CG7291
chr2L	1988949	1989949	chr2L	1988290	1988949	CG7291
chr2L	1999557	2000557	chr2L	2005560	2005615	CG33543
chr2L	2008466	2009466	chr2L	2008529	2008541	CG15361
chr2L	2008572	2009572	chr2L	2008529	2008541	CG15361
chr2L	2009358	2010358	chr2L	2008529	2008541	CG15361
chr2L	2024811	2029160	chr2L	2026767	2027210	CG4238
chr2L	2030809	2032377	chr2L	2026767	2027210	CG4238
chr2L	2037213	2038213	chr2L	2036461	2037247	CG15378
chr2L	2038027	2039027	chr2L	2036461	2037247	CG15378
chr2L	2044881	2045881	chr2L	2045524	2045641	CG31672
chr2L	2044993	2045993	chr2L	2045524	2045641	CG31672
chr2L	2064552	2069302	chr2L	2054588	2055112	CG15377
chr2L	2119772	2122905	chr2L	2129132	2129211	CG4259
chr2L	2126808	2127808	chr2L	2129132	2129211	CG4259
chr2L	2127711	2128711	chr2L	2129132	2129211	CG4259
chr2L	2130312	2131312	chr2L	2130814	2131254	CG7254
chr2L	2146775	2147775	chr2L	2146885	2147287	CG11723
chr2L	2146775	2147775	chr2L	2147518	2148589	CG7261
chr2L	2147017	2148017	chr2L	2146885	2147287	CG11723
chr2L	2147017	2148017	chr2L	2147518	2148589	CG7261
chr2L	2151164	2152164	chr2L	2151663	2152146	CG7263
chr2L	2151253	2152253	chr2L	2151663	2152146	CG7263
chr2L	2161027	2162027	chr2L	2159311	2160582	CG3166
chr2L	2174317	2176671	chr2L	2159311	2160582	CG3166
chr2L	2178254	2179254	chr2L	2192146	2192372	CG10874
chr2L	2181461	2182461	chr2L	2192146	2192372	CG10874
chr2L	2184995	2185995	chr2L	2192146	2192372	CG10874
chr2L	2188119	2189119	chr2L	2192146	2192372	CG10874
chr2L	2188905	2189905	chr2L	2192146	2192372	CG10874
chr2L	2189413	2190413	chr2L	2192146	2192372	CG10874
chr2L	2189690	2190690	chr2L	2192146	2192372	CG10874
chr2L	2191886	2192886	chr2L	2192146	2192372	CG10874
chr2L	2192024	2193024	chr2L	2192146	2192372	CG10874
chr2L	2192024	2193024	chr2L	2192974	2193010	CG34172
chr2L	2192463	2193463	chr2L	2192974	2193010	CG34172
chr2L	2193976	2197136	chr2L	2192974	2193010	CG34172
chr2L	2197412	2198412	chr2L	2192974	2193010	CG34172
chr2L	2199889	2201610	chr2L	2205933	2206028	CG31668
chr2L	2203220	2204220	chr2L	2205933	2206028	CG31668
chr2L	2215811	2216811	chr2L	2215514	2216298	CG10880
chr2L	2216002	2217002	chr2L	2215514	2216298	CG10880
chr2L	2216746	2217746	chr2L	2217012	2217168	CG15386
chr2L	2216746	2217746	chr2L	2217362	2217544	CG7074
chr2L	2216789	2217789	chr2L	2217012	2217168	CG15386
chr2L	2216789	2217789	chr2L	2217362	2217544	CG7074
chr2L	2220125	2221125	chr2L	2223704	2224526	CG7082
chr2L	2220247	2221247	chr2L	2223704	2224526	CG7082
chr2L	2221588	2222588	chr2L	2223704	2224526	CG7082
chr2L	2225794	2226794	chr2L	2225548	2226001	CG15387
chr2L	2225794	2226794	chr2L	2226522	2227281	CG7085
chr2L	2225841	2226841	chr2L	2225548	2226001	CG15387
chr2L	2225841	2226841	chr2L	2226522	2227281	CG7085
chr2L	2226020	2227020	chr2L	2226522	2227281	CG7085
chr2L	2226252	2227252	chr2L	2226522	2227281	CG7085
chr2L	2227104	2228104	chr2L	2226522	2227281	CG7085
chr2L	2241877	2242877	chr2L	2242377	2242591	CG4267
chr2L	2316888	2319035	chr2L	2311692	2312179	CG33955
chr2L	2348806	2351194	chr2L	2361159	2361585	CG3664
chr2L	2356856	2357856	chr2L	2361159	2361585	CG3664
chr2L	2357667	2358667	chr2L	2361159	2361585	CG3664
chr2L	2362281	2363281	chr2L	2361159	2361585	CG3664
chr2L	2363004	2364004	chr2L	2361159	2361585	CG3664
chr2L	2364221	2365221	chr2L	2366274	2368213	CG4272
chr2L	2364454	2365454	chr2L	2366274	2368213	CG4272
chr2L	2364773	2365773	chr2L	2366274	2368213	CG4272
chr2L	2364844	2365844	chr2L	2366274	2368213	CG4272
chr2L	2365093	2366093	chr2L	2366274	2368213	CG4272
chr2L	2371024	2372024	chr2L	2371047	2371524	CG3597
chr2L	2373561	2374561	chr2L	2374488	2374511	CG3609
chr2L	2374127	2375127	chr2L	2374488	2374511	CG3609
chr2L	2374127	2375127	chr2L	2374688	2374809	CG15390
chr2L	2374212	2375212	chr2L	2374488	2374511	CG3609
chr2L	2374212	2375212	chr2L	2374688	2374809	CG15390
chr2L	2374454	2375454	chr2L	2374488	2374511	CG3609
chr2L	2374454	2375454	chr2L	2374688	2374809	CG15390
chr2L	2377476	2379298	chr2L	2377131	2378275	CG9866
chr2L	2379768	2380768	chr2L	2381139	2382296	CG9867
chr2L	2380006	2381006	chr2L	2381139	2382296	CG9867
chr2L	2380596	2381596	chr2L	2381139	2382296	CG9867
chr2L	2382573	2383573	chr2L	2383298	2384043	CG9870
chr2L	2382701	2383701	chr2L	2383298	2384043	CG9870
chr2L	2414822	2415822	chr2L	2416435	2416656	CG31948
chr2L	2414858	2415858	chr2L	2416435	2416656	CG31948
chr2L	2414933	2415933	chr2L	2416435	2416656	CG31948
chr2L	2420329	2421329	chr2L	2420807	2422029	CG9886
chr2L	2427381	2428381	chr2L	2420807	2422029	CG9886
chr2L	2427871	2428871	chr2L	2420807	2422029	CG9886
chr2L	2429303	2435383	chr2L	2420807	2422029	CG9886
chr2L	2436037	2437177	chr2L	2420807	2422029	CG9886
chr2L	2437604	2440005	chr2L	2455056	2455938	CG9885
chr2L	2440517	2442514	chr2L	2455056	2455938	CG9885
chr2L	2443227	2445432	chr2L	2455056	2455938	CG9885
chr2L	2450728	2451728	chr2L	2455056	2455938	CG9885
chr2L	2454236	2455236	chr2L	2455056	2455938	CG9885
chr2L	2459961	2463789	chr2L	2455056	2455938	CG9885
chr2L	2465913	2468839	chr2L	2455056	2455938	CG9885
chr2L	2469669	2470604	chr2L	2455056	2455938	CG9885
chr2L	2471143	2472143	chr2L	2455056	2455938	CG9885
chr2L	2477426	2478839	chr2L	2489753	2490119	CG15393
chr2L	2480172	2487628	chr2L	2489753	2490119	CG15393
