chrom	txStart	txStart_plus1	paste_locus
chr4	962340	962341	chr4_962340_978489
chr4	975167	975168	chr4_975167_975810
chr4	975167	975168	chr4_975167_977261
chr4	976794	976795	chr4_976794_977261
chr4	989724	989725	chr4_989724_1006288
chr4	989724	989725	chr4_989724_1007922
chr4	1009894	1009895	chr4_1009894_1027101
chr4	1013403	1013404	chr4_1013403_1027101
chr4	1013403	1013404	chr4_1013403_1027101
chr4	1013632	1013633	chr4_1013632_1027101
chr4	1027862	1027863	chr4_1027862_1029359
chr4	1028280	1028281	chr4_1028280_1029359
chr4	1028674	1028675	chr4_1028674_1029361
chr4	1029710	1029711	chr4_1029710_1030975
chr4	1029710	1029711	chr4_1029710_1031676
chr4	1029710	1029711	chr4_1029710_1031757
chr4	1031483	1031484	chr4_1031483_1034557
chr4	1031863	1031864	chr4_1031863_1034557
chr4	1031863	1031864	chr4_1031863_1034917
chr4	1057364	1057365	chr4_1057364_1060918
chr4	1057364	1057365	chr4_1057364_1060918
chr4	1057364	1057365	chr4_1057364_1065001
chr4	1057364	1057365	chr4_1057364_1065001
chr4	1060968	1060969	chr4_1060968_1076204
chr4	1062677	1062678	chr4_1062677_1076204
chr4	1064905	1064906	chr4_1064905_1076204
chr4	1064905	1064906	chr4_1064905_1077273
chr4	1077330	1077331	chr4_1077330_1084796
chr4	1088797	1088798	chr4_1088797_1110974
chr4	1088797	1088798	chr4_1088797_1113317
chr4	1098524	1098525	chr4_1098524_1113317
chr4	1112873	1112874	chr4_1112873_1122965
chr4	1115078	1115079	chr4_1115078_1122965
chr4	1115254	1115255	chr4_1115254_1123357
chr4	1124166	1124167	chr4_1124166_1125113
chr4	1124166	1124167	chr4_1124166_1125325
chr4	1126601	1126602	chr4_1126601_1135094
chr4	1126601	1126602	chr4_1126601_1135914
chr4	1126601	1126602	chr4_1126601_1137919
chr4	1137829	1137830	chr4_1137829_1146121
chr4	1137829	1137830	chr4_1137829_1146529
chr4	1137829	1137830	chr4_1137829_1162158
chr4	1147465	1147466	chr4_1147465_1169239
chr4	1185767	1185768	chr4_1185767_1192537
chr4	1185767	1185768	chr4_1185767_1192694
chr4	1186114	1186115	chr4_1186114_1192985
chr4	1192418	1192419	chr4_1192418_1196848
chr4	1198851	1198852	chr4_1198851_1224467
chr4	1198857	1198858	chr4_1198857_1223450
chr4	1198857	1198858	chr4_1198857_1224467
chr4	1219039	1219040	chr4_1219039_1223450
chr4	1225088	1225089	chr4_1225088_1230713
chr4	1225736	1225737	chr4_1225736_1230713
chr4	1230836	1230837	chr4_1230836_1271759
chr4	1231882	1231883	chr4_1231882_1271759
chrM	239	240	chrM_239_1263
chrM	1473	1474	chrM_1473_3009
chrM	3082	3083	chrM_3082_3767
chrM	3906	3907	chrM_3906_4068
chrM	4061	4062	chrM_4061_4736
chrM	4735	4736	chrM_4735_5524
chrM	5607	5608	chrM_5607_5961
chrM	6408	6409	chrM_6408_8125
chrM	8206	8207	chrM_8206_9545
chrM	9544	9545	chrM_9544_9835
chrM	9970	9971	chrM_9970_10495
chrM	10498	10499	chrM_10498_11635
chrM	11720	11721	chrM_11720_12659
chrX	8385780	8385781	chrX_8385780_8389504
chrX	16752188	16752189	chrX_16752188_16781074
chrX	16752188	16752189	chrX_16752188_16782545
chrX	16752188	16752189	chrX_16752188_16783434
chrX	1047241	1047242	chrX_1047241_1088866
chrX	2094233	2094234	chrX_2094233_2113664
chrX	2094233	2094234	chrX_2094233_2115701
chrX	3134869	3134870	chrX_3134869_3171682
chrX	3134869	3134870	chrX_3134869_3172221
chrX	4132886	4132887	chrX_4132886_4206093
chrX	4134382	4134383	chrX_4134382_4206093
chrX	4135869	4135870	chrX_4135869_4206093
chrX	4139052	4139053	chrX_4139052_4206093
chrX	4140174	4140175	chrX_4140174_4206093
chrX	5085758	5085759	chrX_5085758_5250952
chrX	5085758	5085759	chrX_5085758_5254864
chrX	5085758	5085759	chrX_5085758_5254864
chrX	5085758	5085759	chrX_5085758_5254864
chrX	5165309	5165310	chrX_5165309_5254864
chrX	5165309	5165310	chrX_5165309_5254864
chrX	6291302	6291303	chrX_6291302_6293153
chrX	6291302	6291303	chrX_6291302_6294177
chrX	7166450	7166451	chrX_7166450_7405797
chrX	7167731	7167732	chrX_7167731_7405797
chrX	7281088	7281089	chrX_7281088_7405797
chrX	7337351	7337352	chrX_7337351_7342731
chrX	7337351	7337352	chrX_7337351_7342731
chrX	7337705	7337706	chrX_7337705_7342731
chrX	9358495	9358496	chrX_9358495_9500129
chrX	9359849	9359850	chrX_9359849_9495899
chrX	9359849	9359850	chrX_9359849_9496189
chrX	9359849	9359850	chrX_9359849_9500129
chrX	10482027	10482028	chrX_10482027_10486632
chrX	10482027	10482028	chrX_10482027_10487205
chrX	11493134	11493135	chrX_11493134_11555045
chrX	11493818	11493819	chrX_11493818_11555045
chrX	12569168	12569169	chrX_12569168_12583193
chrX	12569750	12569751	chrX_12569750_12583193
chrX	12571210	12571211	chrX_12571210_12583193
chrX	13624744	13624745	chrX_13624744_13663657
chrX	13624744	13624745	chrX_13624744_13663657
chrX	13624744	13624745	chrX_13624744_13663657
chrX	14679567	14679568	chrX_14679567_14680931
chrX	14679567	14679568	chrX_14679567_14681418
chrX	15712627	15712628	chrX_15712627_15731488
chrX	15712627	15712628	chrX_15712627_15731935
chrX	15713640	15713641	chrX_15713640_15731488
chrX	17820763	17820764	chrX_17820763_17827564
chrX	17820774	17820775	chrX_17820774_17827520
chrX	18863949	18863950	chrX_18863949_18880636
chrX	18863949	18863950	chrX_18863949_18884075
chrX	23068300	23068301	chrX_23068300_23080765
chrX	23068300	23068301	chrX_23068300_23081144
chrX	127448	127449	chrX_127448_140340
chrX	127452	127453	chrX_127452_140340
chrX	131034	131035	chrX_131034_139046
chrX	258334	258335	chrX_258334_263995
chrX	258334	258335	chrX_258334_263999
chrX	258464	258465	chrX_258464_267253
chrX	316575	316576	chrX_316575_428251
chrX	316575	316576	chrX_316575_470726
chrX	391834	391835	chrX_391834_393227
chrX	509434	509435	chrX_509434_528028
chrX	648482	648483	chrX_648482_656033
chrX	784745	784746	chrX_784745_788046
chrX	784745	784746	chrX_784745_788215
chrX	808216	808217	chrX_808216_927975
chrX	1289716	1289717	chrX_1289716_1322362
chrX	1409068	1409069	chrX_1409068_1451367
chrX	1411725	1411726	chrX_1411725_1453686
chrX	1413800	1413801	chrX_1413800_1451367
chrX	1523553	1523554	chrX_1523553_1618155
chrX	1552278	1552279	chrX_1552278_1618155
chrX	1552278	1552279	chrX_1552278_1668788
chrX	1773718	1773719	chrX_1773718_1852933
chrX	1824161	1824162	chrX_1824161_1852933
chrX	1824942	1824943	chrX_1824942_1852933
chrX	1825062	1825063	chrX_1825062_1852933
chrX	1827346	1827347	chrX_1827346_1852933
chrX	1831302	1831303	chrX_1831302_1852933
chrX	1941939	1941940	chrX_1941939_2005462
chrX	1941939	1941940	chrX_1941939_2005462
chrX	1941939	1941940	chrX_1941939_2005462
chrX	1941939	1941940	chrX_1941939_2005462
chrX	1941939	1941940	chrX_1941939_2005462
chrX	1941939	1941940	chrX_1941939_2005462
chrX	1941939	1941940	chrX_1941939_2007956
chrX	2225295	2225296	chrX_2225295_2237961
chrX	2225295	2225296	chrX_2225295_2238045
chrX	2344948	2344949	chrX_2344948_2366356
chrX	2345265	2345266	chrX_2345265_2366356
chrX	2470459	2470460	chrX_2470459_2505550
chrX	2470459	2470460	chrX_2470459_2517647
chrX	2470459	2470460	chrX_2470459_2545410
chrX	2476258	2476259	chrX_2476258_2545410
chrX	2479616	2479617	chrX_2479616_2545410
chrX	2619798	2619799	chrX_2619798_2622140
chrX	2740383	2740384	chrX_2740383_3132791
chrX	2740804	2740805	chrX_2740804_3132791
chrX	2740804	2740805	chrX_2740804_3134532
chrX	2882225	2882226	chrX_2882225_2883661
chrX	2882225	2882226	chrX_2882225_2883661
chrX	2989050	2989051	chrX_2989050_3132791
chrX	3176439	3176440	chrX_3176439_3339327
chrX	3176439	3176440	chrX_3176439_3343767
chrX	3176439	3176440	chrX_3176439_3343767
chrX	3256067	3256068	chrX_3256067_3339327
chrX	3256067	3256068	chrX_3256067_3343767
chrX	3256067	3256068	chrX_3256067_3343767
chrX	3373158	3373159	chrX_3373158_3522787
chrX	3387943	3387944	chrX_3387943_3448943
chrX	3392396	3392397	chrX_3392396_3445094
chrX	3392485	3392486	chrX_3392485_3440146
chrX	3392485	3392486	chrX_3392485_3448943
chrX	3511336	3511337	chrX_3511336_3571649
chrX	3668836	3668837	chrX_3668836_3671502
chrX	3668900	3668901	chrX_3668900_3671488
chrX	3799149	3799150	chrX_3799149_3801570
chrX	3931999	3932000	chrX_3931999_3936227
chrX	3932155	3932156	chrX_3932155_3936227
chrX	3932155	3932156	chrX_3932155_3936469
chrX	4062858	4062859	chrX_4062858_4064506
chrX	4322625	4322626	chrX_4322625_4364879
chrX	4322625	4322626	chrX_4322625_4365408
chrX	4323608	4323609	chrX_4323608_4365408
chrX	4387675	4387676	chrX_4387675_4611385
chrX	4412855	4412856	chrX_4412855_4484452
chrX	4413461	4413462	chrX_4413461_4484452
chrX	4413461	4413462	chrX_4413461_4484452
chrX	4413461	4413462	chrX_4413461_4485647
chrX	4427134	4427135	chrX_4427134_4484452
chrX	4427134	4427135	chrX_4427134_4485647
chrX	4707915	4707916	chrX_4707915_4728744
chrX	4707915	4707916	chrX_4707915_4729487
chrX	4708747	4708748	chrX_4708747_4728744
chrX	4840832	4840833	chrX_4840832_4906260
chrX	4840832	4840833	chrX_4840832_4906260
chrX	4840832	4840833	chrX_4840832_4906575
chrX	4956645	4956646	chrX_4956645_5063868
chrX	5340235	5340236	chrX_5340235_5397118
chrX	5340235	5340236	chrX_5340235_5401123
chrX	5340235	5340236	chrX_5340235_5401123
chrX	5340235	5340236	chrX_5340235_5401123
chrX	5340235	5340236	chrX_5340235_5404204
chrX	5340235	5340236	chrX_5340235_5404204
chrX	5340235	5340236	chrX_5340235_5405138
chrX	5340235	5340236	chrX_5340235_5405138
chrX	5358271	5358272	chrX_5358271_5401123
chrX	5365224	5365225	chrX_5365224_5401123
chrX	5365224	5365225	chrX_5365224_5401123
chrX	5365224	5365225	chrX_5365224_5401123
chrX	5365224	5365225	chrX_5365224_5401123
chrX	5365224	5365225	chrX_5365224_5401123
chrX	5625675	5625676	chrX_5625675_5648487
chrX	5626316	5626317	chrX_5626316_5648487
chrX	5627668	5627669	chrX_5627668_5637594
chrX	5628220	5628221	chrX_5628220_5648487
chrX	5628220	5628221	chrX_5628220_5648487
chrX	5628220	5628221	chrX_5628220_5648487
chrX	5764552	5764553	chrX_5764552_5789576
chrX	5765854	5765855	chrX_5765854_5770780
chrX	5882479	5882480	chrX_5882479_5899989
chrX	6104084	6104085	chrX_6104084_6192483
chrX	6106177	6106178	chrX_6106177_6192483
chrX	6540770	6540771	chrX_6540770_6554814
chrX	6540770	6540771	chrX_6540770_6585638
chrX	6540770	6540771	chrX_6540770_6589173
chrX	6540770	6540771	chrX_6540770_6589173
chrX	6540770	6540771	chrX_6540770_6589173
chrX	6540770	6540771	chrX_6540770_6589173
chrX	6540770	6540771	chrX_6540770_6589173
chrX	6540770	6540771	chrX_6540770_6589173
chrX	6546118	6546119	chrX_6546118_6585638
chrX	6546118	6546119	chrX_6546118_6589173
chrX	6546118	6546119	chrX_6546118_6589173
chrX	6683797	6683798	chrX_6683797_6687014
chrX	6683840	6683841	chrX_6683840_6687014
chrX	6683840	6683841	chrX_6683840_6687302
chrX	6684354	6684355	chrX_6684354_6687018
chrX	6813977	6813978	chrX_6813977_6818156
chrX	6908276	6908277	chrX_6908276_6966944
chrX	6908276	6908277	chrX_6908276_6968829
chrX	7074549	7074550	chrX_7074549_7092883
chrX	7075664	7075665	chrX_7075664_7098053
chrX	7075664	7075665	chrX_7075664_7098053
chrX	7076709	7076710	chrX_7076709_7092883
chrX	7076709	7076710	chrX_7076709_7098053
chrX	7076709	7076710	chrX_7076709_7098053
chrX	7076709	7076710	chrX_7076709_7098053
chrX	7077870	7077871	chrX_7077870_7098053
chrX	7137722	7137723	chrX_7137722_7241538
chrX	7137722	7137723	chrX_7137722_7241932
chrX	7196028	7196029	chrX_7196028_7241932
chrX	7731778	7731779	chrX_7731778_7734438
chrX	7731778	7731779	chrX_7731778_7734651
chrX	8121279	8121280	chrX_8121279_8129285
chrX	8121279	8121280	chrX_8121279_8135713
chrX	8252669	8252670	chrX_8252669_8272462
chrX	8517372	8517373	chrX_8517372_8551207
chrX	8517372	8517373	chrX_8517372_8553332
chrX	8517372	8517373	chrX_8517372_8555170
chrX	8517429	8517430	chrX_8517429_8551207
chrX	8517429	8517430	chrX_8517429_8552119
chrX	8517487	8517488	chrX_8517487_8551207
chrX	8517487	8517488	chrX_8517487_8551207
chrX	8517508	8517509	chrX_8517508_8550375
chrX	8517740	8517741	chrX_8517740_8551207
chrX	8756538	8756539	chrX_8756538_8785353
chrX	8757259	8757260	chrX_8757259_8805804
chrX	8907067	8907068	chrX_8907067_9024936
chrX	8907067	8907068	chrX_8907067_9025808
chrX	8912367	8912368	chrX_8912367_9025808
chrX	8972907	8972908	chrX_8972907_9048991
chrX	8977335	8977336	chrX_8977335_9048991
chrX	9030204	9030205	chrX_9030204_9053319
chrX	9030204	9030205	chrX_9030204_9054575
chrX	9039674	9039675	chrX_9039674_9053319
chrX	9042643	9042644	chrX_9042643_9053319
chrX	9042643	9042644	chrX_9042643_9054575
chrX	9163254	9163255	chrX_9163254_9189309
chrX	9164162	9164163	chrX_9164162_9175190
chrX	9165962	9165963	chrX_9165962_9189309
chrX	9558664	9558665	chrX_9558664_9571308
chrX	9783222	9783223	chrX_9783222_9849226
chrX	9788323	9788324	chrX_9788323_9849226
chrX	9788465	9788466	chrX_9788465_9849226
chrX	9794675	9794676	chrX_9794675_9855449
chrX	10086526	10086527	chrX_10086526_10138325
chrX	10086526	10086527	chrX_10086526_10148876
chrX	10220109	10220110	chrX_10220109_10229895
chrX	10220109	10220110	chrX_10220109_10230088
chrX	10222851	10222852	chrX_10222851_10229895
chrX	10348679	10348680	chrX_10348679_10366273
chrX	10602640	10602641	chrX_10602640_10620190
chrX	10603912	10603913	chrX_10603912_10620190
chrX	10603937	10603938	chrX_10603937_10620190
chrX	10744501	10744502	chrX_10744501_10748806
chrX	10744501	10744502	chrX_10744501_10749097
chrX	10745433	10745434	chrX_10745433_10748806
chrX	10878053	10878054	chrX_10878053_10890820
chrX	10878053	10878054	chrX_10878053_10891250
chrX	10967721	10967722	chrX_10967721_11039901
chrX	11139607	11139608	chrX_11139607_11141238
chrX	11140473	11140474	chrX_11140473_11141835
chrX	11219378	11219379	chrX_11219378_11293699
chrX	11220079	11220080	chrX_11220079_11293699
chrX	11222632	11222633	chrX_11222632_11293699
chrX	11222632	11222633	chrX_11222632_11302783
chrX	11224285	11224286	chrX_11224285_11293699
chrX	11224285	11224286	chrX_11224285_11302783
chrX	11369664	11369665	chrX_11369664_11407751
chrX	11369664	11369665	chrX_11369664_11409776
chrX	11384879	11384880	chrX_11384879_11409776
chrX	11389667	11389668	chrX_11389667_11407751
chrX	11389667	11389668	chrX_11389667_11407751
chrX	11389667	11389668	chrX_11389667_11407751
chrX	11389667	11389668	chrX_11389667_11408338
chrX	11390068	11390069	chrX_11390068_11407751
chrX	11390068	11390069	chrX_11390068_11409776
chrX	11390371	11390372	chrX_11390371_11407985
chrX	11622014	11622015	chrX_11622014_11676253
chrX	11622014	11622015	chrX_11622014_11676253
chrX	11622014	11622015	chrX_11622014_11677338
chrX	11622014	11622015	chrX_11622014_11677338
chrX	11792532	11792533	chrX_11792532_11797924
chrX	11792532	11792533	chrX_11792532_11801587
chrX	11792713	11792714	chrX_11792713_11797301
chrX	11792878	11792879	chrX_11792878_11797565
chrX	11792878	11792879	chrX_11792878_11798850
chrX	11926423	11926424	chrX_11926423_11930850
chrX	12043697	12043698	chrX_12043697_12116041
chrX	12043697	12043698	chrX_12043697_12332165
chrX	12128285	12128286	chrX_12128285_12332165
chrX	12128285	12128286	chrX_12128285_12332165
chrX	12128285	12128286	chrX_12128285_12335214
chrX	12203797	12203798	chrX_12203797_12332165
chrX	12203797	12203798	chrX_12203797_12335214
chrX	12229922	12229923	chrX_12229922_12332165
chrX	12230027	12230028	chrX_12230027_12332165
chrX	12432223	12432224	chrX_12432223_12453650
chrX	12441483	12441484	chrX_12441483_12453650
chrX	12684202	12684203	chrX_12684202_12742444
chrX	12686000	12686001	chrX_12686000_12742070
chrX	12686000	12686001	chrX_12686000_12742618
chrX	12785562	12785563	chrX_12785562_12897327
chrX	12791139	12791140	chrX_12791139_12868771
chrX	12791139	12791140	chrX_12791139_12897327
chrX	12791139	12791140	chrX_12791139_12897327
chrX	12974682	12974683	chrX_12974682_12976231
chrX	13095570	13095571	chrX_13095570_13112462
chrX	13096115	13096116	chrX_13096115_13112462
chrX	13214408	13214409	chrX_13214408_13257183
chrX	13215155	13215156	chrX_13215155_13257183
chrX	13215155	13215156	chrX_13215155_13257183
chrX	13215155	13215156	chrX_13215155_13257183
chrX	13215155	13215156	chrX_13215155_13258490
chrX	13215155	13215156	chrX_13215155_13258490
chrX	13368190	13368191	chrX_13368190_13370472
chrX	13445902	13445903	chrX_13445902_13519626
chrX	13445902	13445903	chrX_13445902_13527282
chrX	13846115	13846116	chrX_13846115_13986442
chrX	13850847	13850848	chrX_13850847_13988831
chrX	13858016	13858017	chrX_13858016_13933343
chrX	13865861	13865862	chrX_13865861_13990527
chrX	13869215	13869216	chrX_13869215_13947076
chrX	13869215	13869216	chrX_13869215_13986442
chrX	13882853	13882854	chrX_13882853_13988831
chrX	14277734	14277735	chrX_14277734_14288161
chrX	14322225	14322226	chrX_14322225_14462351
chrX	14787477	14787478	chrX_14787477_14818789
chrX	14787477	14787478	chrX_14787477_14825905
chrX	14787477	14787478	chrX_14787477_14826073
chrX	14933669	14933670	chrX_14933669_14952009
chrX	14934039	14934040	chrX_14934039_14950749
chrX	14934039	14934040	chrX_14934039_14951794
chrX	14934039	14934040	chrX_14934039_14953532
chrX	15069126	15069127	chrX_15069126_15076220
chrX	15071462	15071463	chrX_15071462_15076220
chrX	15071462	15071463	chrX_15071462_15076220
chrX	15071462	15071463	chrX_15071462_15076220
chrX	15071462	15071463	chrX_15071462_15076220
chrX	15333309	15333310	chrX_15333309_15340360
chrX	15333309	15333310	chrX_15333309_15340360
chrX	15334219	15334220	chrX_15334219_15340360
chrX	15334477	15334478	chrX_15334477_15335752
chrX	15334477	15334478	chrX_15334477_15335971
chrX	15334477	15334478	chrX_15334477_15340360
chrX	15334555	15334556	chrX_15334555_15340360
chrX	15334565	15334566	chrX_15334565_15339092
chrX	15335140	15335141	chrX_15335140_15340360
chrX	15462721	15462722	chrX_15462721_15466812
chrX	15462721	15462722	chrX_15462721_15466812
chrX	15464581	15464582	chrX_15464581_15466812
chrX	15465326	15465327	chrX_15465326_15466807
chrX	15465564	15465565	chrX_15465564_15466812
chrX	15465739	15465740	chrX_15465739_15466812
chrX	15466183	15466184	chrX_15466183_15467529
chrX	15466183	15466184	chrX_15466183_15467757
chrX	15987007	15987008	chrX_15987007_15991974
chrX	15987165	15987166	chrX_15987165_15991974
chrX	15987165	15987166	chrX_15987165_15991974
chrX	16118066	16118067	chrX_16118066_16148977
chrX	16118787	16118788	chrX_16118787_16124332
chrX	16118787	16118788	chrX_16118787_16148977
chrX	16381953	16381954	chrX_16381953_16384266
chrX	16381953	16381954	chrX_16381953_16384908
chrX	16381953	16381954	chrX_16381953_16384908
chrX	16455026	16455027	chrX_16455026_16527567
chrX	16458866	16458867	chrX_16458866_16527414
