#chrom	strand	txStart	txEnd	cdsStart	cdsEnd	name2
chr4	-	196674	205945	197877	204347	CG31998
chr4	-	197691	205945	197877	204700	CG31998
chr4	+	210223	213165	210454	211893	Crk
chr4	+	210223	213165	210454	213015	Crk
chr4	+	210223	213165	210454	212727	Crk
chr4	+	210223	213165	210454	213015	Crk
chr4	+	210223	213165	210454	212180	Crk
chr4	-	215008	225956	215104	225834	CG31999
chr4	-	215008	227748	215104	225834	CG31999
chr4	+	227921	230428	228004	230399	yellow-h
chr4	-	228575	229112	229112	229112	CR46065
chr4	+	230729	245903	231953	245763	CG1674
chr4	+	231425	241318	231953	240877	CG1674
chr4	+	231425	245903	231953	245763	CG1674
chr4	+	231849	245903	231953	245763	CG1674
chr4	-	247123	253329	249598	252710	dpr7
chr4	-	247123	253329	249598	252953	dpr7
chr4	-	268174	276369	270449	275660	NfI
chr4	-	268313	276369	270449	275660	NfI
chr4	+	276522	278174	278174	278174	CR44023
chr4	-	278684	305818	280138	282723	Syt7
chr4	-	278684	305818	280138	305176	Syt7
chr4	-	278684	306161	280138	305176	Syt7
chr4	-	278684	306481	280425	305176	Syt7
chr4	+	308092	310302	308223	310189	Rad23
chr4	+	308092	310302	308577	310189	Rad23
chr4	+	308092	310822	308223	310189	Rad23
chr4	-	310929	313913	312789	313453	Zip102B
chr4	-	310929	313913	312789	313846	Zip102B
chr4	-	310929	314087	312789	313846	Zip102B
chr4	-	310929	314087	312789	313453	Zip102B
chr4	+	314922	321385	316416	319799	CG32850
chr4	+	314922	331387	316416	319799	CG32850
chr4	-	328192	358657	329206	355466	PMCA
chr4	-	328815	358657	331564	355466	PMCA
chr4	-	328815	358657	329206	355466	PMCA
chr4	-	328815	358917	329206	355466	PMCA
chr4	-	329516	358657	331564	355466	PMCA
chr4	-	330855	358657	331564	355466	PMCA
chr4	-	334669	358657	335040	355466	PMCA
chr4	+	359937	372784	360690	372392	Hcf
chr4	+	359937	374973	360690	372392	Hcf
chr4	+	359937	375554	360690	372392	Hcf
chr4	-	375639	388322	375962	387858	dati
chr4	+	380723	381275	381275	381275	CR45125
chr4	+	395395	395954	395954	395954	CR44027
chr4	-	400702	400765	400765	400765	mir-9385
chr4	+	426066	426601	426601	426601	CR43437
chr4	+	427330	431769	431769	431769	CR44024
chr4	-	436956	443911	437385	443393	lgs
chr4	+	445503	453947	450308	453199	CaMKI
chr4	+	445503	453947	446919	453199	CaMKI
chr4	+	446092	453947	446919	453199	CaMKI
chr4	+	446577	453947	446919	453199	CaMKI
chr4	+	459767	461413	461413	461413	CR45126
chr4	-	459886	466828	460020	466669	bip2
chr4	+	467496	471476	467850	471151	CG33941
chr4	-	469408	486033	472288	485232	Asator
chr4	-	471285	481970	472288	481836	Asator
chr4	-	471285	482720	472288	481262	Asator
chr4	-	471285	483803	474884	481262	Asator
chr4	-	472894	481970	473075	481836	Asator
chr4	-	472894	483803	473075	481262	Asator
chr4	-	472894	486033	473075	485232	Asator
chr4	-	472894	488994	473075	481262	Asator
chr4	-	538331	557854	545662	553576	Thd1
chr4	-	540559	557854	545662	553576	Thd1
chr4	-	545267	557854	545662	553576	Thd1
chr4	-	557024	557854	557854	557854	CR43958
chr4	+	558015	565931	560257	565756	Pur-alpha
chr4	+	558222	565931	560257	565756	Pur-alpha
chr4	+	558222	567257	560279	565756	Pur-alpha
chr4	+	559663	567257	560257	565756	Pur-alpha
chr4	-	568295	570790	568366	570695	ND-49
chr4	-	568295	571554	568366	570695	ND-49
chr4	+	571754	578143	573748	577322	Ephrin
chr4	+	571754	580122	573748	577322	Ephrin
chr4	+	583107	589348	583825	588950	CG1909
chr4	-	597623	598274	598274	598274	CR45199
chr4	-	598554	607649	601103	606702	onecut
chr4	+	610683	620351	611402	620234	Eph
chr4	+	610683	620734	611427	620254	Eph
chr4	+	610683	620926	611427	620358	Eph
chr4	+	610683	620926	611402	620358	Eph
chr4	+	610683	622470	611402	620358	Eph
chr4	-	623218	626031	623370	625584	mav
chr4	+	626125	626212	626212	626212	mir-954
chr4	+	629690	635350	629835	634511	Gat
chr4	+	629692	635350	629835	634050	Gat
chr4	-	636130	646556	639580	646520	Ekar
chr4	-	636130	646556	636307	646520	Ekar
chr4	+	663620	669884	663700	669450	Slip1
chr4	+	663620	669884	663700	669185	Slip1
chr4	+	663620	669884	663700	669450	Slip1
chr4	+	671141	687565	680708	686040	CG11360
chr4	+	671141	690650	680708	686040	CG11360
chr4	+	680269	687565	680708	686040	CG11360
chr4	+	680592	689595	680708	686040	CG11360
chr4	-	690685	696055	691990	694389	myo
chr4	-	691277	696055	691990	694389	myo
chr4	-	691600	696055	691990	694389	myo
chr4	+	697688	721173	714043	720922	ey
chr4	+	704650	721173	705164	720922	ey
chr4	+	707428	721173	707505	720922	ey
chr4	+	724399	776081	725716	775549	bt
chr4	+	724399	776474	725716	775549	bt
chr4	+	725355	776081	725716	775549	bt
chr4	+	725657	776081	725716	775549	bt
chr4	-	776474	777146	777146	777146	CR45200
chr4	-	800435	804080	801282	803312	Sox102F
chr4	-	800435	807347	801282	803312	Sox102F
chr4	-	800435	834393	801282	823599	Sox102F
chr4	-	836985	844529	837208	839008	fd102C
chr4	+	851173	851624	851624	851624	CR45123
chr4	-	853556	867025	855509	866266	Gyf
chr4	-	855399	867025	855509	866266	Gyf
chr4	+	867823	871426	871426	871426	CR43425
chr4	-	867823	904026	871492	903342	unc-13
chr4	-	870929	893565	871492	892796	unc-13
chr4	-	870929	904821	871492	903342	unc-13
chr4	-	870929	912331	871492	903342	unc-13
chr4	+	879373	884752	884752	884752	CR44029
chr4	+	881470	883402	883402	883402	CR44029
chr4	+	936818	944486	938429	943218	mGluR
chr4	+	936818	946825	938429	943005	mGluR
chr4	+	936818	946825	938429	946620	mGluR
chr4	+	936818	949441	938429	946620	mGluR
chr4	-	951541	958170	951838	958031	4E-T
chr4	-	951541	958392	951838	958031	4E-T
chr4	-	959223	959434	959434	959434	CR45201
chr4	+	959674	962692	962692	962692	CR44030
chr4	-	962340	969374	962374	969001	fuss
chr4	-	962340	976035	962374	972130	fuss
chr4	-	962340	978489	962374	972130	fuss
chr4	+	975167	975810	975810	975810	sphinx
chr4	+	975167	977261	977261	977261	sphinx
chr4	+	976794	977261	977261	977261	sphinx
chr4	+	989724	1006288	990251	1006160	toy
chr4	+	989724	1007922	990251	1006160	toy
chr4	-	1009894	1027101	1014358	1023471	PlexA
chr4	-	1013403	1027101	1014358	1023471	PlexA
chr4	-	1013403	1027101	1014358	1019925	PlexA
chr4	-	1013632	1027101	1014358	1019925	PlexA
chr4	+	1027862	1029359	1029359	1029359	CR44031
chr4	+	1028280	1029359	1029359	1029359	CR44031
chr4	-	1028674	1029361	1028742	1029249	CG11077
chr4	-	1029710	1030975	1029970	1030810	CG11076
chr4	-	1029710	1031676	1029970	1030753	CG11076
chr4	-	1029710	1031757	1029970	1030753	CG11076
chr4	+	1031483	1034557	1031889	1034413	ATPsynbeta
chr4	+	1031863	1034557	1031889	1034413	ATPsynbeta
chr4	+	1031863	1034917	1031889	1034413	ATPsynbeta
chr4	-	1057364	1060918	1057440	1060604	Zyx
chr4	-	1057364	1060918	1057440	1060778	Zyx
chr4	-	1057364	1065001	1057440	1060604	Zyx
chr4	-	1057364	1065001	1057440	1059761	Zyx
chr4	+	1060968	1076204	1065107	1076114	apolpp
chr4	+	1062677	1076204	1065107	1076114	apolpp
chr4	+	1064905	1076204	1065107	1076114	apolpp
chr4	+	1064905	1077273	1065107	1076114	apolpp
chr4	-	1077330	1084796	1077886	1083126	Actbeta
chr4	+	1088797	1110974	1092285	1110896	sv
chr4	+	1088797	1113317	1092285	1111451	sv
chr4	+	1098524	1113317	1098903	1111451	sv
chr4	-	1112873	1122965	1115826	1121573	Cals
chr4	-	1115078	1122965	1115826	1121573	Cals
chr4	-	1115254	1123357	1115826	1121573	Cals
chr4	+	1124166	1125113	1124264	1125036	Arf102F
chr4	+	1124166	1125325	1124264	1125036	Arf102F
chr4	+	1126601	1135094	1126749	1134166	CG11155
chr4	+	1126601	1135914	1126749	1135816	CG11155
chr4	+	1126601	1137919	1126749	1135816	CG11155
chr4	-	1137829	1146121	1139754	1144005	CG32017
chr4	-	1137829	1146529	1139754	1144005	CG32017
chr4	-	1137829	1162158	1139754	1144005	CG32017
chr4	+	1147465	1169239	1147546	1166894	Kif3C
chr4	+	1185767	1192537	1186517	1192359	CG33521
chr4	+	1185767	1192694	1186517	1192359	CG33521
chr4	+	1186114	1192985	1186517	1192359	CG33521
chr4	-	1192418	1196848	1192535	1196457	PIP4K
chr4	+	1198851	1224467	1199014	1222791	Mitf
chr4	+	1198857	1223450	1199014	1222791	Mitf
chr4	+	1198857	1224467	1199014	1222791	Mitf
chr4	+	1219039	1223450	1219092	1222791	Mitf
chr4	-	1225088	1230713	1226157	1229973	Dyrk3
chr4	-	1225736	1230713	1226157	1229973	Dyrk3
chr4	+	1230836	1271759	1233169	1271129	Cadps
chr4	+	1231882	1271759	1233169	1271129	Cadps
chrM	+	239	1263	239	1263	ND2
chrM	+	1473	3009	1473	3009	COX1
chrM	+	3082	3767	3082	3767	COX2
chrM	+	3906	4068	3906	4068	ATP8
chrM	+	4061	4736	4061	4736	ATP6
chrM	+	4735	5524	4735	5524	COX3
chrM	+	5607	5961	5607	5961	ND3
chrM	-	6408	8125	6408	8125	ND5
chrM	-	8206	9545	8206	9545	ND4
chrM	-	9544	9835	9544	9835	ND4L
chrM	+	9970	10495	9970	10495	ND6
chrM	+	10498	11635	10498	11635	CYTB
chrM	-	11720	12659	11720	12659	ND1
chrX	+	8385780	8389504	8386188	8389354	CG1387
chrX	-	16752188	16781074	16753464	16780056	if
chrX	-	16752188	16782545	16753464	16780056	if
chrX	-	16752188	16783434	16753464	16780056	if
chrX	+	1047241	1088866	1088866	1088866	CR44779
chrX	+	2094233	2113664	2094404	2111801	csw
chrX	+	2094233	2115701	2094767	2111801	csw
chrX	+	3134869	3171682	3135667	3170981	N
chrX	+	3134869	3172221	3135667	3170981	N
chrX	-	4132886	4206093	4134779	4203260	Fas2
chrX	-	4134382	4206093	4134779	4203260	Fas2
chrX	-	4135869	4206093	4136210	4203260	Fas2
chrX	-	4139052	4206093	4139204	4203260	Fas2
chrX	-	4140174	4206093	4141543	4203260	Fas2
chrX	+	5085758	5250952	5089986	5250819	rg
chrX	+	5085758	5254864	5089986	5250819	rg
chrX	+	5085758	5254864	5187132	5250819	rg
chrX	+	5085758	5254864	5175239	5176508	CG15465
chrX	+	5165309	5254864	5187132	5250819	rg
chrX	+	5165309	5254864	5175239	5176508	CG15465
chrX	+	6291302	6293153	6291406	6293107	mldr
chrX	+	6291302	6294177	6291406	6293107	mldr
chrX	-	7166450	7405797	7405797	7405797	CR44357
chrX	-	7167731	7405797	7405797	7405797	CR44357
chrX	-	7281088	7405797	7281438	7284714	CG1677
chrX	+	7337351	7342731	7337715	7342566	CBP
chrX	+	7337351	7342731	7337715	7341807	CBP
chrX	+	7337705	7342731	7340363	7341807	CBP
chrX	-	9358495	9500129	9360313	9472416	mgl
chrX	-	9359849	9495899	9360313	9472416	mgl
chrX	-	9359849	9496189	9360313	9472416	mgl
chrX	-	9359849	9500129	9360313	9472416	mgl
chrX	-	10482027	10486632	10482859	10486246	CG32687
chrX	-	10482027	10487205	10482859	10486246	CG32687
chrX	+	11493134	11555045	11493865	11552954	Drak
chrX	+	11493818	11555045	11493865	11552954	Drak
chrX	-	12569168	12583193	12572485	12582550	CG11138
chrX	-	12569750	12583193	12572485	12582550	CG11138
chrX	-	12571210	12583193	12572485	12582550	CG11138
chrX	+	13624744	13663657	13625456	13662759	NFAT
chrX	+	13624744	13663657	13625456	13658115	NFAT
chrX	+	13624744	13663657	13625456	13662759	NFAT
chrX	+	14679567	14680931	14679603	14680916	CG5321
chrX	+	14679567	14681418	14679603	14680916	CG5321
chrX	+	15712627	15731488	15714114	15731147	CG8184
chrX	+	15712627	15731935	15714114	15731147	CG8184
chrX	+	15713640	15731488	15714114	15731147	CG8184
chrX	-	17820763	17827564	17822326	17825855	Socs16D
chrX	-	17820774	17827520	17822326	17825855	Socs16D
chrX	+	18863949	18880636	18865439	18878121	CG34401
chrX	+	18863949	18884075	18865439	18878121	CG34401
chrX	+	23068300	23080765	23068597	23080125	CG17167
chrX	+	23068300	23081144	23068597	23080125	CG17167
chrX	+	127448	140340	129081	139774	RhoGAP1A
chrX	+	127452	140340	129081	139774	RhoGAP1A
chrX	+	131034	139046	133373	138934	RhoGAP1A
chrX	-	258334	263995	258604	259661	CG13377
chrX	-	258334	263999	258604	259661	CG13377
chrX	+	258464	267253	267253	267253	CR43906
chrX	-	316575	428251	317020	317902	CG32816
chrX	-	316575	470726	317020	317902	CG32816
chrX	-	391834	393227	393227	393227	CR44753
chrX	+	509434	528028	509511	527918	arg
chrX	-	648482	656033	650049	654083	Hmt4-20
chrX	+	784745	788046	784904	787832	tw
chrX	+	784745	788215	784904	787832	tw
chrX	-	808216	927975	809697	894292	CG43867
chrX	-	1289716	1322362	1290445	1295054	DAAM
chrX	+	1409068	1451367	1414261	1449016	futsch
chrX	+	1411725	1453686	1414261	1449016	futsch
chrX	+	1413800	1451367	1414261	1449016	futsch
chrX	-	1523553	1618155	1524307	1558172	Mur2B
chrX	-	1552278	1618155	1552390	1558172	Mur2B
chrX	-	1552278	1668788	1552390	1558172	Mur2B
chrX	+	1773718	1852933	1843699	1852460	prage
chrX	+	1824161	1852933	1843699	1852460	prage
chrX	+	1824942	1852933	1825659	1852460	prage
chrX	+	1825062	1852933	1825659	1852460	prage
chrX	+	1827346	1852933	1843699	1852460	prage
chrX	+	1831302	1852933	1831932	1852460	prage
chrX	+	1941939	2005462	1997586	2002540	Hr4
chrX	+	1941939	2005462	1997586	2004420	Hr4
chrX	+	1941939	2005462	1997586	2003572	Hr4
chrX	+	1941939	2005462	1942864	2002540	Hr4
chrX	+	1941939	2005462	1989922	2002540	Hr4
chrX	+	1941939	2005462	1993222	2002540	Hr4
chrX	+	1941939	2007956	1993222	2002540	Hr4
chrX	+	2225295	2237961	2225710	2236595	pcx
chrX	+	2225295	2238045	2225710	2236595	pcx
chrX	-	2344948	2366356	2345533	2349399	CG2841
chrX	-	2345265	2366356	2345533	2349399	CG2841
chrX	-	2470459	2505550	2471151	2505343	trol
chrX	-	2470459	2517647	2471151	2513745	trol
chrX	-	2470459	2545410	2471151	2544623	trol
chrX	-	2476258	2545410	2480725	2544623	trol
chrX	-	2479616	2545410	2480725	2544623	trol
chrX	+	2619798	2622140	2620309	2621719	Seipin
chrX	+	2740383	3132791	3129277	3132425	kirre
chrX	+	2740804	3132791	3129277	3132425	kirre
chrX	+	2740804	3134532	3129277	3132425	kirre
chrX	-	2882225	2883661	2882565	2883633	CG14418
chrX	-	2882225	2883661	2882565	2883420	CG14418
chrX	+	2989050	3132791	3129277	3132425	kirre
chrX	+	3176439	3339327	3244797	3339173	dnc
chrX	+	3176439	3343767	3246596	3339173	dnc
chrX	+	3176439	3343767	3244797	3339173	dnc
chrX	+	3256067	3339327	3280001	3339173	dnc
chrX	+	3256067	3343767	3313676	3339173	dnc
chrX	+	3256067	3343767	3321170	3339173	dnc
chrX	+	3373158	3522787	3522787	3522787	CR44999
chrX	-	3387943	3448943	3392663	3393414	CG12535
chrX	-	3392396	3445094	3392663	3393414	CG12535
chrX	-	3392485	3440146	3392663	3393414	CG12535
chrX	-	3392485	3448943	3392663	3393414	CG12535
chrX	-	3511336	3571649	3513002	3523669	DIP-alpha
chrX	-	3668836	3671502	3669128	3671367	Parg
chrX	-	3668900	3671488	3669128	3671367	Parg
chrX	+	3799149	3801570	3799246	3800751	HIP
chrX	-	3931999	3936227	3932955	3935997	CG2938
chrX	-	3932155	3936227	3932955	3935997	CG2938
chrX	-	3932155	3936469	3932955	3935997	CG2938
chrX	-	4062858	4064506	4064506	4064506	CR46247
chrX	+	4322625	4364879	4349407	4362034	norpA
chrX	+	4322625	4365408	4349407	4362034	norpA
chrX	+	4323608	4365408	4349407	4362034	norpA
chrX	-	4387675	4611385	4611385	4611385	CR32773
chrX	+	4412855	4484452	4428434	4483625	bi
chrX	+	4413461	4484452	4428434	4483778	bi
chrX	+	4413461	4484452	4428434	4483625	bi
chrX	+	4413461	4485647	4428434	4483625	bi
chrX	+	4427134	4484452	4428434	4483625	bi
chrX	+	4427134	4485647	4428434	4483625	bi
chrX	+	4707915	4728744	4723367	4728051	Proc-R
chrX	+	4707915	4729487	4723367	4728051	Proc-R
chrX	+	4708747	4728744	4723367	4728051	Proc-R
chrX	+	4840832	4906260	4894688	4905306	CG42594
chrX	+	4840832	4906260	4894688	4904814	CG42594
chrX	+	4840832	4906575	4894688	4904814	CG42594
chrX	-	4956645	5063868	5063868	5063868	CR44833
chrX	+	5340235	5397118	5351828	5396604	SK
chrX	+	5340235	5401123	5351828	5400282	SK
chrX	+	5340235	5401123	5351828	5399697	SK
chrX	+	5340235	5401123	5351828	5399663	SK
chrX	+	5340235	5404204	5351828	5400282	SK
chrX	+	5340235	5404204	5351828	5399697	SK
chrX	+	5340235	5405138	5351828	5403349	SK
chrX	+	5340235	5405138	5351828	5399697	SK
chrX	+	5358271	5401123	5358271	5399697	SK
chrX	+	5365224	5401123	5376086	5399697	SK
chrX	+	5365224	5401123	5376086	5400282	SK
chrX	+	5365224	5401123	5376086	5399697	SK
chrX	+	5365224	5401123	5376086	5400282	SK
chrX	+	5365224	5401123	5376086	5399697	SK
chrX	-	5625675	5648487	5628883	5643065	CG42492
chrX	-	5626316	5648487	5628883	5643065	CG42492
chrX	-	5627668	5637594	5628883	5636394	CG42492
chrX	-	5628220	5648487	5628883	5643065	CG42492
chrX	-	5628220	5648487	5629366	5643065	CG42492
chrX	-	5628220	5648487	5628883	5643065	CG42492
chrX	+	5764552	5789576	5764914	5788336	CG42699
chrX	-	5765854	5770780	5766090	5767694	CG3097
chrX	-	5882479	5899989	5899989	5899989	CR45668
chrX	-	6104084	6192483	6107052	6146166	Ca-alpha1T
chrX	-	6106177	6192483	6107052	6146166	Ca-alpha1T
chrX	+	6540770	6554814	6543103	6554782	CG34417
chrX	+	6540770	6585638	6543103	6583351	CG34417
chrX	+	6540770	6589173	6543103	6588427	CG34417
chrX	+	6540770	6589173	6543103	6588079	CG34417
chrX	+	6540770	6589173	6543103	6588427	CG34417
chrX	+	6540770	6589173	6543103	6583351	CG34417
chrX	+	6540770	6589173	6543103	6577308	CG34417
chrX	+	6540770	6589173	6543103	6588427	CG34417
chrX	+	6546118	6585638	6552010	6583351	CG34417
chrX	+	6546118	6589173	6552010	6588427	CG34417
chrX	+	6546118	6589173	6552010	6583351	CG34417
chrX	+	6683797	6687014	6684556	6686913	Pink1
chrX	+	6683840	6687014	6684556	6686913	Pink1
chrX	+	6683840	6687302	6684556	6686913	Pink1
chrX	+	6684354	6687018	6684556	6686913	Pink1
chrX	+	6813977	6818156	6814117	6818156	iav
chrX	+	6908276	6966944	6917559	6965792	CG14431
chrX	+	6908276	6968829	6917559	6965792	CG14431
chrX	-	7074549	7092883	7079302	7092767	Sxl
chrX	-	7075664	7098053	7079302	7091750	Sxl
chrX	-	7075664	7098053	7078234	7091750	Sxl
chrX	-	7076709	7092883	7079302	7092767	Sxl
chrX	-	7076709	7098053	7088697	7091750	Sxl
chrX	-	7076709	7098053	7078234	7091750	Sxl
chrX	-	7076709	7098053	7079302	7091750	Sxl
chrX	-	7077870	7098053	7079302	7091750	Sxl
chrX	+	7137722	7241538	7232527	7239902	CG9650
chrX	+	7137722	7241932	7217845	7239902	CG9650
chrX	+	7196028	7241932	7197308	7239902	CG9650
chrX	-	7731778	7734438	7732001	7734132	Pdp
chrX	-	7731778	7734651	7732001	7734132	Pdp
chrX	-	8121279	8129285	8121643	8127605	cyr
chrX	-	8121279	8135713	8121643	8127605	cyr
chrX	+	8252669	8272462	8253423	8272119	CG1632
chrX	+	8517372	8551207	8531946	8550135	Nrg
chrX	+	8517372	8553332	8531946	8551991	Nrg
chrX	+	8517372	8555170	8531946	8551991	Nrg
chrX	+	8517429	8551207	8531946	8550135	Nrg
chrX	+	8517429	8552119	8531946	8551991	Nrg
chrX	+	8517487	8551207	8531946	8550135	Nrg
chrX	+	8517487	8551207	8531946	8549280	Nrg
chrX	+	8517508	8550375	8531946	8550135	Nrg
chrX	+	8517740	8551207	8531946	8550135	Nrg
chrX	-	8756538	8785353	8758024	8768934	Lim1
chrX	-	8757259	8805804	8758024	8805006	Lim1
chrX	+	8907067	9024936	9014164	9024831	rdgA
chrX	+	8907067	9025808	8907714	9025209	rdgA
chrX	+	8912367	9025808	8912603	9025209	rdgA
chrX	-	8972907	9048991	9048991	9048991	CR43836
chrX	-	8977335	9048991	9048991	9048991	CR43836
chrX	+	9030204	9053319	9030869	9053277	Nost
chrX	+	9030204	9054575	9030869	9053277	Nost
chrX	+	9039674	9053319	9040301	9053277	Nost
chrX	+	9042643	9053319	9049258	9053277	Nost
chrX	+	9042643	9054575	9049258	9053277	Nost
chrX	+	9163254	9189309	9166538	9170815	mei-P26
chrX	+	9164162	9175190	9166538	9170815	mei-P26
chrX	+	9165962	9189309	9166538	9170815	mei-P26
chrX	-	9558664	9571308	9558760	9571308	Cubn
chrX	+	9783222	9849226	9812098	9848923	CG32698
chrX	+	9788323	9849226	9812098	9848923	CG32698
chrX	+	9788465	9849226	9812098	9848923	CG32698
chrX	+	9794675	9855449	9812098	9848923	CG32698
chrX	+	10086526	10138325	10122196	10137903	RhoU
chrX	+	10086526	10148876	10122196	10148448	RhoU
chrX	+	10220109	10229895	10220548	10229697	CG34408
chrX	+	10220109	10230088	10220548	10229697	CG34408
chrX	+	10222851	10229895	10223124	10229697	CG34408
chrX	-	10348679	10366273	10357744	10366211	l(1)G0289
chrX	-	10602640	10620190	10604160	10618865	CG43347
chrX	-	10603912	10620190	10604160	10618865	CG43347
chrX	-	10603937	10620190	10604160	10618865	CG43347
chrX	+	10744501	10748806	10745819	10748203	ras
chrX	+	10744501	10749097	10745819	10748203	ras
chrX	+	10745433	10748806	10745819	10748203	ras
chrX	-	10878053	10890820	10878515	10886135	Ork1
chrX	-	10878053	10891250	10878515	10886135	Ork1
chrX	-	10967721	11039901	10968743	11037715	CG42339
chrX	+	11139607	11141238	11141238	11141238	CR44054
chrX	-	11140473	11141835	11140619	11141031	CG15199
chrX	-	11219378	11293699	11225106	11247467	CG44422
chrX	-	11220079	11293699	11225106	11247467	CG44422
chrX	-	11222632	11293699	11224128	11247467	CG44422
chrX	-	11222632	11302783	11224128	11302649	CG44422
chrX	-	11224285	11293699	11225106	11247467	CG44422
chrX	-	11224285	11302783	11225106	11302649	CG44422
chrX	+	11369664	11407751	11374491	11406178	dlg1
chrX	+	11369664	11409776	11374491	11406178	dlg1
chrX	+	11384879	11409776	11387236	11406178	dlg1
chrX	+	11389667	11407751	11390453	11406178	dlg1
chrX	+	11389667	11407751	11390453	11406301	dlg1
chrX	+	11389667	11407751	11390453	11406178	dlg1
chrX	+	11389667	11408338	11390453	11406178	dlg1
chrX	+	11390068	11407751	11390453	11406178	dlg1
chrX	+	11390068	11409776	11390453	11406178	dlg1
chrX	+	11390371	11407985	11390453	11406178	dlg1
chrX	+	11622014	11676253	11624102	11673981	Ptp10D
chrX	+	11622014	11676253	11624102	11675362	Ptp10D
chrX	+	11622014	11677338	11624102	11673981	Ptp10D
chrX	+	11622014	11677338	11624102	11675362	Ptp10D
chrX	+	11792532	11797924	11793446	11795609	CkIIbeta
chrX	+	11792532	11801587	11793446	11800061	CkIIbeta
chrX	+	11792713	11797301	11793446	11795609	CkIIbeta
chrX	+	11792878	11797565	11793446	11796669	CkIIbeta
chrX	+	11792878	11798850	11793446	11798357	CkIIbeta
chrX	-	11926423	11930850	11926748	11930513	CG10362
chrX	+	12043697	12116041	12116041	12116041	CR43960
chrX	+	12043697	12332165	12193880	12331183	Ten-a
chrX	+	12128285	12332165	12193880	12331183	Ten-a
chrX	+	12128285	12332165	12230224	12331183	Ten-a
chrX	+	12128285	12335214	12193880	12331183	Ten-a
chrX	+	12203797	12332165	12230224	12331183	Ten-a
chrX	+	12203797	12335214	12230224	12331183	Ten-a
chrX	+	12229922	12332165	12230224	12331183	Ten-a
chrX	+	12230027	12332165	12230224	12331183	Ten-a
chrX	+	12432223	12453650	12435251	12453291	Pkcdelta
chrX	+	12441483	12453650	12443197	12453291	Pkcdelta
chrX	-	12684202	12742444	12687299	12731439	Smr
chrX	-	12686000	12742070	12687299	12731439	Smr
