Paste_locus	class
chrX_15070962_15071962	start
chrX_15332809_15333809	start
chrX_15333719_15334719	start
chrX_15333977_15334977	start
chrX_15334055_15335055	start
chrX_15334065_15335065	start
chrX_15462221_15463221	start
chrX_15464081_15465081	start
chrX_15464826_15465826	start
chrX_15465064_15466064	start
chrX_15465239_15466239	start
chrX_15465683_15466683	start
chrX_15986507_15987507	start
chrX_15986665_15987665	start
chrX_16458366_16459366	start
chrX_16640467_16641467	start
chrX_16645366_16646366	start
chrX_16968568_16969568	start
chrX_17281995_17282995	start
chrX_17421819_17422819	start
chrX_18085260_18086260	start
chrX_18479482_18480482	start
chrX_18479600_18480600	start
chrX_18929834_18930834	start
chrX_18929858_18930858	start
chrX_19135606_19136606	start
chrX_19261319_19262319	start
chrX_19266155_19267155	start
chrX_19352680_19353680	start
chrX_19521526_19522526	start
chrX_19521598_19522598	start
chrX_19658941_19659941	start
chrX_21093343_21094343	start
chrX_21362527_21363527	start
chrX_21624295_21625295	start
chrX_21631390_21632390	start
chrX_2088835_2089835	start
chrX_2633451_2634451	start
chrX_2633714_2634714	start
chrX_2947533_2948533	start
chrX_3779642_3780642	start
chrX_4529730_4530730	start
chrX_4540407_4541407	start
chrX_4542129_4543129	start
chrX_4548569_4549569	start
chrX_4551472_4552472	start
chrX_4570490_4571490	start
chrX_4617063_4618063	start
chrX_4635817_4636817	start
chrX_4647370_4648370	start
chrX_4648091_4649091	start
chrX_4649514_4650514	start
chrX_4649549_4650549	start
chrX_4666789_4667789	start
chrX_4679487_4680487	start
chrX_4679903_4680903	start
chrX_4687299_4688299	start
chrX_4687702_4688702	start
chrX_4701783_4702783	start
chrX_4701824_4702824	start
chrX_4906399_4907399	start
chrX_4908601_4909601	start
chrX_4911880_4912880	start
chrX_4918229_4919229	start
chrX_4918371_4919371	start
chrX_4938627_4939627	start
chrX_4938936_4939936	start
chrX_4939080_4940080	start
chrX_4959428_4960428	start
chrX_5047772_5048772	start
chrX_5063343_5064343	start
chrX_5063732_5064732	start
chrX_5131397_5132397	start
chrX_5295565_5296565	start
chrX_5308741_5309741	start
chrX_5311670_5312670	start
chrX_5311853_5312853	start
chrX_5316908_5317908	start
chrX_5318427_5319427	start
chrX_5323354_5324354	start
chrX_5326174_5327174	start
chrX_5329375_5330375	start
chrX_5331998_5332998	start
chrX_5332241_5333241	start
chrX_5421032_5422032	start
chrX_5421467_5422467	start
chrX_5421682_5422682	start
chrX_5421891_5422891	start
chrX_5427016_5428016	start
chrX_5427982_5428982	start
chrX_5429070_5430070	start
chrX_5430064_5431064	start
chrX_5432938_5433938	start
chrX_5499707_5500707	start
chrX_5516107_5517107	start
chrX_5516492_5517492	start
chrX_5516758_5517758	start
chrX_5523801_5524801	start
chrX_5593754_5594754	start
chrX_5612824_5613824	start
chrX_5616071_5617071	start
chrX_5618635_5619635	start
chrX_5621779_5622779	start
chrX_5622147_5623147	start
chrX_5662613_5663613	start
chrX_5671900_5672900	start
chrX_5671979_5672979	start
chrX_5672233_5673233	start
chrX_5680116_5681116	start
chrX_5680126_5681126	start
chrX_5689351_5690351	start
chrX_5689501_5690501	start
chrX_5689935_5690935	start
chrX_5696622_5697622	start
chrX_5698056_5699056	start
chrX_5698686_5699686	start
chrX_5738162_5739162	start
chrX_5747246_5748246	start
chrX_5751748_5752748	start
chrX_5752008_5753008	start
chrX_5752889_5753889	start
chrX_5754991_5755991	start
chrX_5755073_5756073	start
chrX_5755247_5756247	start
chrX_5755892_5756892	start
chrX_5772522_5773522	start
chrX_5873339_5874339	start
chrX_5876499_5877499	start
chrX_5879368_5880368	start
chrX_5880033_5881033	start
chrX_5880318_5881318	start
chrX_5901481_5902481	start
chrX_5905245_5906245	start
chrX_5905381_5906381	start
chrX_5907634_5908634	start
chrX_5912566_5913566	start
chrX_5916596_5917596	start
chrX_5916659_5917659	start
chrX_5988290_5989290	start
chrX_5997007_5998007	start
chrX_6001010_6002010	start
chrX_6013207_6014207	start
chrX_6035252_6036252	start
chrX_6037391_6038391	start
chrX_6050327_6051327	start
chrX_6068630_6069630	start
chrX_6089377_6090377	start
chrX_6090704_6091704	start
chrX_6219456_6220456	start
chrX_6219754_6220754	start
chrX_6225146_6226146	start
chrX_6225435_6226435	start
chrX_6225440_6226440	start
chrX_6255321_6256321	start
chrX_6260668_6261668	start
chrX_6267296_6268296	start
chrX_6276375_6277375	start
chrX_6276476_6277476	start
chrX_6279179_6280179	start
chrX_6283637_6284637	start
chrX_6287599_6288599	start
chrX_6292605_6293605	start
chrX_6294016_6295016	start
chrX_6294888_6295888	start
chrX_6303474_6304474	start
chrX_6308711_6309711	start
chrX_6316920_6317920	start
chrX_6330341_6331341	start
chrX_6338995_6339995	start
chrX_6340637_6341637	start
chrX_6346602_6347602	start
chrX_6350128_6351128	start
chrX_6351781_6352781	start
chrX_6365448_6366448	start
chrX_6523963_6524963	start
chrX_6525605_6526605	start
chrX_6528447_6529447	start
chrX_6530396_6531396	start
chrX_6530515_6531515	start
chrX_6531134_6532134	start
chrX_6533498_6534498	start
chrX_6571422_6572422	start
chrX_6590275_6591275	start
chrX_6592032_6593032	start
chrX_6599561_6600561	start
chrX_6601824_6602824	start
chrX_6654040_6655040	start
chrX_6654178_6655178	start
chrX_6660051_6661051	start
chrX_6661146_6662146	start
chrX_6673886_6674886	start
chrX_6677923_6678923	start
chrX_6679139_6680139	start
chrX_6681266_6682266	start
chrX_6686462_6687462	start
chrX_6687095_6688095	start
chrX_6688795_6689795	start
chrX_6688819_6689819	start
chrX_6699007_6700007	start
chrX_6741036_6742036	start
chrX_6741848_6742848	start
chrX_6742185_6743185	start
chrX_6742351_6743351	start
chrX_6743174_6744174	start
chrX_6744378_6745378	start
chrX_6745898_6746898	start
chrX_6747043_6748043	start
chrX_6755821_6756821	start
chrX_6758109_6759109	start
chrX_6759236_6760236	start
chrX_6770724_6771724	start
chrX_6770962_6771962	start
chrX_6803183_6804183	start
chrX_6803595_6804595	start
chrX_6804484_6805484	start
chrX_6804627_6805627	start
chrX_6804884_6805884	start
chrX_6817677_6818677	start
chrX_6820515_6821515	start
chrX_6823995_6824995	start
chrX_6843840_6844840	start
chrX_6849269_6850269	start
chrX_6859838_6860838	start
chrX_6863387_6864387	start
chrX_6863602_6864602	start
chrX_6867726_6868726	start
chrX_6868007_6869007	start
chrX_6875485_6876485	start
chrX_6969417_6970417	start
chrX_6971823_6972823	start
chrX_6973119_6974119	start
chrX_6983470_6984470	start
chrX_6985985_6986985	start
chrX_6991111_6992111	start
chrX_6995381_6996381	start
chrX_6998171_6999171	start
chrX_7008505_7009505	start
chrX_7008810_7009810	start
chrX_7010856_7011856	start
chrX_7010936_7011936	start
chrX_7011738_7012738	start
chrX_7013386_7014386	start
chrX_7068912_7069912	start
chrX_7098077_7099077	start
chrX_7102054_7103054	start
chrX_7104384_7105384	start
chrX_7105771_7106771	start
chrX_7225954_7226954	start
chrX_7285857_7286857	start
chrX_7286150_7287150	start
chrX_7307438_7308438	start
chrX_7323713_7324713	start
chrX_7444886_7445886	start
chrX_7535124_7536124	start
chrX_7555277_7556277	start
chrX_7679467_7680467	start
chrX_7679774_7680774	start
chrX_7707274_7708274	start
chrX_7721618_7722618	start
chrX_7728254_7729254	start
chrX_7734422_7735422	start
chrX_7736392_7737392	start
chrX_7736860_7737860	start
chrX_7768236_7769236	start
chrX_7888565_7889565	start
chrX_7892552_7893552	start
chrX_7893530_7894530	start
chrX_7900561_7901561	start
chrX_7901379_7902379	start
chrX_7908430_7909430	start
chrX_7919908_7920908	start
chrX_7935395_7936395	start
chrX_7958773_7959773	start
chrX_7969202_7970202	start
chrX_8061144_8062144	start
chrX_8075376_8076376	start
chrX_8101680_8102680	start
chrX_8102081_8103081	start
chrX_8116511_8117511	start
chrX_8129311_8130311	start
chrX_8131784_8132784	start
chrX_8136540_8137540	start
chrX_8142049_8143049	start
chrX_8143403_8144403	start
chrX_8145338_8146338	start
chrX_8148282_8149282	start
chrX_8152447_8153447	start
chrX_8157127_8158127	start
chrX_8162800_8163800	start
chrX_8163765_8164765	start
chrX_8178048_8179048	start
chrX_8178052_8179052	start
chrX_8192699_8193699	start
chrX_8215628_8216628	start
chrX_8215644_8216644	start
chrX_8216323_8217323	start
chrX_8230113_8231113	start
chrX_8242027_8243027	start
chrX_8243081_8244081	start
chrX_8243688_8244688	start
chrX_8248150_8249150	start
chrX_8272911_8273911	start
chrX_8398439_8399439	start
chrX_8420864_8421864	start
chrX_8436556_8437556	start
chrX_8462795_8463795	start
chrX_8490844_8491844	start
chrX_8501865_8502865	start
chrX_8554738_8555738	start
chrX_8558378_8559378	start
chrX_8559821_8560821	start
chrX_8560128_8561128	start
chrX_8560394_8561394	start
chrX_8561194_8562194	start
chrX_8570598_8571598	start
chrX_8573805_8574805	start
chrX_8588310_8589310	start
chrX_8590274_8591274	start
chrX_8591530_8592530	start
chrX_8601636_8602636	start
chrX_8676562_8677562	start
chrX_8680751_8681751	start
chrX_8681050_8682050	start
chrX_8689826_8690826	start
chrX_8709151_8710151	start
chrX_8711971_8712971	start
chrX_8714435_8715435	start
chrX_8716212_8717212	start
chrX_8720019_8721019	start
chrX_8837822_8838822	start
chrX_8863608_8864608	start
chrX_8898053_8899053	start
chrX_8901198_8902198	start
chrX_8904227_8905227	start
chrX_8924683_8925683	start
chrX_9069098_9070098	start
chrX_9069101_9070101	start
chrX_9069240_9070240	start
chrX_9078322_9079322	start
chrX_9080562_9081562	start
chrX_9080753_9081753	start
chrX_9082430_9083430	start
chrX_9082436_9083436	start
chrX_9085431_9086431	start
chrX_9089012_9090012	start
chrX_9093111_9094111	start
chrX_9103369_9104369	start
chrX_9103817_9104817	start
chrX_9106568_9107568	start
chrX_9109049_9110049	start
chrX_9110141_9111141	start
chrX_9148808_9149808	start
chrX_9152022_9153022	start
chrX_9156428_9157428	start
chrX_9158121_9159121	start
chrX_9161591_9162591	start
chrX_9192168_9193168	start
chrX_9193397_9194397	start
chrX_9194249_9195249	start
chrX_9232225_9233225	start
chrX_9243316_9244316	start
chrX_9246841_9247841	start
chrX_9247128_9248128	start
chrX_9249919_9250919	start
chrX_9272912_9273912	start
chrX_9274213_9275213	start
chrX_9284148_9285148	start
chrX_9317414_9318414	start
chrX_9318858_9319858	start
chrX_9324007_9325007	start
chrX_9356133_9357133	start
chrX_9445314_9446314	start
chrX_9502325_9503325	start
chrX_9550639_9551639	start
chrX_9551273_9552273	start
chrX_9554122_9555122	start
chrX_9555106_9556106	start
chrX_9580992_9581992	start
chrX_9583676_9584676	start
chrX_9585174_9586174	start
chrX_9585389_9586389	start
chrX_9589592_9590592	start
chrX_9600529_9601529	start
chrX_9605862_9606862	start
chrX_9608445_9609445	start
chrX_9658594_9659594	start
chrX_9658595_9659595	start
chrX_9687688_9688688	start
chrX_9693685_9694685	start
chrX_9729147_9730147	start
chrX_9873992_9874992	start
chrX_9881452_9882452	start
chrX_9883941_9884941	start
chrX_9927472_9928472	start
chrX_9927765_9928765	start
chrX_10009980_10010980	start
chrX_10016344_10017344	start
chrX_10017037_10018037	start
chrX_10070890_10071890	start
chrX_10071357_10072357	start
chrX_10082653_10083653	start
chrX_10113839_10114839	start
chrX_10209680_10210680	start
chrX_10212469_10213469	start
chrX_10263732_10264732	start
chrX_10266291_10267291	start
chrX_10325963_10326963	start
chrX_10329659_10330659	start
chrX_10347669_10348669	start
chrX_10356328_10357328	start
chrX_10356856_10357856	start
chrX_10365901_10366901	start
chrX_10376150_10377150	start
chrX_10385459_10386459	start
chrX_10409890_10410890	start
chrX_10460235_10461235	start
chrX_10461364_10462364	start
chrX_10463317_10464317	start
chrX_10474215_10475215	start
chrX_10478337_10479337	start
chrX_10478869_10479869	start
chrX_10595621_10596621	start
chrX_10628816_10629816	start
chrX_10744007_10745007	start
chrX_10764377_10765377	start
chrX_10768036_10769036	start
chrX_10768071_10769071	start
chrX_10772040_10773040	start
chrX_10772267_10773267	start
chrX_10778453_10779453	start
chrX_10841704_10842704	start
chrX_10842196_10843196	start
chrX_10846937_10847937	start
chrX_10848256_10849256	start
chrX_10851945_10852945	start
chrX_10854499_10855499	start
chrX_10854641_10855641	start
chrX_10857154_10858154	start
chrX_10857156_10858156	start
chrX_10892688_10893688	start
chrX_10899464_10900464	start
chrX_10923471_10924471	start
chrX_10926898_10927898	start
chrX_10926955_10927955	start
chrX_10930339_10931339	start
chrX_10930436_10931436	start
chrX_10953631_10954631	start
chrX_11089709_11090709	start
chrX_11089881_11090881	start
chrX_11091991_11092991	start
chrX_11107981_11108981	start
chrX_11109302_11110302	start
chrX_11111894_11112894	start
chrX_11124600_11125600	start
chrX_11124730_11125730	start
chrX_11137358_11138358	start
chrX_11144351_11145351	start
chrX_11148822_11149822	start
chrX_11148943_11149943	start
chrX_11151983_11152983	start
chrX_11153920_11154920	start
chrX_11156175_11157175	start
chrX_11324884_11325884	start
chrX_11339372_11340372	start
chrX_11347619_11348619	start
chrX_11348548_11349548	start
chrX_11349497_11350497	start
chrX_11350107_11351107	start
chrX_11358735_11359735	start
chrX_11367944_11368944	start
chrX_11372524_11373524	start
chrX_11423456_11424456	start
chrX_11442038_11443038	start
chrX_11454285_11455285	start
chrX_11459285_11460285	start
chrX_11483017_11484017	start
chrX_11484749_11485749	start
chrX_11491836_11492836	start
chrX_11546921_11547921	start
chrX_11561142_11562142	start
chrX_11561434_11562434	start
chrX_11569954_11570954	start
chrX_11570120_11571120	start
chrX_11572206_11573206	start
chrX_11575617_11576617	start
chrX_11576382_11577382	start
chrX_11580271_11581271	start
chrX_11599337_11600337	start
chrX_11611426_11612426	start
chrX_11611515_11612515	start
chrX_11614596_11615596	start
chrX_11614728_11615728	start
chrX_11615623_11616623	start
chrX_11676843_11677843	start
chrX_11678469_11679469	start
chrX_11694636_11695636	start
chrX_11703809_11704809	start
chrX_11709619_11710619	start
chrX_11709751_11710751	start
chrX_11715562_11716562	start
chrX_11716255_11717255	start
chrX_11716467_11717467	start
chrX_11716511_11717511	start
chrX_11719744_11720744	start
chrX_11719983_11720983	start
chrX_11786880_11787880	start
chrX_11787987_11788987	start
chrX_11801195_11802195	start
chrX_11816397_11817397	start
chrX_11817836_11818836	start
chrX_11852191_11853191	start
chrX_11852234_11853234	start
chrX_11854521_11855521	start
chrX_11868669_11869669	start
chrX_11872818_11873818	start
chrX_11872940_11873940	start
chrX_11874805_11875805	start
chrX_11886783_11887783	start
chrX_11887851_11888851	start
chrX_11891231_11892231	start
chrX_11891506_11892506	start
chrX_11917305_11918305	start
chrX_11921146_11922146	start
chrX_11985033_11986033	start
chrX_12006675_12007675	start
chrX_12011876_12012876	start
chrX_12013923_12014923	start
chrX_12014982_12015982	start
chrX_12016724_12017724	start
chrX_12016776_12017776	start
chrX_12018139_12019139	start
chrX_12020567_12021567	start
chrX_12029253_12030253	start
chrX_12032131_12033131	start
chrX_12274134_12275134	start
chrX_12463027_12464027	start
chrX_12471163_12472163	start
chrX_12496687_12497687	start
chrX_12497200_12498200	start
chrX_12595546_12596546	start
chrX_12596175_12597175	start
chrX_12596400_12597400	start
chrX_12611366_12612366	start
chrX_12611607_12612607	start
chrX_12612007_12613007	start
chrX_12612676_12613676	start
chrX_12631104_12632104	start
chrX_12653125_12654125	start
chrX_12653299_12654299	start
chrX_12653534_12654534	start
chrX_12658914_12659914	start
chrX_12658961_12659961	start
chrX_12660033_12661033	start
chrX_12664716_12665716	start
chrX_12742046_12743046	start
chrX_12743711_12744711	start
chrX_12743963_12744963	start
chrX_12744857_12745857	start
chrX_12745816_12746816	start
chrX_12751366_12752366	start
chrX_12756535_12757535	start
chrX_12760141_12761141	start
chrX_12760377_12761377	start
chrX_12897002_12898002	start
chrX_12900852_12901852	start
chrX_12903244_12904244	start
chrX_12906604_12907604	start
chrX_12907485_12908485	start
chrX_12909452_12910452	start
chrX_12909558_12910558	start
chrX_13082307_13083307	start
chrX_13090644_13091644	start
chrX_13093798_13094798	start
chrX_13093967_13094967	start
chrX_13114630_13115630	start
chrX_13128095_13129095	start
chrX_13128451_13129451	start
chrX_13128517_13129517	start
chrX_13130492_13131492	start
chrX_13131015_13132015	start
chrX_13138698_13139698	start
chrX_13159103_13160103	start
chrX_13159313_13160313	start
chrX_13211824_13212824	start
chrX_13211837_13212837	start
chrX_13256891_13257891	start
chrX_13285206_13286206	start
chrX_13285515_13286515	start
chrX_13285715_13286715	start
chrX_13287550_13288550	start
chrX_13296581_13297581	start
chrX_13303132_13304132	start
chrX_13303504_13304504	start
chrX_13304079_13305079	start
chrX_13305014_13306014	start
chrX_13314521_13315521	start
chrX_13320801_13321801	start
chrX_13329323_13330323	start
chrX_13329898_13330898	start
chrX_13330001_13331001	start
chrX_13330518_13331518	start
chrX_13331873_13332873	start
chrX_13335136_13336136	start
chrX_13335272_13336272	start
chrX_13337817_13338817	start
chrX_13358747_13359747	start
chrX_13370105_13371105	start
chrX_13370494_13371494	start
chrX_13373258_13374258	start
chrX_13384709_13385709	start
chrX_13384764_13385764	start
chrX_13385413_13386413	start
chrX_13387062_13388062	start
chrX_13387229_13388229	start
chrX_13389734_13390734	start
chrX_13395329_13396329	start
chrX_13396398_13397398	start
chrX_13404248_13405248	start
chrX_13408868_13409868	start
chrX_13412741_13413741	start
chrX_13529155_13530155	start
chrX_13533899_13534899	start
chrX_13543142_13544142	start
chrX_13563322_13564322	start
chrX_13575707_13576707	start
chrX_13605643_13606643	start
chrX_13611630_13612630	start
chrX_13616488_13617488	start
chrX_13641674_13642674	start
chrX_13644678_13645678	start
chrX_13667513_13668513	start
chrX_13669198_13670198	start
chrX_13682451_13683451	start
chrX_13696161_13697161	start
chrX_13703036_13704036	start
chrX_13718233_13719233	start
chrX_13721745_13722745	start
chrX_13736069_13737069	start
chrX_13737441_13738441	start
chrX_13737638_13738638	start
chrX_13739243_13740243	start
chrX_13739281_13740281	start
chrX_13744427_13745427	start
chrX_13744439_13745439	start
chrX_13754821_13755821	start
chrX_13755663_13756663	start
chrX_13756678_13757678	start
chrX_13762251_13763251	start
chrX_13781958_13782958	start
chrX_13783213_13784213	start
chrX_13811183_13812183	start
chrX_13822325_13823325	start
chrX_13825829_13826829	start
chrX_13830240_13831240	start
chrX_13830248_13831248	start
chrX_13990232_13991232	start
chrX_13995844_13996844	start
chrX_13996156_13997156	start
chrX_14097098_14098098	start
chrX_14151078_14152078	start
chrX_14174255_14175255	start
chrX_14186752_14187752	start
chrX_14199044_14200044	start
chrX_14199677_14200677	start
chrX_14200861_14201861	start
chrX_14211914_14212914	start
chrX_14225788_14226788	start
chrX_14227559_14228559	start
chrX_14233912_14234912	start
chrX_14237487_14238487	start
chrX_14237814_14238814	start
chrX_14247231_14248231	start
chrX_14580099_14581099	start
chrX_14581635_14582635	start
chrX_14583176_14584176	start
chrX_14717772_14718772	start
chrX_14826366_14827366	start
chrX_14832146_14833146	start
chrX_14836970_14837970	start
chrX_14837851_14838851	start
chrX_14838875_14839875	start
chrX_14839467_14840467	start
chrX_14845971_14846971	start
chrX_14862488_14863488	start
chrX_14885451_14886451	start
chrX_14901451_14902451	start
chrX_14909664_14910664	start
chrX_14951844_14952844	start
chrX_14953622_14954622	start
chrX_14954976_14955976	start
chrX_15023935_15024935	start
chrX_15043622_15044622	start
chrX_15066506_15067506	start
chrX_15079455_15080455	start
chrX_15080866_15081866	start
chrX_15083528_15084528	start
chrX_15084658_15085658	start
chrX_15085624_15086624	start
chrX_15094957_15095957	start
chrX_15125252_15126252	start
chrX_15137369_15138369	start
chrX_15139436_15140436	start
chrX_15292530_15293530	start
chrX_15318978_15319978	start
chrX_15318991_15319991	start
chrX_15319453_15320453	start
chrX_15319868_15320868	start
chrX_15322345_15323345	start
chrX_15323090_15324090	start
chrX_15327841_15328841	start
chrX_15344668_15345668	start
chrX_15449760_15450760	start
chrX_15452970_15453970	start
chrX_15467390_15468390	start
chrX_15486421_15487421	start
chrX_15498507_15499507	start
chrX_15554752_15555752	start
chrX_15568492_15569492	start
chrX_15568665_15569665	start
chrX_15569879_15570879	start
chrX_15570160_15571160	start
chrX_15571575_15572575	start
chrX_15571758_15572758	start
chrX_15641057_15642057	start
chrX_15674975_15675975	start
chrX_15688989_15689989	start
chrX_15696993_15697993	start
chrX_15697004_15698004	start
chrX_15703624_15704624	start
chrX_15710146_15711146	start
chrX_15710556_15711556	start
chrX_15731677_15732677	start
chrX_15732721_15733721	start
chrX_15733769_15734769	start
chrX_15736992_15737992	start
chrX_15738729_15739729	start
chrX_15746147_15747147	start
chrX_15748665_15749665	start
chrX_15760747_15761747	start
chrX_15762455_15763455	start
chrX_15769163_15770163	start
chrX_15785546_15786546	start
chrX_15796407_15797407	start
chrX_15798925_15799925	start
chrX_15799095_15800095	start
chrX_15803869_15804869	start
chrX_15806952_15807952	start
chrX_15811593_15812593	start
chrX_15811826_15812826	start
chrX_15813052_15814052	start
chrX_15835100_15836100	start
chrX_15843975_15844975	start
chrX_15844136_15845136	start
chrX_15849230_15850230	start
chrX_15852920_15853920	start
chrX_15857633_15858633	start
chrX_15859614_15860614	start
chrX_15860205_15861205	start
chrX_15867644_15868644	start
chrX_15867710_15868710	start
chrX_15869682_15870682	start
chrX_15887066_15888066	start
chrX_15890088_15891088	start
chrX_15891615_15892615	start
chrX_15891699_15892699	start
chrX_15892388_15893388	start
chrX_15910866_15911866	start
chrX_15933994_15934994	start
chrX_15934400_15935400	start
chrX_15940576_15941576	start
chrX_15944396_15945396	start
chrX_15944477_15945477	start
chrX_15983271_15984271	start
chrX_15991967_15992967	start
chrX_15996515_15997515	start
chrX_16005646_16006646	start
chrX_16063237_16064237	start
chrX_16270450_16271450	start
chrX_16270903_16271903	start
chrX_16275769_16276769	start
chrX_16277827_16278827	start
chrX_16277856_16278856	start
chrX_16278078_16279078	start
chrX_16285452_16286452	start
chrX_16285787_16286787	start
chrX_16288309_16289309	start
chrX_16296170_16297170	start
chrX_16296582_16297582	start
chrX_16303369_16304369	start
chrX_16306531_16307531	start
chrX_16313208_16314208	start
chrX_16322785_16323785	start
chrX_16325262_16326262	start
chrX_16333111_16334111	start
chrX_16335683_16336683	start
chrX_16358642_16359642	start
chrX_16358773_16359773	start
chrX_16361068_16362068	start
chrX_16372585_16373585	start
chrX_16372721_16373721	start
chrX_16373129_16374129	start
chrX_16384777_16385777	start
chrX_16384977_16385977	start
chrX_16391197_16392197	start
chrX_16405921_16406921	start
chrX_16422330_16423330	start
chrX_16438647_16439647	start
chrX_16440932_16441932	start
chrX_16441052_16442052	start
chrX_16447067_16448067	start
chrX_16448164_16449164	start
chrX_16448651_16449651	start
chrX_16560183_16561183	start
chrX_16587372_16588372	start
chrX_16598740_16599740	start
chrX_16610184_16611184	start
chrX_16637393_16638393	start
chrX_16637640_16638640	start
chrX_16639309_16640309	start
chrX_16639360_16640360	start
chrX_16650875_16651875	start
chrX_16651381_16652381	start
chrX_16654858_16655858	start
chrX_16654969_16655969	start
chrX_16683715_16684715	start
chrX_16695630_16696630	start
chrX_16720682_16721682	start
chrX_16783432_16784432	start
chrX_16786782_16787782	start
chrX_16787251_16788251	start
chrX_16791618_16792618	start
chrX_16800429_16801429	start
chrX_16803149_16804149	start
chrX_16814994_16815994	start
chrX_16884080_16885080	start
chrX_16885045_16886045	start
chrX_16886317_16887317	start
chrX_16888341_16889341	start
chrX_16889309_16890309	start
chrX_16912679_16913679	start
chrX_16940585_16941585	start
chrX_16942789_16943789	start
chrX_17078335_17079335	start
chrX_17078339_17079339	start
chrX_17091353_17092353	start
chrX_17100697_17101697	start
chrX_17107081_17108081	start
chrX_17124962_17125962	start
chrX_17129922_17130922	start
chrX_17143606_17144606	start
chrX_17143782_17144782	start
chrX_17148500_17149500	start
chrX_17148530_17149530	start
chrX_17229774_17230774	start
chrX_17239967_17240967	start
chrX_17240766_17241766	start
chrX_17244852_17245852	start
chrX_17251644_17252644	start
chrX_17262176_17263176	start
chrX_17264932_17265932	start
chrX_17281276_17282276	start
chrX_17283261_17284261	start
chrX_17301969_17302969	start
chrX_17314080_17315080	start
chrX_17396977_17397977	start
chrX_17423090_17424090	start
chrX_17571353_17572353	start
chrX_17578188_17579188	start
chrX_17579360_17580360	start
chrX_17599107_17600107	start
chrX_17599490_17600490	start
chrX_17631588_17632588	start
chrX_17631820_17632820	start
chrX_17652260_17653260	start
chrX_17656871_17657871	start
chrX_17698416_17699416	start
chrX_17702851_17703851	start
chrX_17709643_17710643	start
chrX_17722702_17723702	start
chrX_17737912_17738912	start
chrX_17768068_17769068	start
chrX_17790509_17791509	start
chrX_17827595_17828595	start
chrX_17830327_17831327	start
chrX_17841660_17842660	start
chrX_17844448_17845448	start
chrX_17847609_17848609	start
chrX_17849959_17850959	start
chrX_17852457_17853457	start
chrX_17856473_17857473	start
chrX_17856576_17857576	start
chrX_17856611_17857611	start
chrX_17857878_17858878	start
chrX_17860501_17861501	start
chrX_17862196_17863196	start
chrX_17887676_17888676	start
chrX_17907191_17908191	start
chrX_17910961_17911961	start
chrX_18090758_18091758	start
chrX_18092644_18093644	start
chrX_18101469_18102469	start
chrX_18138041_18139041	start
chrX_18138125_18139125	start
chrX_18177111_18178111	start
chrX_18208926_18209926	start
chrX_18256108_18257108	start
chrX_18276732_18277732	start
chrX_18365856_18366856	start
chrX_18366060_18367060	start
chrX_18370396_18371396	start
chrX_18370760_18371760	start
chrX_18377503_18378503	start
chrX_18379581_18380581	start
chrX_18399068_18400068	start
chrX_18414914_18415914	start
chrX_18479571_18480571	start
chrX_18483986_18484986	start
chrX_18486949_18487949	start
chrX_18492901_18493901	start
chrX_18499626_18500626	start
chrX_18505382_18506382	start
