chrom	start	end	length
chr2L	3676151	3676152	1854
chr2L	3678709	3678710	1200
chr2L	3679912	3679913	391
chr2L	3680645	3680646	310
chr2L	3682130	3682131	1661
chr2L	3684349	3684350	1235
chr2L	3685356	3685357	288
chr2L	3687363	3687364	1899
chr2L	3689437	3689438	1825
chr2L	3720256	3720257	366
chr2L	3723516	3723517	1472
chr2L	3724865	3724866	740
chr2L	3734467	3734468	410
chr2L	3735545	3735546	637
chr2L	3736637	3736638	786
chr2L	3747105	3747106	1858
chr2L	3748842	3748843	920
chr2L	3751024	3751025	2918
chr2L	3758256	3758257	588
chr2L	3790957	3790958	622
chr2L	3793201	3793202	3167
chr2L	3797605	3797606	4484
chr2L	3800776	3800777	479
chr2L	3801595	3801596	735
chr2L	3882619	3882620	1319
chr2L	3884019	3884020	806
chr2L	3886237	3886238	3016
chr2L	3893399	3893400	811
chr2L	3894139	3894140	210
chr2L	3894568	3894569	220
chr2L	3898761	3898762	2244
chr2L	3901226	3901227	1404
chr2L	3907227	3907228	403
chr2L	3908067	3908068	283
chr2L	3908671	3908672	360
chr2L	3909487	3909488	650
chr2L	3910633	3910634	777
chr2L	3916953	3916954	2082
chr2L	3919220	3919221	1269
chr2L	3920912	3920913	374
chr2L	3921970	3921971	545
chr2L	3924718	3924719	1828
chr2L	3926301	3926302	413
chr2L	3926961	3926962	493
chr2L	3927779	3927780	630
chr2L	3929342	3929343	1698
chr2L	3930724	3930725	371
chr2L	3931664	3931665	439
chr2L	3933784	3933785	3231
chr2L	3936362	3936363	1455
chr2L	3937863	3937864	442
chr2L	3939102	3939103	871
chr2L	3941253	3941254	274
chr2L	3942561	3942562	1899
chr2L	3944838	3944839	1296
chr2L	3946293	3946294	1041
chr2L	3948040	3948041	258
chr2L	3948782	3948783	806
chr2L	3950837	3950838	1098
chr2L	3952162	3952163	989
chr2L	3953884	3953885	363
chr2L	3954585	3954586	525
chr2L	3956972	3956973	2456
chr2L	3958848	3958849	860
chr2L	3959657	3959658	315
chr2L	3960536	3960537	691
chr2L	3962493	3962494	418
chr2L	3963296	3963297	656
chr2L	3964024	3964025	371
chr2L	3964773	3964774	248
chr2L	3967312	3967313	1181
chr2L	3968660	3968661	747
chr2L	3969635	3969636	564
chr2L	3970259	3970260	264
chr2L	3971167	3971168	549
chr2L	3972648	3972649	1308
chr2L	3974361	3974362	1087
chr2L	3975402	3975403	292
chr2L	3976128	3976129	366
chr2L	3979022	3979023	2408
chr2L	3980872	3980873	437
chr2L	3982137	3982138	1257
chr2L	3984322	3984323	1530
chr2L	3986393	3986394	1640
chr2L	3989541	3989542	481
chr2L	3990533	3990534	1021
chr2L	4034085	4034086	360
chr2L	4035550	4035551	1338
chr2L	4037448	4037449	1847
chr2L	4040606	4040607	2950
chr2L	4045786	4045787	6319
chr2L	4051281	4051282	4145
chr2L	4055978	4055979	4685
chr2L	4058754	4058755	329
chr2L	4060618	4060619	2840
chr2L	4063596	4063597	2453
chr2L	4065571	4065572	442
chr2L	4070649	4070650	3595
chr2L	4081750	4081751	5215
chr2L	4089624	4089625	2359
chr2L	4092508	4092509	2798
chr2L	4095441	4095442	2303
chr2L	4100018	4100019	5872
chr2L	4104438	4104439	2218
chr2L	4109253	4109254	5931
chr2L	4113109	4113110	1322
chr2L	4193821	4193822	2497
chr2L	4287359	4287360	1841
chr2L	4290794	4290795	3081
chr2L	4292799	4292800	322
chr2L	4296614	4296615	5027
chr2L	4300840	4300841	1980
chr2L	4303191	4303192	2289
chr2L	4307483	4307484	1873
chr2L	4309590	4309591	1318
chr2L	4311396	4311397	705
chr2L	4312807	4312808	1561
chr2L	4314286	4314287	860
chr2L	4322150	4322151	545
chr2L	4326834	4326835	1856
chr2L	4329218	4329219	2175
chr2L	4336671	4336672	2180
chr2L	4384729	4384730	1204
chr2L	4397303	4397304	385
chr2L	4398569	4398570	1546
chr2L	4404814	4404815	267
chr2L	4405837	4405838	1344
chr2L	4414097	4414098	1814
chr2L	4417702	4417703	4770
chr2L	4420864	4420865	813
chr2L	4422385	4422386	548
chr2L	4423692	4423693	560
chr2L	4424474	4424475	274
chr2L	4426077	4426078	2301
chr2L	4428316	4428317	477
chr2L	4429108	4429109	463
chr2L	4430101	4430102	524
chr2L	4430960	4430961	319
chr2L	4432109	4432110	338
chr2L	4432779	4432780	467
chr2L	4436485	4436486	491
chr2L	4470270	4470271	739
chr2L	4471432	4471433	545
chr2L	4481832	4481833	764
chr2L	4483447	4483448	1868
chr2L	4486268	4486269	3281
chr2L	4490009	4490010	3406
chr2L	4496594	4496595	9170
chr2L	4506252	4506253	9636
chr2L	4512409	4512410	1575
chr2L	4514710	4514711	1294
chr2L	4517216	4517217	3284
chr2L	4520510	4520511	2492
chr2L	4525749	4525750	6977
chr2L	4530402	4530403	941
chr2L	4532925	4532926	453
chr2L	4534456	4534457	1382
chr2L	4540396	4540397	368
chr2L	4543563	4543564	422
chr2L	4545267	4545268	489
chr2L	4546631	4546632	1495
chr2L	4548278	4548279	614
chr2L	4549410	4549411	990
chr2L	4551250	4551251	934
chr2L	4553112	4553113	725
chr2L	4554479	4554480	804
chr2L	4560256	4560257	9535
chr2L	4565555	4565556	528
chr2L	4567307	4567308	1978
chr2L	4569781	4569782	2075
chr2L	4571949	4571950	1771
chr2L	4585171	4585172	650
chr2L	4587603	4587604	3780
chr2L	4590599	4590600	772
chr2L	4596535	4596536	530
chr2L	4597807	4597808	1022
chr2L	4598832	4598833	224
chr2L	4600897	4600898	2197
chr2L	4610160	4610161	2035
chr2L	4612198	4612199	1056
chr2L	4643993	4643994	791
chr2L	4696782	4696783	1719
chr2L	4699093	4699094	2294
chr2L	4702454	4702455	898
chr2L	4703504	4703505	705
chr2L	4705228	4705229	1797
chr2L	4709105	4709106	5247
chr2L	4712354	4712355	619
chr2L	4713382	4713383	890
chr2L	4714748	4714749	795
chr2L	4715665	4715666	398
chr2L	4716269	4716270	256
chr2L	4716814	4716815	331
chr2L	4718132	4718133	1178
chr2L	4720216	4720217	1440
chr2L	4721751	4721752	271
chr2L	4736229	4736230	1743
chr2L	4738268	4738269	534
chr2L	4740293	4740294	2149
chr2L	4743064	4743065	1627
chr2L	4744758	4744759	1299
chr2L	4746632	4746633	395
chr2L	4747547	4747548	312
chr2L	4749529	4749530	294
chr2L	4750442	4750443	642
chr2L	4751587	4751588	406
chr2L	4752518	4752519	984
chr2L	4753442	4753443	293
chr2L	4754578	4754579	1289
chr2L	4756590	4756591	457
chr2L	4757910	4757911	853
chr2L	4759382	4759383	1391
chr2L	4767146	4767147	1408
chr2L	4768498	4768499	407
chr2L	4769965	4769966	525
chr2L	4771040	4771041	559
chr2L	4772957	4772958	529
chr2L	4773866	4773867	464
chr2L	4775360	4775361	539
chr2L	4776528	4776529	976
chr2L	4777980	4777981	1318
chr2L	4779167	4779168	252
chr2L	4780267	4780268	1060
chr2L	4781628	4781629	1002
chr2L	4783134	4783135	1441
chr2L	4784672	4784673	1184
chr2L	4786259	4786260	742
chr2L	4787523	4787524	1243
chr2L	4789110	4789111	876
chr2L	4790088	4790089	588
chr2L	4792120	4792121	2570
chr2L	4823389	4823390	699
chr2L	4825851	4825852	2940
chr2L	4855014	4855015	635
chr2L	4856239	4856240	1401
chr2L	4858211	4858212	1231
chr2L	4859894	4859895	795
chr2L	4860805	4860806	451
chr2L	4862072	4862073	1150
chr2L	4863778	4863779	1458
chr2L	4866502	4866503	3327
chr2L	4870948	4870949	4411
chr2L	4874036	4874037	777
chr2L	4893824	4893825	1343
chr2L	4895260	4895261	282
chr2L	4896745	4896746	1146
chr2L	4898605	4898606	1784
chr2L	4900350	4900351	1064
chr2L	4901730	4901731	1082
chr2L	4912973	4912974	379
chr2L	4923949	4923950	1431
chr2L	4925313	4925314	306
chr2L	4926272	4926273	1075
chr2L	4927514	4927515	603
chr2L	4938837	4938838	291
chr2L	4962397	4962398	2019
chr2L	4986284	4986285	325
chr2L	4987111	4987112	226
chr2L	4988340	4988341	1584
chr2L	5013614	5013615	1318
chr2L	5015881	5015882	2068
chr2L	5020413	5020414	3272
chr2L	5024416	5024417	4062
chr2L	5032649	5032650	204
chr2L	5034633	5034634	440
chr2L	5035436	5035437	639
chr2L	5042035	5042036	424
chr2L	5080958	5080959	2004
chr2L	5082849	5082850	693
chr2L	5084768	5084769	1951
chr2L	5103932	5103933	2351
chr2L	5115838	5115839	302
chr2L	5116552	5116553	543
chr2L	5117605	5117606	661
chr2L	5119944	5119945	2936
chr2L	5122281	5122282	458
chr2L	5122970	5122971	468
chr2L	5124665	5124666	1662
chr2L	5126364	5126365	1317
chr2L	5131203	5131204	7700
chr2L	5140605	5140606	10126
chr2L	5148571	5148572	2766
chr2L	5150505	5150506	440
chr2L	5154734	5154735	1471
chr2L	5155916	5155917	348
chr2L	5156472	5156473	356
chr2L	5168874	5168875	2830
chr2L	5172912	5172913	391
chr2L	5174604	5174605	283
chr2L	5179787	5179788	272
chr2L	5181055	5181056	1572
chr2L	5204423	5204424	559
chr2L	5230360	5230361	6507
chr2L	5234865	5234866	1871
chr2L	5239971	5239972	3086
chr2L	5252332	5252333	815
chr2L	5276136	5276137	428
chr2L	5280467	5280468	691
chr2L	5281464	5281465	763
chr2L	5290713	5290714	2038
chr2L	5292358	5292359	752
chr2L	5293474	5293475	813
chr2L	5301265	5301266	1371
chr2L	5306821	5306822	674
chr2L	5318965	5318966	2510
chr2L	5321378	5321379	1460
chr2L	5322990	5322991	485
chr2L	5323985	5323986	491
chr2L	5325217	5325218	867
chr2L	5334458	5334459	990
chr2L	5336878	5336879	215
chr2L	5347800	5347801	417
chr2L	5348417	5348418	380
chr2L	5349245	5349246	455
chr2L	5350299	5350300	293
chr2L	5351323	5351324	478
chr2L	5352237	5352238	615
chr2L	5353395	5353396	1091
chr2L	5354385	5354386	286
chr2L	5355599	5355600	737
chr2L	5356923	5356924	1238
chr2L	5359612	5359613	3173
chr2L	5361869	5361870	299
chr2L	5362529	5362530	308
chr2L	5380080	5380081	281
chr2L	5406998	5406999	804
chr2L	5409177	5409178	2947
chr2L	5413029	5413030	2698
chr2L	5463986	5463987	965
chr2L	5545560	5545561	526
chr2L	5603815	5603816	759
chr2L	5605731	5605732	1274
chr2L	5607157	5607158	979
chr2L	5608212	5608213	529
chr2L	5609846	5609847	1112
chr2L	5610967	5610968	494
chr2L	5612217	5612218	1435
chr2L	5613649	5613650	247
chr2L	5614347	5614348	270
chr2L	5616666	5616667	292
chr2L	5627373	5627374	1129
chr2L	5628391	5628392	469
chr2L	5629832	5629833	1366
chr2L	5634016	5634017	1189
chr2L	5635149	5635150	430
chr2L	5637198	5637199	549
chr2L	5639487	5639488	1285
chr2L	5643943	5643944	936
chr2L	5646492	5646493	687
chr2L	5648799	5648800	540
chr2L	5649423	5649424	281
chr2L	5654048	5654049	1459
chr2L	5655332	5655333	692
chr2L	5656112	5656113	330
chr2L	5664654	5664655	208
chr2L	5666112	5666113	675
chr2L	5667522	5667523	902
chr2L	5668605	5668606	536
chr2L	5722417	5722418	245
chr2L	5739260	5739261	1789
chr2L	5743672	5743673	515
chr2L	5753803	5753804	2483
chr2L	5756539	5756540	2428
chr2L	5776337	5776338	427
chr2L	5777729	5777730	1772
chr2L	5780534	5780535	3236
chr2L	5786927	5786928	1814
chr2L	5789791	5789792	2830
chr2L	5792649	5792650	2207
chr2L	5794417	5794418	490
chr2L	5795238	5795239	677
chr2L	5796950	5796951	597
chr2L	5798466	5798467	1476
chr2L	5829089	5829090	330
chr2L	5837434	5837435	375
chr2L	5838754	5838755	1622
chr2L	5840084	5840085	615
