chrom	txStart	txEnd	paste_locus
chr4	597623	598274	chr4_597623_598274
chr4	598554	607649	chr4_598554_607649
chr4	610683	620351	chr4_610683_620351
chr4	610683	620734	chr4_610683_620734
chr4	610683	620926	chr4_610683_620926
chr4	610683	620926	chr4_610683_620926
chr4	610683	622470	chr4_610683_622470
chr4	623218	626031	chr4_623218_626031
chr4	626125	626212	chr4_626125_626212
chr4	629690	635350	chr4_629690_635350
chr4	629692	635350	chr4_629692_635350
chr4	636130	646556	chr4_636130_646556
chr4	636130	646556	chr4_636130_646556
chr4	663620	669884	chr4_663620_669884
chr4	663620	669884	chr4_663620_669884
chr4	663620	669884	chr4_663620_669884
chr4	671141	687565	chr4_671141_687565
chr4	671141	690650	chr4_671141_690650
chr4	680269	687565	chr4_680269_687565
chr4	680592	689595	chr4_680592_689595
chr4	690685	696055	chr4_690685_696055
chr4	691277	696055	chr4_691277_696055
chr4	691600	696055	chr4_691600_696055
chr4	697688	721173	chr4_697688_721173
chr4	704650	721173	chr4_704650_721173
chr4	707428	721173	chr4_707428_721173
chr4	724399	776081	chr4_724399_776081
chr4	724399	776474	chr4_724399_776474
chr4	725355	776081	chr4_725355_776081
chr4	725657	776081	chr4_725657_776081
chr4	776474	777146	chr4_776474_777146
chr4	800435	804080	chr4_800435_804080
chr4	800435	807347	chr4_800435_807347
chr4	800435	834393	chr4_800435_834393
chr4	836985	844529	chr4_836985_844529
chr4	851173	851624	chr4_851173_851624
chr4	853556	867025	chr4_853556_867025
chr4	855399	867025	chr4_855399_867025
chr4	867823	871426	chr4_867823_871426
chr4	867823	904026	chr4_867823_904026
chr4	870929	893565	chr4_870929_893565
chr4	870929	904821	chr4_870929_904821
chr4	870929	912331	chr4_870929_912331
chr4	879373	884752	chr4_879373_884752
chr4	881470	883402	chr4_881470_883402
chr4	936818	944486	chr4_936818_944486
chr4	936818	946825	chr4_936818_946825
chr4	936818	946825	chr4_936818_946825
chr4	936818	949441	chr4_936818_949441
chr4	951541	958170	chr4_951541_958170
chr4	951541	958392	chr4_951541_958392
chr4	959223	959434	chr4_959223_959434
chr4	959674	962692	chr4_959674_962692
chr4	962340	969374	chr4_962340_969374
chr4	962340	976035	chr4_962340_976035
chr4	962340	978489	chr4_962340_978489
chr4	975167	975810	chr4_975167_975810
chr4	975167	977261	chr4_975167_977261
chr4	976794	977261	chr4_976794_977261
chr4	989724	1006288	chr4_989724_1006288
chr4	989724	1007922	chr4_989724_1007922
chr4	1009894	1027101	chr4_1009894_1027101
chr4	1013403	1027101	chr4_1013403_1027101
chr4	1013403	1027101	chr4_1013403_1027101
chr4	1013632	1027101	chr4_1013632_1027101
chr4	1027862	1029359	chr4_1027862_1029359
chr4	1028280	1029359	chr4_1028280_1029359
chr4	1028674	1029361	chr4_1028674_1029361
chr4	1029710	1030975	chr4_1029710_1030975
chr4	1029710	1031676	chr4_1029710_1031676
chr4	1029710	1031757	chr4_1029710_1031757
chr4	1031483	1034557	chr4_1031483_1034557
chr4	1031863	1034557	chr4_1031863_1034557
chr4	1031863	1034917	chr4_1031863_1034917
chr4	1057364	1060918	chr4_1057364_1060918
chr4	1057364	1060918	chr4_1057364_1060918
chr4	1057364	1065001	chr4_1057364_1065001
chr4	1057364	1065001	chr4_1057364_1065001
chr4	1060968	1076204	chr4_1060968_1076204
chr4	1062677	1076204	chr4_1062677_1076204
chr4	1064905	1076204	chr4_1064905_1076204
chr4	1064905	1077273	chr4_1064905_1077273
chr4	1077330	1084796	chr4_1077330_1084796
chr4	1088797	1110974	chr4_1088797_1110974
chr4	1088797	1113317	chr4_1088797_1113317
chr4	1098524	1113317	chr4_1098524_1113317
chr4	1112873	1122965	chr4_1112873_1122965
chr4	1115078	1122965	chr4_1115078_1122965
chr4	1115254	1123357	chr4_1115254_1123357
chr4	1124166	1125113	chr4_1124166_1125113
chr4	1124166	1125325	chr4_1124166_1125325
chr4	1126601	1135094	chr4_1126601_1135094
chr4	1126601	1135914	chr4_1126601_1135914
chr4	1126601	1137919	chr4_1126601_1137919
chr4	1137829	1146121	chr4_1137829_1146121
chr4	1137829	1146529	chr4_1137829_1146529
chr4	1137829	1162158	chr4_1137829_1162158
chr4	1147465	1169239	chr4_1147465_1169239
chr4	1185767	1192537	chr4_1185767_1192537
chr4	1185767	1192694	chr4_1185767_1192694
chr4	1186114	1192985	chr4_1186114_1192985
chr4	1192418	1196848	chr4_1192418_1196848
chr4	1198851	1224467	chr4_1198851_1224467
chr4	1198857	1223450	chr4_1198857_1223450
chr4	1198857	1224467	chr4_1198857_1224467
chr4	1219039	1223450	chr4_1219039_1223450
chr4	1225088	1230713	chr4_1225088_1230713
chr4	1225736	1230713	chr4_1225736_1230713
chr4	1230836	1271759	chr4_1230836_1271759
chr4	1231882	1271759	chr4_1231882_1271759
chrM	239	1263	chrM_239_1263
chrM	1473	3009	chrM_1473_3009
chrM	3082	3767	chrM_3082_3767
chrM	3906	4068	chrM_3906_4068
chrM	4061	4736	chrM_4061_4736
chrM	4735	5524	chrM_4735_5524
chrM	5607	5961	chrM_5607_5961
chrM	6408	8125	chrM_6408_8125
chrM	8206	9545	chrM_8206_9545
chrM	9544	9835	chrM_9544_9835
chrM	9970	10495	chrM_9970_10495
chrM	10498	11635	chrM_10498_11635
chrM	11720	12659	chrM_11720_12659
chrX	8385780	8389504	chrX_8385780_8389504
chrX	16752188	16781074	chrX_16752188_16781074
chrX	16752188	16782545	chrX_16752188_16782545
chrX	16752188	16783434	chrX_16752188_16783434
chrX	1047241	1088866	chrX_1047241_1088866
chrX	2094233	2113664	chrX_2094233_2113664
chrX	2094233	2115701	chrX_2094233_2115701
chrX	3134869	3171682	chrX_3134869_3171682
chrX	3134869	3172221	chrX_3134869_3172221
chrX	4132886	4206093	chrX_4132886_4206093
chrX	4134382	4206093	chrX_4134382_4206093
chrX	4135869	4206093	chrX_4135869_4206093
chrX	4139052	4206093	chrX_4139052_4206093
chrX	4140174	4206093	chrX_4140174_4206093
chrX	5085758	5250952	chrX_5085758_5250952
chrX	5085758	5254864	chrX_5085758_5254864
chrX	5085758	5254864	chrX_5085758_5254864
chrX	5085758	5254864	chrX_5085758_5254864
chrX	5165309	5254864	chrX_5165309_5254864
chrX	5165309	5254864	chrX_5165309_5254864
chrX	6291302	6293153	chrX_6291302_6293153
chrX	6291302	6294177	chrX_6291302_6294177
chrX	7166450	7405797	chrX_7166450_7405797
chrX	7167731	7405797	chrX_7167731_7405797
chrX	7281088	7405797	chrX_7281088_7405797
chrX	7337351	7342731	chrX_7337351_7342731
chrX	7337351	7342731	chrX_7337351_7342731
chrX	7337705	7342731	chrX_7337705_7342731
chrX	9358495	9500129	chrX_9358495_9500129
chrX	9359849	9495899	chrX_9359849_9495899
chrX	9359849	9496189	chrX_9359849_9496189
chrX	9359849	9500129	chrX_9359849_9500129
chrX	10482027	10486632	chrX_10482027_10486632
chrX	10482027	10487205	chrX_10482027_10487205
chrX	11493134	11555045	chrX_11493134_11555045
chrX	11493818	11555045	chrX_11493818_11555045
chrX	12569168	12583193	chrX_12569168_12583193
chrX	12569750	12583193	chrX_12569750_12583193
chrX	12571210	12583193	chrX_12571210_12583193
chrX	13624744	13663657	chrX_13624744_13663657
chrX	13624744	13663657	chrX_13624744_13663657
chrX	13624744	13663657	chrX_13624744_13663657
chrX	14679567	14680931	chrX_14679567_14680931
chrX	14679567	14681418	chrX_14679567_14681418
chrX	15712627	15731488	chrX_15712627_15731488
chrX	15712627	15731935	chrX_15712627_15731935
chrX	15713640	15731488	chrX_15713640_15731488
chrX	17820763	17827564	chrX_17820763_17827564
chrX	17820774	17827520	chrX_17820774_17827520
chrX	18863949	18880636	chrX_18863949_18880636
chrX	18863949	18884075	chrX_18863949_18884075
chrX	23068300	23080765	chrX_23068300_23080765
chrX	23068300	23081144	chrX_23068300_23081144
chrX	127448	140340	chrX_127448_140340
chrX	127452	140340	chrX_127452_140340
chrX	131034	139046	chrX_131034_139046
chrX	258334	263995	chrX_258334_263995
chrX	258334	263999	chrX_258334_263999
chrX	258464	267253	chrX_258464_267253
chrX	316575	428251	chrX_316575_428251
chrX	316575	470726	chrX_316575_470726
chrX	391834	393227	chrX_391834_393227
chrX	509434	528028	chrX_509434_528028
chrX	648482	656033	chrX_648482_656033
chrX	784745	788046	chrX_784745_788046
chrX	784745	788215	chrX_784745_788215
chrX	808216	927975	chrX_808216_927975
chrX	1289716	1322362	chrX_1289716_1322362
chrX	1409068	1451367	chrX_1409068_1451367
chrX	1411725	1453686	chrX_1411725_1453686
chrX	1413800	1451367	chrX_1413800_1451367
chrX	1523553	1618155	chrX_1523553_1618155
chrX	1552278	1618155	chrX_1552278_1618155
chrX	1552278	1668788	chrX_1552278_1668788
chrX	1773718	1852933	chrX_1773718_1852933
chrX	1824161	1852933	chrX_1824161_1852933
chrX	1824942	1852933	chrX_1824942_1852933
chrX	1825062	1852933	chrX_1825062_1852933
chrX	1827346	1852933	chrX_1827346_1852933
chrX	1831302	1852933	chrX_1831302_1852933
chrX	1941939	2005462	chrX_1941939_2005462
chrX	1941939	2005462	chrX_1941939_2005462
chrX	1941939	2005462	chrX_1941939_2005462
chrX	1941939	2005462	chrX_1941939_2005462
chrX	1941939	2005462	chrX_1941939_2005462
chrX	1941939	2005462	chrX_1941939_2005462
chrX	1941939	2007956	chrX_1941939_2007956
chrX	2225295	2237961	chrX_2225295_2237961
chrX	2225295	2238045	chrX_2225295_2238045
chrX	2344948	2366356	chrX_2344948_2366356
chrX	2345265	2366356	chrX_2345265_2366356
chrX	2470459	2505550	chrX_2470459_2505550
chrX	2470459	2517647	chrX_2470459_2517647
chrX	2470459	2545410	chrX_2470459_2545410
chrX	2476258	2545410	chrX_2476258_2545410
chrX	2479616	2545410	chrX_2479616_2545410
chrX	2619798	2622140	chrX_2619798_2622140
chrX	2740383	3132791	chrX_2740383_3132791
chrX	2740804	3132791	chrX_2740804_3132791
chrX	2740804	3134532	chrX_2740804_3134532
chrX	2882225	2883661	chrX_2882225_2883661
chrX	2882225	2883661	chrX_2882225_2883661
chrX	2989050	3132791	chrX_2989050_3132791
chrX	3176439	3339327	chrX_3176439_3339327
chrX	3176439	3343767	chrX_3176439_3343767
chrX	3176439	3343767	chrX_3176439_3343767
chrX	3256067	3339327	chrX_3256067_3339327
chrX	3256067	3343767	chrX_3256067_3343767
chrX	3256067	3343767	chrX_3256067_3343767
chrX	3373158	3522787	chrX_3373158_3522787
chrX	3387943	3448943	chrX_3387943_3448943
chrX	3392396	3445094	chrX_3392396_3445094
chrX	3392485	3440146	chrX_3392485_3440146
chrX	3392485	3448943	chrX_3392485_3448943
chrX	3511336	3571649	chrX_3511336_3571649
chrX	3668836	3671502	chrX_3668836_3671502
chrX	3668900	3671488	chrX_3668900_3671488
chrX	3799149	3801570	chrX_3799149_3801570
chrX	3931999	3936227	chrX_3931999_3936227
chrX	3932155	3936227	chrX_3932155_3936227
chrX	3932155	3936469	chrX_3932155_3936469
chrX	4062858	4064506	chrX_4062858_4064506
chrX	4322625	4364879	chrX_4322625_4364879
chrX	4322625	4365408	chrX_4322625_4365408
chrX	4323608	4365408	chrX_4323608_4365408
chrX	4387675	4611385	chrX_4387675_4611385
chrX	4412855	4484452	chrX_4412855_4484452
chrX	4413461	4484452	chrX_4413461_4484452
chrX	4413461	4484452	chrX_4413461_4484452
chrX	4413461	4485647	chrX_4413461_4485647
chrX	4427134	4484452	chrX_4427134_4484452
chrX	4427134	4485647	chrX_4427134_4485647
chrX	4707915	4728744	chrX_4707915_4728744
chrX	4707915	4729487	chrX_4707915_4729487
chrX	4708747	4728744	chrX_4708747_4728744
chrX	4840832	4906260	chrX_4840832_4906260
chrX	4840832	4906260	chrX_4840832_4906260
chrX	4840832	4906575	chrX_4840832_4906575
chrX	4956645	5063868	chrX_4956645_5063868
chrX	5340235	5397118	chrX_5340235_5397118
chrX	5340235	5401123	chrX_5340235_5401123
chrX	5340235	5401123	chrX_5340235_5401123
chrX	5340235	5401123	chrX_5340235_5401123
chrX	5340235	5404204	chrX_5340235_5404204
chrX	5340235	5404204	chrX_5340235_5404204
chrX	5340235	5405138	chrX_5340235_5405138
chrX	5340235	5405138	chrX_5340235_5405138
chrX	5358271	5401123	chrX_5358271_5401123
chrX	5365224	5401123	chrX_5365224_5401123
chrX	5365224	5401123	chrX_5365224_5401123
chrX	5365224	5401123	chrX_5365224_5401123
chrX	5365224	5401123	chrX_5365224_5401123
chrX	5365224	5401123	chrX_5365224_5401123
chrX	5625675	5648487	chrX_5625675_5648487
chrX	5626316	5648487	chrX_5626316_5648487
chrX	5627668	5637594	chrX_5627668_5637594
chrX	5628220	5648487	chrX_5628220_5648487
chrX	5628220	5648487	chrX_5628220_5648487
chrX	5628220	5648487	chrX_5628220_5648487
chrX	5764552	5789576	chrX_5764552_5789576
chrX	5765854	5770780	chrX_5765854_5770780
chrX	5882479	5899989	chrX_5882479_5899989
chrX	6104084	6192483	chrX_6104084_6192483
chrX	6106177	6192483	chrX_6106177_6192483
chrX	6540770	6554814	chrX_6540770_6554814
chrX	6540770	6585638	chrX_6540770_6585638
chrX	6540770	6589173	chrX_6540770_6589173
chrX	6540770	6589173	chrX_6540770_6589173
chrX	6540770	6589173	chrX_6540770_6589173
chrX	6540770	6589173	chrX_6540770_6589173
chrX	6540770	6589173	chrX_6540770_6589173
chrX	6540770	6589173	chrX_6540770_6589173
chrX	6546118	6585638	chrX_6546118_6585638
chrX	6546118	6589173	chrX_6546118_6589173
chrX	6546118	6589173	chrX_6546118_6589173
chrX	6683797	6687014	chrX_6683797_6687014
chrX	6683840	6687014	chrX_6683840_6687014
chrX	6683840	6687302	chrX_6683840_6687302
chrX	6684354	6687018	chrX_6684354_6687018
chrX	6813977	6818156	chrX_6813977_6818156
chrX	6908276	6966944	chrX_6908276_6966944
chrX	6908276	6968829	chrX_6908276_6968829
chrX	7074549	7092883	chrX_7074549_7092883
chrX	7075664	7098053	chrX_7075664_7098053
chrX	7075664	7098053	chrX_7075664_7098053
chrX	7076709	7092883	chrX_7076709_7092883
chrX	7076709	7098053	chrX_7076709_7098053
chrX	7076709	7098053	chrX_7076709_7098053
chrX	7076709	7098053	chrX_7076709_7098053
chrX	7077870	7098053	chrX_7077870_7098053
chrX	7137722	7241538	chrX_7137722_7241538
chrX	7137722	7241932	chrX_7137722_7241932
chrX	7196028	7241932	chrX_7196028_7241932
chrX	7731778	7734438	chrX_7731778_7734438
chrX	7731778	7734651	chrX_7731778_7734651
chrX	8121279	8129285	chrX_8121279_8129285
chrX	8121279	8135713	chrX_8121279_8135713
chrX	8252669	8272462	chrX_8252669_8272462
chrX	8517372	8551207	chrX_8517372_8551207
chrX	8517372	8553332	chrX_8517372_8553332
chrX	8517372	8555170	chrX_8517372_8555170
chrX	8517429	8551207	chrX_8517429_8551207
chrX	8517429	8552119	chrX_8517429_8552119
chrX	8517487	8551207	chrX_8517487_8551207
chrX	8517487	8551207	chrX_8517487_8551207
chrX	8517508	8550375	chrX_8517508_8550375
chrX	8517740	8551207	chrX_8517740_8551207
chrX	8756538	8785353	chrX_8756538_8785353
chrX	8757259	8805804	chrX_8757259_8805804
chrX	8907067	9024936	chrX_8907067_9024936
chrX	8907067	9025808	chrX_8907067_9025808
chrX	8912367	9025808	chrX_8912367_9025808
chrX	8972907	9048991	chrX_8972907_9048991
chrX	8977335	9048991	chrX_8977335_9048991
chrX	9030204	9053319	chrX_9030204_9053319
chrX	9030204	9054575	chrX_9030204_9054575
chrX	9039674	9053319	chrX_9039674_9053319
chrX	9042643	9053319	chrX_9042643_9053319
chrX	9042643	9054575	chrX_9042643_9054575
chrX	9163254	9189309	chrX_9163254_9189309
chrX	9164162	9175190	chrX_9164162_9175190
chrX	9165962	9189309	chrX_9165962_9189309
chrX	9558664	9571308	chrX_9558664_9571308
chrX	9783222	9849226	chrX_9783222_9849226
chrX	9788323	9849226	chrX_9788323_9849226
chrX	9788465	9849226	chrX_9788465_9849226
chrX	9794675	9855449	chrX_9794675_9855449
chrX	10086526	10138325	chrX_10086526_10138325
chrX	10086526	10148876	chrX_10086526_10148876
chrX	10220109	10229895	chrX_10220109_10229895
chrX	10220109	10230088	chrX_10220109_10230088
chrX	10222851	10229895	chrX_10222851_10229895
chrX	10348679	10366273	chrX_10348679_10366273
chrX	10602640	10620190	chrX_10602640_10620190
chrX	10603912	10620190	chrX_10603912_10620190
chrX	10603937	10620190	chrX_10603937_10620190
chrX	10744501	10748806	chrX_10744501_10748806
chrX	10744501	10749097	chrX_10744501_10749097
chrX	10745433	10748806	chrX_10745433_10748806
chrX	10878053	10890820	chrX_10878053_10890820
chrX	10878053	10891250	chrX_10878053_10891250
chrX	10967721	11039901	chrX_10967721_11039901
chrX	11139607	11141238	chrX_11139607_11141238
chrX	11140473	11141835	chrX_11140473_11141835
chrX	11219378	11293699	chrX_11219378_11293699
chrX	11220079	11293699	chrX_11220079_11293699
chrX	11222632	11293699	chrX_11222632_11293699
chrX	11222632	11302783	chrX_11222632_11302783
chrX	11224285	11293699	chrX_11224285_11293699
chrX	11224285	11302783	chrX_11224285_11302783
chrX	11369664	11407751	chrX_11369664_11407751
chrX	11369664	11409776	chrX_11369664_11409776
chrX	11384879	11409776	chrX_11384879_11409776
chrX	11389667	11407751	chrX_11389667_11407751
chrX	11389667	11407751	chrX_11389667_11407751
chrX	11389667	11407751	chrX_11389667_11407751
chrX	11389667	11408338	chrX_11389667_11408338
chrX	11390068	11407751	chrX_11390068_11407751
chrX	11390068	11409776	chrX_11390068_11409776
chrX	11390371	11407985	chrX_11390371_11407985
chrX	11622014	11676253	chrX_11622014_11676253
chrX	11622014	11676253	chrX_11622014_11676253
chrX	11622014	11677338	chrX_11622014_11677338
chrX	11622014	11677338	chrX_11622014_11677338
chrX	11792532	11797924	chrX_11792532_11797924
chrX	11792532	11801587	chrX_11792532_11801587
chrX	11792713	11797301	chrX_11792713_11797301
chrX	11792878	11797565	chrX_11792878_11797565
chrX	11792878	11798850	chrX_11792878_11798850
chrX	11926423	11930850	chrX_11926423_11930850
chrX	12043697	12116041	chrX_12043697_12116041
chrX	12043697	12332165	chrX_12043697_12332165
chrX	12128285	12332165	chrX_12128285_12332165
chrX	12128285	12332165	chrX_12128285_12332165
chrX	12128285	12335214	chrX_12128285_12335214
chrX	12203797	12332165	chrX_12203797_12332165
chrX	12203797	12335214	chrX_12203797_12335214
chrX	12229922	12332165	chrX_12229922_12332165
chrX	12230027	12332165	chrX_12230027_12332165
chrX	12432223	12453650	chrX_12432223_12453650
chrX	12441483	12453650	chrX_12441483_12453650
chrX	12684202	12742444	chrX_12684202_12742444
chrX	12686000	12742070	chrX_12686000_12742070
chrX	12686000	12742618	chrX_12686000_12742618
chrX	12785562	12897327	chrX_12785562_12897327
chrX	12791139	12868771	chrX_12791139_12868771
chrX	12791139	12897327	chrX_12791139_12897327
chrX	12791139	12897327	chrX_12791139_12897327
chrX	12974682	12976231	chrX_12974682_12976231
chrX	13095570	13112462	chrX_13095570_13112462
chrX	13096115	13112462	chrX_13096115_13112462
chrX	13214408	13257183	chrX_13214408_13257183
chrX	13215155	13257183	chrX_13215155_13257183
chrX	13215155	13257183	chrX_13215155_13257183
chrX	13215155	13257183	chrX_13215155_13257183
chrX	13215155	13258490	chrX_13215155_13258490
chrX	13215155	13258490	chrX_13215155_13258490
chrX	13368190	13370472	chrX_13368190_13370472
chrX	13445902	13519626	chrX_13445902_13519626
chrX	13445902	13527282	chrX_13445902_13527282
chrX	13846115	13986442	chrX_13846115_13986442
chrX	13850847	13988831	chrX_13850847_13988831
chrX	13858016	13933343	chrX_13858016_13933343
chrX	13865861	13990527	chrX_13865861_13990527
chrX	13869215	13947076	chrX_13869215_13947076
chrX	13869215	13986442	chrX_13869215_13986442
chrX	13882853	13988831	chrX_13882853_13988831
chrX	14277734	14288161	chrX_14277734_14288161
chrX	14322225	14462351	chrX_14322225_14462351
chrX	14787477	14818789	chrX_14787477_14818789
chrX	14787477	14825905	chrX_14787477_14825905
chrX	14787477	14826073	chrX_14787477_14826073
chrX	14933669	14952009	chrX_14933669_14952009
chrX	14934039	14950749	chrX_14934039_14950749
chrX	14934039	14951794	chrX_14934039_14951794
chrX	14934039	14953532	chrX_14934039_14953532
chrX	15069126	15076220	chrX_15069126_15076220
chrX	15071462	15076220	chrX_15071462_15076220
chrX	15071462	15076220	chrX_15071462_15076220
chrX	15071462	15076220	chrX_15071462_15076220
chrX	15071462	15076220	chrX_15071462_15076220
chrX	15333309	15340360	chrX_15333309_15340360
chrX	15333309	15340360	chrX_15333309_15340360
chrX	15334219	15340360	chrX_15334219_15340360
chrX	15334477	15335752	chrX_15334477_15335752
chrX	15334477	15335971	chrX_15334477_15335971
chrX	15334477	15340360	chrX_15334477_15340360
chrX	15334555	15340360	chrX_15334555_15340360
chrX	15334565	15339092	chrX_15334565_15339092
chrX	15335140	15340360	chrX_15335140_15340360
chrX	15462721	15466812	chrX_15462721_15466812
chrX	15462721	15466812	chrX_15462721_15466812
chrX	15464581	15466812	chrX_15464581_15466812
chrX	15465326	15466807	chrX_15465326_15466807
chrX	15465564	15466812	chrX_15465564_15466812
chrX	15465739	15466812	chrX_15465739_15466812
chrX	15466183	15467529	chrX_15466183_15467529
chrX	15466183	15467757	chrX_15466183_15467757
chrX	15987007	15991974	chrX_15987007_15991974
chrX	15987165	15991974	chrX_15987165_15991974
chrX	15987165	15991974	chrX_15987165_15991974
chrX	16118066	16148977	chrX_16118066_16148977
chrX	16118787	16124332	chrX_16118787_16124332
chrX	16118787	16148977	chrX_16118787_16148977
chrX	16381953	16384266	chrX_16381953_16384266
chrX	16381953	16384908	chrX_16381953_16384908
chrX	16381953	16384908	chrX_16381953_16384908
chrX	16455026	16527567	chrX_16455026_16527567
chrX	16458866	16527414	chrX_16458866_16527414
