ID	HYB_2_Z30_downsamp	HYB_2_ZHR_downsamp	HYB_1_Z30_downsamp	HYB_1_ZHR_downsamp	Z30_2_downsamp	Z30_1_downsamp	ZHR_3_downsamp	ZHR_1_downsamp	chrom	start	end	ZHR_1	ZHR_3	Z30_1	Z30_2	HYB_1_ZHR	HYB_2_ZHR	HYB_1_Z30	HYB_2_Z30
1037	11	10	4	11	13	2	21	16	chrX	8683570	8683800	22	57	11	13	22	18	21	21
1038	7	10	17	27	22	17	12	9	chrX	8689346	8689556	13	53	46	22	67	43	16	26
1039	11	15	13	10	24	14	13	5	chrX	8690696	8690996	6	46	32	24	23	28	29	28
104	7	5	8	13	3	1	9	7	chrX	4873101	4873651	12	30	2	3	24	16	8	13
1041	6	5	7	5	6	5	10	9	chrX	8698403	8698783	10	29	14	6	14	10	14	13
1042	4	3	6	7	3	5	3	3	chrX	8702893	8703133	4	6	12	3	11	15	9	12
1046	12	13	12	7	6	12	20	7	chrX	8708827	8709037	12	82	20	6	28	25	43	26
1047	71	90	76	111	124	112	93	101	chrX	8714088	8714458	173	307	321	124	256	186	222	208
1048	6	13	8	11	9	6	13	12	chrX	8717680	8717880	28	42	29	9	21	25	30	15
1050	30	35	42	51	22	27	43	34	chrX	8721580	8721880	57	159	73	22	112	103	85	87
1053	7	6	10	6	1	3	5	9	chrX	8728174	8728394	18	19	14	1	16	22	12	10
1055	8	5	6	10	3	6	7	6	chrX	8732454	8732684	10	29	12	3	21	18	13	15
1056	5	8	14	9	12	22	11	10	chrX	8734647	8734957	16	44	49	12	43	35	21	12
1057	5	6	15	3	4	5	5	7	chrX	8742344	8742694	14	23	15	4	12	24	7	16
1058	4	3	5	2	1	2	2	3	chrX	8745796	8746026	4	3	3	1	5	12	7	8
1059	4	6	9	11	4	5	5	3	chrX	8747736	8747996	9	21	17	4	22	17	21	13
1060	32	12	26	23	26	35	23	23	chrX	8750076	8750276	27	96	75	26	69	59	42	74
1061	5	1	12	14	13	7	12	12	chrX	8754806	8755196	19	40	18	13	31	26	8	15
1062	8	3	15	8	8	7	18	19	chrX	8759068	8759338	31	48	14	8	26	49	14	19
1063	20	3	11	3	6	15	15	10	chrX	8762348	8762548	19	35	57	6	8	39	13	55
1064	9	1	15	5	4	5	4	5	chrX	8763286	8763526	11	17	13	4	10	25	10	20
1065	1	4	6	7	8	1	3	5	chrX	8766636	8766876	8	16	9	8	19	15	10	4
1066	7	1	7	3	4	5	8	3	chrX	8766966	8767246	8	36	10	4	11	15	8	12
1067	10	7	8	4	6	7	14	4	chrX	8772485	8772755	15	38	15	6	9	19	16	20
1069	5	1	17	5	4	1	8	9	chrX	8777164	8777484	15	32	6	4	12	33	3	18
107	11	6	3	2	1	3	5	1	chrX	4881475	4881895	5	11	5	1	9	9	9	20
1070	5	4	6	6	8	2	14	4	chrX	8782233	8782493	7	29	4	8	18	15	10	15
1072	3	3	4	4	1	2	1	3	chrX	8784571	8784801	6	6	5	1	8	9	8	10
1074	9	3	16	7	4	1	4	7	chrX	8795138	8795418	12	25	7	4	19	23	12	15
1077	12	21	23	25	31	11	25	24	chrX	8799239	8799599	40	90	46	31	48	45	47	33
1079	5	4	9	5	7	2	7	6	chrX	8807703	8807953	9	18	10	7	12	18	11	7
108	13	6	11	13	6	10	15	10	chrX	4885946	4886156	15	48	22	6	39	22	10	22
1081	2	3	3	1	2	8	9	2	chrX	8810293	8810513	3	27	15	2	5	12	7	11
1082	10	13	9	14	11	18	9	22	chrX	8816783	8817003	31	42	42	11	37	19	37	20
1084	11	7	10	3	9	9	8	9	chrX	8831379	8831589	12	29	27	9	15	25	18	17
1086	4	2	6	12	6	4	11	12	chrX	8834705	8835095	19	47	11	6	29	15	7	12
1087	23	9	15	10	17	11	13	11	chrX	8841319	8841579	18	38	36	17	34	29	26	42
1089	10	4	10	6	6	2	3	5	chrX	8850071	8850391	8	20	4	6	14	17	15	20
1090	182	164	178	228	186	183	210	162	chrX	8857651	8857961	277	672	476	186	566	413	424	451
1091	5	12	3	5	6	4	3	2	chrX	8858800	8859030	3	22	10	6	12	13	29	11
1092	38	28	49	29	28	26	33	34	chrX	8863767	8863970	52	112	71	28	69	119	75	91
1093	12	9	10	4	6	4	5	7	chrX	8866381	8866611	11	21	14	6	14	23	16	36
1094	17	8	28	22	24	14	33	40	chrX	8870531	8870891	62	109	43	24	46	55	21	44
1095	16	16	15	25	6	14	19	5	chrX	8872671	8872931	13	62	45	6	53	44	56	42
1096	4	9	10	16	5	14	6	11	chrX	8874072	8874292	15	31	40	5	42	26	17	16
1097	10	10	7	11	17	26	19	24	chrX	8874942	8875162	32	82	53	17	35	16	32	29
1098	16	10	12	22	9	6	9	14	chrX	8877401	8877701	25	36	16	9	50	35	30	32
110	17	6	4	13	9	5	6	3	chrX	4889026	4889406	6	21	15	9	22	8	18	31
1100	9	13	16	9	15	13	14	10	chrX	8879271	8879772	15	46	30	15	25	36	31	28
1101	8	6	4	3	2	6	9	1	chrX	8883493	8883733	3	22	13	2	12	10	16	19
1102	12	11	13	11	9	11	19	14	chrX	8884273	8884553	26	49	29	9	24	40	28	37
1103	11	8	20	7	5	10	6	11	chrX	8884813	8885113	16	32	24	5	27	29	23	33
1104	6	9	14	7	5	4	5	6	chrX	8887812	8888142	10	25	15	5	14	27	30	16
1105	196	130	114	148	174	214	116	149	chrX	8888813	8889013	226	404	578	174	354	260	383	470
1106	3	3	7	4	6	6	3	5	chrX	8902804	8903094	11	13	22	6	16	16	4	9
1107	25	13	34	34	11	27	31	42	chrX	8908297	8908537	73	98	79	11	90	95	42	56
111	11	3	9	3	2	5	9	3	chrX	4893557	4893937	5	27	17	2	12	17	11	16
1111	6	11	9	8	4	10	9	10	chrX	8923474	8923854	14	33	27	4	23	25	22	20
1112	124	147	105	125	201	194	133	163	chrX	8924933	8925173	278	465	495	201	292	230	375	332
1115	2	3	7	6	2	6	6	11	chrX	8937774	8938214	17	18	11	2	17	15	7	4
1117	3	10	2	4	8	6	12	5	chrX	8940844	8941134	7	32	14	8	5	6	16	13
1118	6	7	5	4	5	5	3	3	chrX	8945457	8945657	6	10	17	5	8	15	12	15
1119	9	12	9	11	12	8	6	5	chrX	8945797	8946114	6	34	34	12	25	29	24	32
112	11	5	7	4	10	5	7	8	chrX	4895718	4895958	18	22	10	10	7	18	9	21
1120	6	3	11	8	3	3	15	9	chrX	8956651	8957031	16	45	4	3	22	20	9	16
1122	6	8	7	4	3	3	3	3	chrX	8962916	8963356	4	11	10	3	10	13	15	10
1125	12	6	14	10	13	9	14	9	chrX	8970816	8971186	13	43	25	13	28	22	17	30
1127	5	4	8	5	9	6	30	12	chrX	8974544	8974786	17	86	18	9	19	17	19	15
1129	10	5	2	7	7	6	11	4	chrX	8982919	8983169	9	29	18	7	16	2	15	21
113	2	3	5	5	4	4	7	5	chrX	4897208	4897478	9	17	8	4	9	9	12	8
1134	9	12	9	9	17	7	10	5	chrX	8999813	9000043	11	31	22	17	21	23	25	18
1136	32	20	17	21	59	23	38	23	chrX	9006535	9006805	40	138	109	59	46	35	59	80
1141	13	12	25	23	21	21	21	13	chrX	9013887	9014187	26	79	61	21	54	49	36	42
1142	5	3	5	8	2	3	6	2	chrX	9014867	9015137	4	19	13	2	26	7	8	13
1143	3	3	3	3	9	1	7	1	chrX	9032219	9032429	2	20	8	9	7	10	9	14
1144	9	6	18	16	11	18	18	17	chrX	9035449	9035789	26	55	40	11	47	48	30	37
1146	10	10	12	3	4	8	17	12	chrX	9046028	9046278	15	45	17	4	11	30	18	23
1147	1	6	2	10	4	4	4	1	chrX	9053438	9053767	2	18	5	4	14	4	11	3
1149	11	7	24	12	16	9	11	10	chrX	9070255	9070485	13	33	25	16	36	38	33	29
115	7	6	7	10	7	1	17	12	chrX	4902601	4902921	22	58	8	7	29	22	20	16
1150	10	5	12	8	2	3	11	1	chrX	9070775	9071095	2	45	7	2	22	31	11	22
1151	11	6	7	16	10	14	10	13	chrX	9071515	9071755	18	38	29	10	33	16	18	20
1152	18	13	22	11	20	19	27	17	chrX	9080452	9080682	30	73	63	20	41	48	33	38
1153	28	31	44	39	17	24	35	36	chrX	9082302	9082672	46	117	56	17	105	94	65	62
1154	14	16	21	43	26	28	18	37	chrX	9094222	9094572	62	68	71	26	90	41	35	42
1155	10	10	10	8	16	7	14	10	chrX	9097812	9098162	17	36	18	16	21	19	19	22
1156	5	2	5	6	6	7	5	8	chrX	9100592	9100882	12	26	22	6	17	15	8	11
1157	6	4	6	9	6	1	8	6	chrX	9100902	9101142	15	32	9	6	18	16	15	16
1158	20	16	75	93	9	13	92	64	chrX	9106812	9107122	100	288	27	9	214	165	40	51
1159	9	9	1	5	6	5	13	12	chrX	9108102	9108462	17	43	14	6	12	2	24	26
116	61	65	65	90	32	44	59	44	chrX	4906668	4906998	77	189	118	32	200	152	152	142
1160	6	4	10	7	8	14	10	16	chrX	9111682	9111962	24	30	37	8	18	22	10	14
1162	46	27	51	50	34	53	53	54	chrX	9118563	9118803	84	162	142	34	128	106	91	114
1163	24	12	32	26	24	24	18	22	chrX	9127835	9128195	34	56	54	24	56	67	36	50
1165	13	13	24	20	15	10	16	29	chrX	9131826	9132046	37	72	29	15	50	56	35	36
1166	6	7	6	8	2	3	10	10	chrX	9136116	9136346	17	28	18	2	22	11	13	15
1168	4	12	44	35	16	5	39	32	chrX	9142539	9142789	56	100	21	16	94	87	25	9
1169	11	13	11	20	25	28	23	16	chrX	9148248	9148498	23	56	60	25	41	24	33	36
117	10	8	9	9	10	12	14	14	chrX	4907558	4907768	22	38	35	10	18	23	20	26
1170	88	107	100	159	98	103	115	119	chrX	9149228	9149448	185	416	299	98	361	220	255	216
1171	28	5	26	15	32	34	20	35	chrX	9157185	9157415	57	90	71	32	31	55	33	58
1172	7	5	10	9	11	15	7	8	chrX	9169523	9169743	19	23	35	11	16	21	20	14
1173	5	6	9	4	12	16	10	9	chrX	9189407	9189707	16	29	41	12	11	22	16	17
1174	6	4	4	5	6	9	4	14	chrX	9189817	9190227	20	17	27	6	12	13	12	16
1175	7	5	11	10	24	11	8	23	chrX	9191735	9191935	33	32	21	24	31	27	15	26
1176	81	87	58	93	76	91	85	85	chrX	9192435	9192705	129	261	221	76	231	174	200	176
1177	6	7	9	15	23	12	13	15	chrX	9199005	9199285	22	29	34	23	27	23	20	25
118	3	4	36	40	1	5	30	20	chrX	4911470	4911670	34	98	8	1	100	100	10	6
1180	1	5	1	4	4	5	5	13	chrX	9206211	9206441	17	18	12	4	9	3	9	3
1186	5	11	13	9	15	18	9	8	chrX	9218743	9219083	19	37	41	15	24	27	25	12
1188	5	5	6	2	2	2	7	4	chrX	9222886	9223156	8	24	11	2	14	11	11	12
1189	3	3	14	5	7	2	5	7	chrX	9225006	9225356	11	17	11	7	11	23	9	7
119	18	8	14	13	23	23	12	28	chrX	4915919	4916119	43	44	48	23	34	31	15	42
1190	8	2	12	6	3	7	5	10	chrX	9230866	9231126	18	14	18	3	16	14	8	19
1191	90	63	82	98	71	88	80	88	chrX	9232326	9232556	147	315	220	71	230	200	192	191
1192	10	3	2	11	3	13	6	10	chrX	9232816	9233076	21	18	21	3	23	6	10	23
1193	9	3	3	8	5	3	7	20	chrX	9238996	9239276	34	24	14	5	21	12	8	19
1194	5	10	9	10	10	8	14	14	chrX	9264505	9264725	18	32	21	10	23	21	21	14
1195	16	11	13	16	13	10	16	14	chrX	9265225	9265515	25	47	38	13	42	32	31	34
1196	5	2	9	7	4	1	12	8	chrX	9265625	9265885	10	27	9	4	17	23	8	7
1197	42	37	61	70	90	65	84	90	chrX	9273383	9273643	142	261	174	90	188	159	99	137
1198	13	8	13	9	13	9	9	15	chrX	9292556	9292836	18	20	23	13	19	20	16	18
1199	16	9	16	13	12	7	9	7	chrX	9294418	9294678	18	32	19	12	28	28	25	36
12	10	5	12	4	13	9	10	4	chrX	4420795	4421075	7	31	24	13	15	22	21	19
1200	20	6	14	14	9	13	8	16	chrX	9295548	9295828	26	43	40	9	33	39	15	42
1201	5	3	10	8	5	6	12	8	chrX	9296089	9296809	11	25	20	5	19	21	9	17
1202	2	1	5	6	4	3	5	3	chrX	9297400	9297600	4	20	4	4	14	12	5	6
1204	3	4	12	7	7	12	7	11	chrX	9301791	9302181	16	17	22	7	15	17	11	10
1205	127	119	109	142	119	100	98	96	chrX	9305971	9306361	168	351	327	119	355	247	269	310
1206	8	10	3	7	12	5	9	8	chrX	9306741	9306980	12	20	14	12	13	17	14	23
1207	18	11	18	19	14	6	17	15	chrX	9316511	9317001	21	55	26	14	34	39	23	38
1208	265	186	202	228	277	309	203	247	chrX	9319261	9319471	401	732	822	277	603	491	469	605
1209	26	11	27	23	20	36	19	40	chrX	9319721	9320031	58	95	94	20	51	63	37	59
1210	3	6	12	7	4	15	10	8	chrX	9320911	9321321	22	33	36	4	19	23	13	16
1211	3	1	19	4	7	8	14	2	chrX	9324981	9325191	7	28	17	7	13	32	4	14
1212	9	9	9	7	12	10	10	6	chrX	9325701	9325961	10	36	27	12	19	23	17	15
1214	11	10	11	14	22	6	18	15	chrX	9337094	9337394	20	61	22	22	38	25	30	22
1215	7	4	3	4	3	7	10	5	chrX	9340965	9341225	8	25	17	3	15	6	10	18
1216	23	10	12	17	14	25	27	22	chrX	9343895	9344135	44	120	58	14	36	25	28	50
1217	9	4	8	6	8	1	9	10	chrX	9345565	9345785	15	31	5	8	13	19	14	19
1219	158	161	142	166	98	85	181	106	chrX	9356375	9356615	172	576	240	98	425	329	385	375
122	31	12	32	13	32	26	31	33	chrX	4946818	4947128	51	90	69	32	41	58	36	75
1220	5	8	12	7	12	4	5	13	chrX	9367205	9367565	26	24	18	12	22	27	13	11
1222	2	3	4	7	2	4	2	4	chrX	9377736	9378006	4	5	9	2	14	7	8	3
1223	16	10	15	12	13	4	23	18	chrX	9382939	9383309	26	58	14	13	30	26	28	34
1226	13	10	7	10	5	3	3	4	chrX	9396641	9396861	7	14	11	5	18	11	20	33
1229	10	8	9	10	5	2	11	20	chrX	9403054	9403276	30	39	16	5	19	19	13	20
123	13	16	10	10	16	10	15	10	chrX	4948158	4948387	15	53	33	16	28	33	33	28
1230	5	2	10	3	6	4	13	13	chrX	9403837	9404087	16	31	20	6	15	22	11	8
1231	7	9	4	6	7	2	4	7	chrX	9405657	9405917	10	12	12	7	12	6	20	15
1232	1	3	2	10	2	6	1	1	chrX	9410675	9410885	1	6	14	2	13	4	10	3
1233	4	1	3	3	1	3	4	3	chrX	9412195	9412405	5	12	8	1	7	8	4	9
1234	10	4	5	6	5	9	6	6	chrX	9415236	9415466	10	26	23	5	14	15	9	24
1235	11	9	9	5	6	10	16	13	chrX	9419783	9420203	20	36	24	6	18	25	21	30
1236	10	4	6	8	8	4	8	4	chrX	9427601	9427861	10	25	11	8	19	10	9	27
1237	5	4	10	2	2	2	4	4	chrX	9427991	9428201	7	22	4	2	8	25	12	11
124	10	11	6	11	7	8	5	8	chrX	4950287	4950487	11	26	18	7	20	9	19	24
1242	26	20	19	24	36	19	29	18	chrX	9445574	9445874	31	107	63	36	50	35	57	48
1246	22	35	11	38	39	17	52	34	chrX	9459612	9459842	60	146	68	39	82	22	84	61
1247	46	29	48	52	41	32	67	51	chrX	9468341	9468631	92	217	93	41	122	115	83	103
1248	78	68	116	138	135	110	157	182	chrX	9468811	9469011	300	559	316	135	324	260	180	176
1249	49	43	48	39	42	32	54	42	chrX	9469121	9469441	71	231	105	42	95	103	106	116
125	24	9	14	14	27	22	25	25	chrX	4954228	4954558	36	64	52	27	45	39	23	56
1250	68	56	40	40	35	33	71	55	chrX	9469921	9470301	89	232	97	35	113	115	138	163
1252	7	3	5	4	4	4	4	8	chrX	9474651	9474911	13	25	14	4	13	9	6	24
1253	180	144	286	310	179	197	242	240	chrX	9483751	9484111	394	758	549	179	801	646	386	436
1254	72	36	81	91	72	79	73	91	chrX	9497299	9497579	146	251	197	72	197	197	91	169
1255	157	137	157	178	79	148	204	118	chrX	9501006	9501475	197	604	407	79	429	352	365	401
126	10	9	16	11	5	5	16	5	chrX	4957489	4957849	10	41	11	5	22	42	22	25
1261	97	95	103	150	129	117	94	108	chrX	9550856	9551107	188	332	296	129	313	252	243	265
1262	32	31	33	40	40	44	42	50	chrX	9556078	9556408	89	146	141	40	83	74	72	81
1265	18	9	13	13	20	33	19	31	chrX	9576659	9576919	47	66	72	20	50	33	28	45
1267	344	270	289	310	319	312	329	261	chrX	9581796	9582326	431	1062	943	319	731	646	697	817
1268	307	271	335	376	416	333	356	445	chrX	9585446	9585726	711	1140	966	416	839	752	708	724
1269	137	89	140	164	75	93	165	159	chrX	9586016	9586246	248	503	249	75	374	313	228	292
127	5	3	8	4	10	9	15	3	chrX	4963039	4963349	8	34	25	10	15	17	16	10
1270	7	11	16	8	8	6	12	10	chrX	9598289	9598649	16	41	21	8	23	33	24	16
1271	10	6	16	12	17	11	17	16	chrX	9613693	9613963	29	52	27	17	33	32	19	24
1272	23	15	13	19	14	23	15	11	chrX	9614295	9614714	18	52	51	14	42	30	38	48
1273	5	5	5	10	5	1	14	6	chrX	9616094	9616314	12	48	7	5	25	13	10	14
1274	6	2	4	5	11	6	11	8	chrX	9619918	9620198	12	25	16	11	17	18	7	13
1275	8	3	11	8	8	6	6	13	chrX	9620418	9620638	15	22	24	8	16	19	15	18
1276	5	5	8	8	2	4	7	13	chrX	9628009	9628249	14	28	12	2	13	14	15	10
1277	3	4	10	8	3	1	11	3	chrX	9633579	9633999	4	36	1	3	16	17	7	13
1278	5	6	9	8	5	9	14	10	chrX	9641768	9642078	14	43	13	5	29	19	14	7
1279	88	73	85	134	119	105	217	206	chrX	9645898	9646148	309	707	245	119	292	221	204	229
128	8	6	10	6	5	5	5	8	chrX	4964339	4965209	12	21	7	5	13	22	20	24
1280	14	8	19	17	18	12	29	19	chrX	9646558	9646898	28	115	39	18	35	45	42	45
1281	42	28	44	44	16	34	81	40	chrX	9651548	9651768	57	298	79	16	107	103	89	100
1283	89	57	98	120	63	46	144	87	chrX	9656438	9656738	139	466	130	63	264	220	162	197
1284	17	17	7	13	16	21	8	11	chrX	9672296	9672496	17	35	54	16	50	13	35	40
1285	7	15	5	4	8	4	5	5	chrX	9673336	9673566	9	17	18	8	12	13	18	18
1286	30	35	35	58	27	25	50	29	chrX	9674626	9674906	54	164	68	27	111	70	89	63
1287	7	4	6	12	4	2	5	3	chrX	9675426	9675666	3	12	5	4	23	14	12	17
1288	11	8	10	7	12	9	15	10	chrX	9676976	9677316	11	36	26	12	17	15	21	25
1289	357	324	393	461	561	513	459	515	chrX	9685716	9685956	873	1552	1321	561	1095	932	852	844
129	8	4	1	6	5	8	15	10	chrX	4972705	4972975	12	41	13	5	22	7	9	16
1292	5	6	5	2	10	3	8	3	chrX	9700741	9701081	7	10	8	10	7	6	13	15
1293	15	10	13	7	9	7	10	9	chrX	9716277	9716577	15	36	30	9	18	39	23	36
1295	1	6	6	5	2	2	10	11	chrX	9727212	9727612	20	26	7	2	14	13	16	7
1297	18	2	21	10	10	7	15	13	chrX	9738611	9738881	16	40	32	10	26	45	14	34
1298	4	4	3	8	12	4	16	10	chrX	9747540	9747760	22	44	10	12	21	12	8	15
1299	12	18	9	17	24	22	23	23	chrX	9749289	9749559	35	64	58	24	36	31	39	37
13	323	268	321	334	469	419	347	474	chrX	4426925	4427145	730	1198	1170	469	834	721	701	775
130	23	11	4	2	4	9	11	5	chrX	4976617	4976997	8	30	23	4	7	10	29	51
1300	4	1	12	9	8	3	15	10	chrX	9750268	9750568	13	50	12	8	21	22	11	13
1301	13	9	21	11	7	13	14	17	chrX	9753298	9753577	32	43	37	7	19	40	22	28
1302	29	16	20	23	24	30	63	61	chrX	9758298	9758499	89	226	103	24	52	55	64	59
1304	5	5	14	7	8	7	13	14	chrX	9762558	9762878	23	44	14	8	21	27	14	14
1306	15	12	9	12	8	12	11	8	chrX	9770638	9770888	12	24	22	8	27	22	29	36
1307	11	3	3	2	10	9	9	6	chrX	9777012	9777212	11	29	12	10	4	13	9	21
1308	6	8	18	16	4	1	16	20	chrX	9778372	9778602	24	49	8	4	44	41	22	23
1309	29	30	108	101	32	14	168	77	chrX	9782312	9782582	123	487	56	32	246	216	54	64
1310	10	6	10	6	5	2	11	6	chrX	9792176	9792526	7	33	5	5	16	25	13	17
1311	13	8	7	7	11	12	6	19	chrX	9793476	9793736	25	35	21	11	26	19	20	29
1313	4	4	10	12	8	6	6	4	chrX	9796656	9797016	9	24	20	8	24	23	13	13
1319	2	1	1	4	6	4	4	5	chrX	9823917	9824228	6	17	11	6	9	4	2	4
1322	10	5	6	2	2	3	3	1	chrX	9836511	9836721	1	8	5	2	10	15	8	18
1328	8	4	7	7	15	7	18	8	chrX	9858062	9858392	18	36	24	15	17	13	17	20
1329	7	8	8	3	1	3	6	7	chrX	9860883	9861223	15	21	9	1	11	14	12	10
133	4	1	4	7	7	5	5	4	chrX	4989324	4989604	7	14	11	7	13	8	6	12
1330	3	13	5	7	5	2	12	6	chrX	9877357	9877647	15	37	10	5	16	17	25	11
1331	10	9	24	23	6	8	5	7	chrX	9878867	9879117	10	24	26	6	55	57	15	19
134	7	8	43	28	2	4	22	17	chrX	4998444	4998654	37	56	13	2	67	104	17	19
1342	16	12	19	11	29	18	20	15	chrX	9929819	9930229	25	73	36	29	35	46	35	44
1343	36	26	66	65	33	35	61	80	chrX	9932517	9932786	124	215	91	33	153	144	66	93
1344	2	1	3	2	6	2	4	4	chrX	9938126	9938336	4	8	4	6	7	11	11	5
1345	4	4	3	2	2	3	4	5	chrX	9939636	9939846	5	14	6	2	8	4	12	9
1348	1	2	2	15	4	2	2	2	chrX	9945696	9946107	2	16	4	4	21	7	9	7
135	8	9	5	7	9	5	6	7	chrX	4999714	4999994	11	33	21	9	27	11	19	21
1351	3	3	5	3	1	2	4	6	chrX	9953819	9954029	12	12	6	1	4	14	5	3
1354	1	2	4	2	9	1	2	4	chrX	9963567	9963777	10	12	8	9	2	8	4	4
1355	2	2	4	7	7	4	1	5	chrX	9966367	9966617	8	12	13	7	15	10	5	5
1357	9	4	9	7	4	6	3	7	chrX	9972699	9972999	10	18	16	4	14	21	9	22
1358	9	1	4	1	1	1	2	5	chrX	9975328	9975558	8	10	4	1	6	8	5	14
1359	6	9	17	11	3	4	4	6	chrX	9978678	9978908	10	23	15	3	18	25	16	11
1360	7	6	11	21	11	13	9	9	chrX	9978918	9979368	12	32	23	11	38	26	15	20
1362	18	18	18	29	20	21	13	10	chrX	9988240	9988500	20	62	58	20	63	51	42	47
1363	42	24	41	16	24	36	29	19	chrX	9991530	9991820	33	76	96	24	43	105	69	95
1364	24	10	18	9	12	6	13	6	chrX	9992150	9992420	9	41	26	12	30	37	30	68
1365	17	10	12	12	8	21	8	16	chrX	9993110	9993350	23	33	55	8	28	27	31	37
1366	333	241	346	325	352	358	344	313	chrX	9993890	9994120	472	1082	988	352	817	812	609	814
1367	13	4	16	10	16	13	7	6	chrX	9997213	9997453	9	26	38	16	19	39	13	31
1368	8	9	7	10	11	6	12	14	chrX	10001533	10001743	19	36	19	11	29	21	25	35
1369	9	2	8	5	4	5	3	5	chrX	10003393	10003663	5	16	18	4	12	16	9	17
137	5	6	10	2	2	8	2	1	chrX	5008153	5008353	3	7	10	2	10	25	13	13
1370	2	1	6	4	4	1	5	7	chrX	10003993	10004273	10	16	3	4	10	13	2	7
1372	11	4	4	7	9	5	13	14	chrX	10012923	10013143	17	24	15	9	18	10	9	23
1373	52	35	53	76	36	33	68	72	chrX	10015301	10015511	108	257	103	36	166	131	99	117
1374	256	261	343	365	313	363	314	332	chrX	10016561	10016801	544	1109	970	313	920	734	719	624
1375	16	15	19	4	20	16	11	8	chrX	10019401	10019721	16	34	32	20	15	42	46	49
1376	31	41	36	35	48	47	41	36	chrX	10020351	10020761	54	151	104	48	92	76	91	80
1377	8	5	12	6	6	9	16	12	chrX	10022502	10022762	14	38	23	6	22	34	11	12
1378	52	38	71	59	53	50	25	36	chrX	10025342	10025662	64	88	138	53	132	145	116	117
1379	21	17	42	27	25	18	33	37	chrX	10025702	10026052	59	106	70	25	67	75	59	58
138	25	3	21	16	3	10	6	4	chrX	5009023	5009413	7	24	18	3	27	37	12	58
