Gene	P_est.mean_RNA	P_p_value_RNA	H_est.mean_RNA	H_p_value_RNA	H_P_est_RNA	H_P_p_value_RNA	P_qvalue_RNA	H_qvalue_RNA	P_H_qvalue_RNA	Direction_parent_RNA	Direction_hybrid_RNA	P_H_ratio_RNA	Regulatory_class_RNA	perc_cis_RNA	chrom	start	end	Paste_locus	P_est.mean	P_p_value	H_est.mean	H_p_value	H_P_est	H_P_p_value	P_qvalue	H_qvalue	P_H_qvalue	Direction_parent	Direction_hybrid	P_H_ratio	Regulatory_class	perc_cis	class	beg_first_exon	div_category	distance_to_exon1
CG10038	-0.23735471736933	0	-0.00565148433982485	0.845350768610355	-0.231708285116744	3.80514286746347e-09	0	1	2.36960265304357e-08	P2	Ambig	41.9986508140419	Trans	2.38102886787415	chr3R	12350144	12351144	chr3R_12350144_12351144	0.18451035704408	0.147799109904136	0.304098492325614	0.0135812732091737	-0.119597144098737	0.499443170335995	1	0.240627116390178	0.722513697754516	Ambig	P1	0.606745385789402	Conserved/Ambiguous	71.7743899643633	end	0	AccC_ExpD	12351144
CG10067	-0.180548333029886	0.00212264948708496	-0.225422984415541	1.48135692168427e-05	0.0449445667717989	0.570541607284951	0.0305202014731263	0.000287086909760379	0.656167213977016	Ambig	Ambig	0.800931340244641	Cis	83.3980599746495	chr2R	20943520	20944520	chr2R_20943520_20944520	0.37170748211405	0.000227587796837153	0.234749754512546	0.0479923473047433	0.137267203160086	0.382671101123208	0.00719996086873852	0.749299574308973	0.620648811728998	Ambig	Ambig	1.58342011000563	Conserved/Ambiguous	63.154433474793	start	0	AccD_ExpD_O	20944520
CG10069	-0.137416808619877	0	-0.250461217311146	0	0.11303018319718	0.000447937908898324	0	0	0.00127895785185448	P2	P2	0.548655037674616	Cis_+_Trans,same	68.9016068514665	chr2R	21281797	21282797	chr2R_21281797_21282797	-0.276143848457447	0.000294476733907256	-0.539286021556703	0	0.263178609681869	0.0125743906605962	0.00903329352151731	0	0.0582881381382736	Ambig	P2	0.512054526576324	Cis	67.2067638136671	start	0	AccD_ExpD_S	21282797
CG10069	-0.137416808619877	0	-0.250461217311146	0	0.11303018319718	0.000447937908898324	0	0	0.00127895785185448	P2	P2	0.548655037674616	Cis_+_Trans,same	68.9016068514665	chr2R	21281899	21282899	chr2R_21281899_21282899	-0.267452197829753	0.000120238547240969	-0.497506090052687	0	0.230062075225506	0.0191611985454243	0.0040171848791832	0	0.0808807070964514	P2	P2	0.537585776691556	Cis	68.3800789175644	start	0	AccD_ExpD_S	21282899
CG10069	-0.137416808619877	0	-0.250461217311146	0	0.11303018319718	0.000447937908898324	0	0	0.00127895785185448	P2	P2	0.548655037674616	Cis_+_Trans,same	68.9016068514665	chr2R	21282337	21283337	chr2R_21282337_21283337	-0.330695412133683	1.6268139175768e-06	-0.66816493125009	0	0.337521700919738	0.000841436466771031	7.62820075531675e-05	0	0.00685185764585876	P2	P2	0.494930812239689	Cis_+_Trans,same	66.4421282511336	start	0	AccD_ExpD_S	21283337
CG10075	-0.598555386046073	0	-0.547506478390406	0	-0.0509973077376724	0.372079462945682	0	0	0.465768536349271	P2	Ambig	1.09323891071708	Cis	91.4713142934215	chr3L	6957608	6958608	chr3L_6957608_6958608	-0.479888923204673	8.46114748043192e-07	-0.66481774957125	0	0.185236322860993	0.156655997774512	4.01294339429099e-05	0	0.357854866482683	P2	P2	0.721835305260968	Cis	78.2371789892205	end	0	AccD_ExpD_S	6958608
CG10077	-0.560599835291537	0	-0.693193373592247	0	0.132631767412758	0.00021971359516712	0	0	0.000674883504158194	P2	P2	0.808720707162004	Cis_+_Trans,same	83.9433712994113	chr3L	6955012	6956012	chr3L_6955012_6956012	-0.466672285705435	4.19516846006385e-05	-0.641696265730719	0	0.175381157469319	0.265138860144896	0.00151996419206802	0	0.506728119668227	P2	P2	0.727247937424135	Cis	78.5698982075225	end	0	AccD_ExpD_S	6956012
CG10077	-0.560599835291537	0	-0.693193373592247	0	0.132631767412758	0.00021971359516712	0	0	0.000674883504158194	P2	P2	0.808720707162004	Cis_+_Trans,same	83.9433712994113	chr3L	6955404	6956404	chr3L_6955404_6956404	-0.516358625848042	5.90992636828602e-07	-0.704774277155775	0	0.188753425578186	0.184980820475476	2.86952031525772e-05	0	0.399568960760295	P2	P2	0.732658161038293	Cis	78.9053094640407	end	0	AccD_ExpD_S	6956404
CG10080	0.0254289590354509	0.274041775147327	-0.0962297031532809	8.95753085710105e-05	0.121679692256199	0.000321355838472363	1	0.00159008935033424	0.000945841363384328	Ambig	P2	0.264252701631491	Compensatory	44.1646817636325	chr2R	21624529	21625529	chr2R_21624529_21625529	0.251470785918018	0.00810623551723614	0.371443967023277	7.03098244265141e-05	-0.119946882430067	0.370244336939432	0.177686521147246	0.00189407671246754	0.608679691308524	Ambig	P1	0.67700866952635	Conserved/Ambiguous	75.5862851831376	start	0	AccC_ExpC	21625529
CG10082	-0.0339056121405792	0.148544637316598	0.0463915558221977	0.054462719090568	-0.0803157697215131	0.0169073828719588	1	0.66630180898066	0.0329460069402201	Ambig	P1	0.730857405828926	Conserved/Ambiguous	36.6185359171641	chr2R	21645676	21646676	chr2R_21645676_21646676	0.00123422850053066	0.990640961415125	-0.117912026492455	0.144623252418134	0.119259701827829	0.308654033230995	1	1	0.548428155312133	Ambig	P2	0.010467367386054	Conserved/Ambiguous	49.7396782570099	start	0	AccC_ExpC	21646676
CG10082	-0.0339056121405792	0.148544637316598	0.0463915558221977	0.054462719090568	-0.0803157697215131	0.0169073828719588	1	0.66630180898066	0.0329460069402201	Ambig	P1	0.730857405828926	Conserved/Ambiguous	36.6185359171641	chr2R	21657435	21658435	chr2R_21657435_21658435	0.00358386624645114	0.972122065056743	-0.0349559395727036	0.700796268025819	0.0386231315020002	0.771531743808874	1	1	0.890807945853623	Ambig	Ambig	0.102525244357892	Conserved/Ambiguous	47.5618546166564	end	0	AccC_ExpC	21658435
CG10082	-0.0339056121405792	0.148544637316598	0.0463915558221977	0.054462719090568	-0.0803157697215131	0.0169073828719588	1	0.66630180898066	0.0329460069402201	Ambig	P1	0.730857405828926	Conserved/Ambiguous	36.6185359171641	chr2R	21656928	21657928	chr2R_21656928_21657928	-0.0996950220685462	0.563208422564981	-0.136343275721223	0.442297312708082	0.0365271682025432	0.885500444413688	1	1	0.951645623413644	Ambig	Ambig	0.731206005878791	Conserved/Ambiguous	78.8150010666325	end	0	AccC_ExpC	21657928
CG10117	-0.0733156325869675	0.0139580532451415	-0.237594445612579	0	0.164266808651263	0.000171483445920385	0.17997109564457	0	0.000537908836725874	Ambig	P2	0.308574690784295	Compensatory	59.1217356481256	chr2R	14525766	14526766	chr2R_14525766_14526766	-0.364144736878873	0.0046167731966491	-0.247161447892047	0.0324194264350919	-0.116955808855155	0.501285674713843	0.107426967752104	0.526948369744382	0.716381162505583	Ambig	P2	1.47330718437093	Conserved/Ambiguous	67.8745078153529	start	0	AccC_ExpC	14526766
CG10117	-0.0733156325869675	0.0139580532451415	-0.237594445612579	0	0.164266808651263	0.000171483445920385	0.17997109564457	0	0.000537908836725874	Ambig	P2	0.308574690784295	Compensatory	59.1217356481256	chr2R	14526075	14527075	chr2R_14526075_14527075	-0.331367253743184	0.000889495986014621	-0.0887604655314539	0.345728766188854	-0.242709712002896	0.0778953738842434	0.0247004854460011	1	0.224756381965384	P2	P2	3.73327530178126	Conserved/Ambiguous	26.7861306537685	start	0	AccD_ExpC	14527075
CG10119	-0.318087470895176	0	-0.163271071956903	0.000158888726659034	-0.154796400970015	0.010658936187145	0	0.00274551862477409	0.0218648635517163	P2	P2	1.94821695651719	Cis_+_Trans,opposing	51.3289855452081	chr2R	14575271	14576271	chr2R_14575271_14576271	-0.0712599763270431	0.457596336816523	0.179725161089613	0.134561766591309	-0.25140670806707	0.101334115683438	1	1	0.270100296328692	Ambig	P1	0.396494157495912	Conserved/Ambiguous	41.7276210280811	end	0	AccC_ExpD	14576271
CG10120	0.166312893549961	8.9702224025362e-05	0.369123807314714	5.55431165287421e-11	-0.202801745144398	0.000370100162235154	0.00150288484898563	1.73510012507653e-09	0.00107645651906744	Ambig	P1	0.450561275794826	Conserved/Ambiguous	64.5394996509447	chr3R	12712602	12713602	chr3R_12712602_12713602	-0.255563831211373	0.0147875718445194	0.00530242540808069	0.962468625049133	-0.261234603359988	0.0798282136323121	0.300620879943249	1	0.229263104727865	Ambig	Ambig	48.1975344380901	Conserved/Ambiguous	1.99212971552084	start	0	AccC_ExpD	12713602
CG10120	0.166312893549961	8.9702224025362e-05	0.369123807314714	5.55431165287421e-11	-0.202801745144398	0.000370100162235154	0.00150288484898563	1.73510012507653e-09	0.00107645651906744	Ambig	P1	0.450561275794826	Conserved/Ambiguous	64.5394996509447	chr3R	12719292	12720292	chr3R_12719292_12720292	-0.214251345882197	0.0309741076110652	0.0300418377863401	0.780121432493889	-0.244670408035953	0.0926305302586972	0.567037734097692	1	0.255627032830503	Ambig	Ambig	7.13176561986551	Conserved/Ambiguous	10.950784783882	end	0	AccC_ExpD	12720292
CG10120	0.166312893549961	8.9702224025362e-05	0.369123807314714	5.55431165287421e-11	-0.202801745144398	0.000370100162235154	0.00150288484898563	1.73510012507653e-09	0.00107645651906744	Ambig	P1	0.450561275794826	Conserved/Ambiguous	64.5394996509447	chr3R	12720284	12721284	chr3R_12720284_12721284	-0.0425658294347783	0.814868895139369	-0.107610461745773	0.51014298929569	0.0650409090208148	0.79387281912673	1	1	0.90354971868058	Ambig	P2	0.395554751315341	Conserved/Ambiguous	62.3268385642832	end	0	AccC_ExpD	12721284
CG10120	0.166312893549961	8.9702224025362e-05	0.369123807314714	5.55431165287421e-11	-0.202801745144398	0.000370100162235154	0.00150288484898563	1.73510012507653e-09	0.00107645651906744	Ambig	P1	0.450561275794826	Conserved/Ambiguous	64.5394996509447	chr3R	12721942	12722942	chr3R_12721942_12722942	-0.230108050556248	0.0139746392239029	0.0929725356816888	0.39229091193475	-0.32355801109118	0.0236881363636916	0.282980060474864	1	0.0985644294673145	P2	P1	2.47501102200839	Conserved/Ambiguous	22.3463136756968	end	0	AccC_ExpD	12722942
CG10128	-0.0149360234221058	0.505925174074929	-0.00680709615152379	0.772880156833859	-0.00812179437402582	0.802206185136871	1	1	0.854579691052475	Ambig	Ambig	2.19418428793052	Conserved/Ambiguous	45.5750232786129	chr2R	14603366	14604366	chr2R_14603366_14604366	0.140461032346569	0.0735027406813094	0.0562115176016198	0.494768247866992	0.0842196572386359	0.459687219664901	1	1	0.693361556327892	P1	P1	2.49879452360705	Conserved/Ambiguous	40.0192969270832	end	0	AccC_ExpC	14604366
CG10128	-0.0149360234221058	0.505925174074929	-0.00680709615152379	0.772880156833859	-0.00812179437402582	0.802206185136871	1	1	0.854579691052475	Ambig	Ambig	2.19418428793052	Conserved/Ambiguous	45.5750232786129	chr2R	14603837	14604837	chr2R_14603837_14604837	0.0380452784923471	0.593236387596519	0.108855372510227	0.147781721086887	-0.0707792815753455	0.491093385966642	1	1	0.716158459061307	Ambig	P1	0.34950299296227	Conserved/Ambiguous	60.5878105646962	end	0	AccC_ExpC	14604837
CG10130	0.0075952373777243	0.738519711670696	0.00161977155753446	0.936648448964348	0.00597094530766932	0.84409680154268	1	1	0.887700657210647	Ambig	Ambig	4.68907935961378	Conserved/Ambiguous	21.3261479132306	chr2R	14618270	14619270	chr2R_14618270_14619270	0.0389623319020183	0.638167999963783	-0.0108440423887497	0.909436205237925	0.0499116742285777	0.698362143983672	1	1	0.849710934237821	P1	Ambig	3.59297119148486	Conserved/Ambiguous	17.8795843168739	start	0	AccC_ExpC	14619270
CG10130	0.0075952373777243	0.738519711670696	0.00161977155753446	0.936648448964348	0.00597094530766932	0.84409680154268	1	1	0.887700657210647	Ambig	Ambig	4.68907935961378	Conserved/Ambiguous	21.3261479132306	chr2R	14619181	14620181	chr2R_14619181_14620181	0.242605627384541	0.0445025360991259	0.188525519101342	0.158063975777385	0.0543167748276696	0.765260237102812	0.773396504944179	1	0.888469091490444	P1	P1	1.28685829133895	Conserved/Ambiguous	77.7086340221286	end	0	AccC_ExpC	14620181
CG10144	-0.423478232594593	0	-0.211237043803109	3.81711240393656e-09	-0.212224329087885	9.09337217691597e-05	0	9.42162748093858e-08	0.000300203068072739	P2	P2	2.00475364060345	Cis_+_Trans,opposing	49.8814407788775	chr3L	6494797	6495797	chr3L_6494797_6495797	-0.079610056319524	0.390805664309333	-0.160583265446948	0.054299767147939	0.0809489162249931	0.519774387481522	1	0.82102880918114	0.73727443499196	Ambig	P2	0.495755619976633	Conserved/Ambiguous	66.4785598191476	end	0	AccC_ExpD	6495797
CG10153	-1.18469303707303	0	-1.53509233251921	0	0.350387798576698	6.99443195101547e-11	0	0	4.75641024070134e-10	P2	P2	0.77174057349948	Cis_+_Trans,same	81.4160248579681	chr2R	14757346	14758346	chr2R_14757346_14758346	-0.340401721756363	0.000603158768164525	-0.465420287275245	3.67796859968017e-06	0.124986122130122	0.3854038166009	0.0171440418492776	0.000111282769110924	0.631294939409619	P2	P2	0.731385655208993	Cis	78.8261621119176	end	0	AccD_ExpD_S	14758346
CG10155	-0.0881819646513993	0.0174667118052272	-0.0655045906086751	0.0866320620931746	-0.0226583224629563	0.669063305056883	0.22182579214426	1	0.742065712920232	Ambig	P2	1.3461951877266	Conserved/Ambiguous	74.2834329759239	chr2R	14768923	14769923	chr2R_14768923_14769923	-0.00199055622358463	0.97631433119049	0.0951636671540456	0.205522207907368	-0.0972398311842319	0.355743803750084	1	1	0.604096955926605	Ambig	Ambig	0.0209171870222532	Conserved/Ambiguous	49.4824828261995	end	0	AccC_ExpC	14769923
CG10173	-0.415852560289238	0	-0.590296512821604	0	0.174425058961673	1.71390355225874e-06	0	0	7.74004077493336e-06	P2	P2	0.704480801184937	Cis_+_Trans,same	77.1891301120541	chr3L	6256165	6257165	chr3L_6256165_6257165	-2.07771703879105	0	-1.93023256668231	0	-0.147390203945408	0.345048683100611	0	0	0.594298795354369	P2	P2	1.07640761774227	Cis	92.9016093454883	end	0	AccD_ExpD_S	6257165
CG10192	0.156446796707651	0.00023383832579305	-0.20116532127617	2.31925812947953e-05	0.357737526008989	1.81472159894723e-08	0.00372569189246087	0.000440711802601741	1.07358929793718e-07	Ambig	P2	0.777702616510491	Conserved/Ambiguous	36.0009741163817	chr3R	23818319	23819319	chr3R_23818319_23819319	0.244682848432651	5.90665218050179e-05	0.0999369400277799	0.125917317067662	0.144731471554031	0.106077043581853	0.00207823609580625	1	0.276863301932543	P1	P1	2.44837242729901	Conserved/Ambiguous	40.8434594692433	end	0	AccD_ExpD_S	23819319
CG10192	0.156446796707651	0.00023383832579305	-0.20116532127617	2.31925812947953e-05	0.357737526008989	1.81472159894723e-08	0.00372569189246087	0.000440711802601741	1.07358929793718e-07	Ambig	P2	0.777702616510491	Conserved/Ambiguous	36.0009741163817	chr3R	23818737	23819737	chr3R_23818737_23819737	0.193238548245026	0.00171989666015177	0.146650057973748	0.0279598222931417	0.046644716843496	0.610030466111716	0.0436033095805641	0.458091828616602	0.797543056884707	P1	P1	1.31768477227345	Conserved/Ambiguous	75.8906850137355	end	0	AccD_ExpD_S	23819737
CG10198	0.144402631889067	1.78255711802086e-09	0.396091600998745	5.94294083156005e-11	-0.25167909120832	0	4.2911777760387e-08	1.73510012507653e-09	0	Ambig	P1	0.364568780365339	Conserved/Ambiguous	61.1459527000708	chr3R	23773724	23774724	chr3R_23773724_23774724	-0.337053406126551	0.051492890914917	-0.158901134908093	0.349273455313791	-0.178410643553446	0.463235363079061	0.878339467714526	1	0.691899606796116	P2	P2	2.12115166025403	Conserved/Ambiguous	47.1442008951043	start	0	AccC_ExpD	23774724
CG10198	0.144402631889067	1.78255711802086e-09	0.396091600998745	5.94294083156005e-11	-0.25167909120832	0	4.2911777760387e-08	1.73510012507653e-09	0	Ambig	P1	0.364568780365339	Conserved/Ambiguous	61.1459527000708	chr3R	23780909	23781909	chr3R_23780909_23781909	0.448206123120937	4.69323781184724e-11	0.687458666314675	3.68334292887035e-11	-0.239235088655106	0.00112279665783621	3.37705524746964e-09	1.70456471379917e-09	0.00897362419782343	P1	P1	0.651975376968739	Cis_+_Trans,same	74.1826212158745	end	0	AccD_ExpD_S	23781909
CG10198	0.144402631889067	1.78255711802086e-09	0.396091600998745	5.94294083156005e-11	-0.25167909120832	0	4.2911777760387e-08	1.73510012507653e-09	0	Ambig	P1	0.364568780365339	Conserved/Ambiguous	61.1459527000708	chr3R	23781121	23782121	chr3R_23781121_23782121	0.431756391358689	4.80531195187067e-11	0.657333164594868	3.85413468496172e-11	-0.225557234415229	0.00167461467613683	3.42142147188059e-09	1.76505365997852e-09	0.0124014184319447	P1	P1	0.656830378587078	Cis_+_Trans,same	74.4507606528555	end	0	AccD_ExpD_S	23782121
CG10200	0.45170862960876	5.39950525536738e-11	0.199310401542316	3.38290376625219e-08	0.252388264555358	4.66002170553406e-07	1.67655476103736e-09	7.9548557020709e-07	2.33237634601857e-06	P1	P1	2.26635753133464	Cis_+_Trans,opposing	44.1236647869547	chr2R	14807918	14808918	chr2R_14807918_14808918	-0.0863828468177524	0.32847803643306	-0.294368948434515	0.000803733593897737	0.208034959849221	0.0972496476136206	1	0.0186429141512027	0.261722970070931	Ambig	P2	0.293450947449265	Conserved/Ambiguous	58.5977882385113	start	0	AccC_ExpD	14808918
CG10210	0.131139715309849	4.01065007288531e-07	0.223414632867967	6.45138240033052e-11	-0.0922577037282817	0.0132217469335709	8.53619708540662e-06	1.73510012507653e-09	0.0265873062063241	Ambig	Ambig	0.586979078435519	Conserved/Ambiguous	70.7703604906862	chr3R	23772359	23773359	chr3R_23772359_23773359	0.262810978291949	0.00136055219307538	0.0500907430148288	0.603320127375702	0.212781407471198	0.0926809752466224	0.0354831135418528	1	0.255651600926811	P1	Ambig	5.24669754278044	Conserved/Ambiguous	19.0596082935259	end	0	AccD_ExpD_S	23773359
CG10214	-0.0797867798242943	0.0581038101313069	-0.0707167114848043	0.121133790557601	-0.00909979331320978	0.881383376845941	0.678744465815199	1	0.916561217997938	P2	Ambig	1.12825919289868	Conserved/Ambiguous	88.6321162986349	chr3R	23766988	23767988	chr3R_23766988_23767988	-0.125985108655965	0.30125496276831	-0.194942693760022	0.137317233243716	0.0688886983569191	0.703918060048557	1	1	0.854083545256076	Ambig	P2	0.646267404158552	Conserved/Ambiguous	73.8698324227337	end	0	AccC_ExpC	23767988
CG10219	0.534921009093081	5.65557613118437e-11	0.850343520312504	5.05282910681886e-11	-0.315413338573133	0	1.67655476103736e-09	1.73510012507653e-09	0	P1	P1	0.62906460308711	Cis_+_Trans,same	72.9428974006965	chr3R	23760100	23761100	chr3R_23760100_23761100	0.17281685725184	0.13796523785228	0.0715091547492645	0.558599401189607	0.101302295239332	0.549313234348343	1	1	0.75685388345002	Ambig	Ambig	2.41670955079521	Conserved/Ambiguous	41.3785760755137	end	0	AccC_ExpD	23761100
CG10221	0.106263715168863	0.0001029861073945	0.16485705413445	1.24336051694879e-08	-0.058574152087063	0.142108416495391	0.00171074599939021	2.98748708141769e-07	0.210388736733417	Ambig	P1	0.644580941511906	Cis	73.777920838405	chr3R	23757517	23758517	chr3R_23757517_23758517	0.218362307799205	0.00100206448866836	0.190367804478319	0.00654332626835925	0.0280610845188572	0.773942433566589	0.0270455639734695	0.123704000303051	0.892360979024157	Ambig	P1	1.14705482052284	Conserved/Ambiguous	87.1797914195758	end	0	AccD_ExpD_S	23758517
CG10221	0.106263715168863	0.0001029861073945	0.16485705413445	1.24336051694879e-08	-0.058574152087063	0.142108416495391	0.00171074599939021	2.98748708141769e-07	0.210388736733417	Ambig	P1	0.644580941511906	Cis	73.777920838405	chr3R	23758057	23759057	chr3R_23758057_23759057	0.279711629194132	1.92582825595193e-05	0.335051491091636	2.3052755355397e-06	-0.0552699898231504	0.568129916604601	0.000747423197776811	7.12177847823702e-05	0.772144767399451	P1	P1	0.834831769537272	Cis	85.8245164822994	end	0	AccD_ExpD_S	23759057
CG10222	-0.139689475374426	0.00193068427998	-0.0429117521668318	0.372112389213659	-0.0967586627440714	0.142246141792327	0.0278865997315005	1	0.210487287354529	P2	P1	3.25527316692506	Conserved/Ambiguous	30.7193881656513	chr3L	13410621	13411621	chr3L_13410621_13411621	0.0678481146041859	0.551343089175979	0.247059163027638	0.0181341296721292	-0.179283191754087	0.24420997042593	1	0.317848507801255	0.474551828115409	Ambig	P1	0.27462294364122	Conserved/Ambiguous	57.9583457606878	start	0	AccC_ExpD	13411621
CG10222	-0.139689475374426	0.00193068427998	-0.0429117521668318	0.372112389213659	-0.0967586627440714	0.142246141792327	0.0278865997315005	1	0.210487287354529	P2	P1	3.25527316692506	Conserved/Ambiguous	30.7193881656513	chr3L	13410879	13411879	chr3L_13410879_13411879	0.101217295880674	0.539898995832684	0.31403299046724	0.0500052132030357	-0.213140918756789	0.35260868609845	1	0.777295421045304	0.592316466361186	Ambig	P1	0.322314212051657	Conserved/Ambiguous	59.6059171022072	start	0	AccC_ExpD	13411879
CG10222	-0.139689475374426	0.00193068427998	-0.0429117521668318	0.372112389213659	-0.0967586627440714	0.142246141792327	0.0278865997315005	1	0.210487287354529	P2	P1	3.25527316692506	Conserved/Ambiguous	30.7193881656513	chr3L	13411953	13412953	chr3L_13411953_13412953	-0.00749400012467094	0.926355298014257	0.268792646591675	0.00497671501553393	-0.276569374953984	0.0295454331270277	1	0.0968698855225594	0.115591552644834	Ambig	P1	0.0278802274530044	Conserved/Ambiguous	49.3125770675317	end	0	AccC_ExpD	13412953
