id,chrom,branch,bias,tissue_number,testis_value,ovary_value,adj_pvalue
CG33221,chrX,6,male,1,5.17,1.67,2.23E-19
CG33240,chrX,6,NA,NA,NA,NA,NA
CG32496,chrX,6,NA,NA,NA,NA,NA
CG18331,chr3L,6,unbiased,0,1.66,1.83,0.176978792
CG33243,chrX,6,NA,NA,NA,NA,NA
CG8234,chr2R,5,male,3,5.74,1.99,5.37E-18
CG10476,chr2R,5,unbiased,0,1.66,2.04,0.003985996
CG33667,chrX,5,NA,NA,NA,NA,NA
CG33669,chrX,5,NA,NA,NA,NA,NA
CG30374,chr2R,5,unbiased,0,1.83,1.66,0.183520466
CG13793,chr2L,5,unbiased,3,1.85,1.91,0.731691994
CG6999,chrX,5,NA,NA,NA,NA,NA
CG11466,chr3R,5,male,12,5.3,4.86,0.021633817
CG34332,chrX,5,NA,NA,NA,NA,NA
CG9807,chrX,5,NA,NA,NA,NA,NA
CG15635,chr2L,5,unbiased,2,2.6,2.09,0.043565569
CG12224,chr3R,5,unbiased,2,1.61,1.67,0.755747475
CG1773,chr2R,5,unbiased,6,2.19,2.01,0.445936449
CG12725,chrX,5,male,1,7.32,1.82,2.09E-18
CG32581,chrX,5,NA,NA,NA,NA,NA
CG32071,chr3L,5,unbiased,0,2.06,2.44,0.069005291
CG10174,chr2L,5,male,2,8.69,2.18,1.70E-19
CG33926,chr3L,5,NA,NA,NA,NA,NA
CG32825,chrX,5,NA,NA,NA,NA,NA
CG12700,chrX,5,male,2,7.79,1.73,1.86E-21
CG9573,chr2L,5,male,2,6.26,2.49,2.09E-22
CG32598,chrX,5,NA,NA,NA,NA,NA
CG32706,chrX,5,NA,NA,NA,NA,NA
CG32652,chrX,5,male,3,13.45,2.06,1.09E-27
CG17440,chrX,5,male,1,7.35,1.95,2.26E-19
CG32673,chrX,5,NA,NA,NA,NA,NA
CG14810,chrX,5,male,1,7.6,1.83,1.25E-24
CG5334,chrX,5,male,1,5.39,2.02,2.73E-21
CG18157,chrX,5,male,1,5.04,1.72,3.77E-22
CG17024,chr2L,5,unbiased,0,1.52,1.84,0.171251182
CG31909,chr2L,5,NA,NA,NA,NA,NA
CG32021,chr4,5,unbiased,0,1.53,2.22,5.43E-06
CG1924,chrX,5,male,1,4.32,1.83,2.41E-20
CG32616,chrX,5,NA,NA,NA,NA,NA
CG2885,chrX,5,male,1,6.16,2.52,1.53E-21
CG2941,chrX,5,female,11,3.73,8.63,1.05E-22
CG7804,chr3L,5,male,4,9.59,1.72,2.14E-20
CG12493,chr3L,5,male,6,10.61,2.33,1.37E-26
CG33797,chr4,5,NA,NA,NA,NA,NA
CG32670,chrX,5,male,1,7.15,1.86,1.25E-25
CG12184,chrX,5,male,3,8.93,2,1.30E-21
CG15578,chrX,5,male,3,10.06,1.82,2.51E-19
CG3410,chr2L,5,unbiased,1,1.41,1.71,0.371829715
CG11260,chr4,5,unbiased,0,1.01,1.38,0.003931288
CG9906,chrX,5,male,1,5.12,2.09,2.73E-20
CG18477,chr2L,5,NA,NA,NA,NA,NA
CG9902,chrX,5,female,3,4.61,5.14,0.00515093
CG8821,chr2R,5,male,4,9.64,1.71,4.71E-19
CG33252,chrX,5,male,3,9.63,1.75,1.33E-18
CG10781,chrX,5,unbiased,0,1.19,1.43,0.071345894
CG33244,chrX,5,NA,NA,NA,NA,NA
CG5418,chr2L,5,unbiased,0,1.97,2.11,0.305029433
CG11231,chr4,5,unbiased,0,1.54,2.14,0.000724842
CG17797,chr2L,5,unbiased,2,2.45,2.04,0.209442182
CG18478,chr2L,5,NA,NA,NA,NA,NA
CG4021,chr2R,5,male,3,9.55,1.62,5.31E-21
CG33246,chrX,5,NA,NA,NA,NA,NA
CG33242,chrX,5,NA,NA,NA,NA,NA
CG11942,chrX,5,male,1,4.74,2.23,1.07E-23
CG33245,chrX,5,NA,NA,NA,NA,NA
CG3875,chr2R,5,male,2,9.31,1.85,9.06E-18
CG10993,chrX,5,male,3,8.1,2.08,4.91E-22
CG18275,chrX,5,unbiased,2,1.74,2.36,0.00975798
CG15172,chr2L,5,male,2,10.88,1.68,7.26E-22
CG3927,chr2R,5,male,3,10.43,2.37,1.17E-26
CG33454,chr2R,5,unbiased,0,1.34,1.58,0.066350083
CG33241,chrX,5,NA,NA,NA,NA,NA
CG18495,chr2R,5,NA,NA,NA,NA,NA
CG10950,chr2R,4,male,1,9.89,1.85,1.54E-18
CG30002,chr2R,4,male,5,3.99,2.06,9.20E-08
CG6536,chr2R,4,male,11,6.29,3.14,1.20E-22
CG34102,chr2L,4,unbiased,2,3.09,2.54,0.063159594
CG9129,chr3L,4,male,2,12.36,2.03,6.66E-23
CG10529,chr3L,4,unbiased,0,1.46,2.04,0.000309425
CG8358,chr3R,4,unbiased,3,2.09,2.15,0.802147801
CG33124,chr2L,4,unbiased,0,1.91,2.21,0.069187921
CG14031,chr2L,4,male,9,3.55,2.55,0.006380917
CG34098,chr2R,4,NA,NA,NA,NA,NA
CG11106,chrX,4,male,3,12.63,2.07,1.18E-28
CG5999,chr3R,4,unbiased,3,1.95,2.17,0.699142124
CG33333,chr3R,4,male,4,7.79,2.38,1.41E-09
CG11825,chr2R,4,female,9,3.82,7.92,4.76E-15
CG15527,chr3R,4,male,1,7.58,2.66,1.49E-28
CG1442,chr3R,4,male,3,4.6,2.1,7.14E-12
CG33301,chr2L,4,NA,NA,NA,NA,NA
CG33300,chr2L,4,male,1,3.6,1.78,7.98E-14
CG31060,chr3R,4,unbiased,0,1.27,1.74,0.005073235
CG8931,chrX,4,female,12,6.72,8.34,5.58E-14
CG11112,chr2R,4,unbiased,2,2.07,1.63,0.172344356
CG30018,chr2R,4,unbiased,0,1.45,1.64,0.193839445
CG31077,chr3R,4,unbiased,3,1.92,1.95,0.973216597
CG9476,chr3R,4,male,2,8.45,2.58,4.45E-25
CG14610,chr3R,4,unbiased,0,2.8,2.03,3.02E-06
CG33296,chr2L,4,unbiased,4,1.43,1.82,0.055403537
CG11113,chr2R,4,unbiased,1,1.38,1.55,0.37979267
CG14628,chrX,4,male,3,9.48,2.21,7.40E-21
CG17177,chr3L,4,unbiased,1,2.49,0.99,0.004319823
CG5245,chr3R,4,female,4,2.24,5.01,1.92E-24
CG14506,chr3R,4,male,1,4.96,1.86,1.23E-24
CG31791,chr2L,4,unbiased,1,1.77,1.97,0.170427213
CG4986,chr3R,4,unbiased,2,4.39,2.08,9.77E-05
CG13977,chr3R,4,unbiased,3,1.79,1.72,0.738712587
CG32601,chrX,4,NA,NA,NA,NA,NA
CG5770,chr2R,4,unbiased,1,2.01,1.97,0.932076533
CG15460,chrX,4,male,1,5.07,1.83,7.54E-25
CG32595,chrX,4,male,2,8.01,2.02,3.35E-29
CG2826,chr2L,4,unbiased,2,1.58,1.6,0.913521398
CG8219,chr3L,4,male,1,8.9,2.27,5.29E-21
CG12055,chr2R,4,female,12,8.25,12.12,5.75E-35
CG31817,chr2L,4,male,4,9.16,2.08,7.53E-27
CG31219,chr3R,4,unbiased,0,1.79,1.69,0.551037789
CG31208,chr3R,4,unbiased,1,1.54,2.1,0.00040179
CG32582,chrX,4,male,4,8.93,2.11,3.86E-20
CG4960,chr3R,4,male,2,8.94,1.72,1.13E-28
CG14527,chr3R,4,unbiased,0,1.7,1.94,0.354697188
CG14891,chr3R,4,male,3,11.35,1.72,1.15E-20
CG2861,chrX,4,male,2,6.82,1.71,2.13E-20
CG10474,chr2R,4,unbiased,0,1.64,1.95,0.0269675
CG31220,chr3R,4,male,1,3.05,2.13,6.14E-08
CG33235,chrX,4,male,1,7.28,1.52,1.72E-26
CG14027,chr2L,4,unbiased,6,2.46,2.31,0.788866852
CG3176,chrX,4,NA,NA,NA,NA,NA
CG6639,chr2L,4,unbiased,1,1.58,1.83,0.109451584
CG4580,chr2L,4,unbiased,0,1.09,1.23,0.167782596
CG15484,chr2L,4,unbiased,1,3.32,3.38,0.728641225
CG17031,chr2L,4,male,2,8.53,1.65,7.87E-18
CG31769,chr2L,4,unbiased,6,1.57,1.88,0.307764491
CG31770,chr2L,4,unbiased,3,1.56,1.43,0.739673001
CG3212,chr2L,4,unbiased,1,1.93,1.96,0.851731105
CG2871,chrX,4,male,3,10.47,1.51,1.72E-20
CG4988,chr2L,4,male,2,10.16,2.11,3.12E-26
CG9030,chrX,4,male,3,9.99,1.89,1.48E-18
CG10477,chr3L,4,unbiased,2,2.13,2.58,0.049133106
CG10478,chr3L,4,male,1,8.55,1.68,1.54E-20
CG31775,chr2L,4,NA,NA,NA,NA,NA
CG15882,chrX,4,male,1,6.24,2.11,8.20E-24
CG33225,chr2R,4,male,3,8.85,2.28,2.12E-29
CG34105,chr2R,4,NA,NA,NA,NA,NA
CG1638,chr3R,4,male,1,9.67,3.16,2.42E-24
CG11259,chr3L,4,female,12,7.52,9.03,4.59E-12
CG30354,chr2R,4,male,5,10.71,2.1,3.81E-22
CG32971,chr2L,4,male,3,8.77,1.33,2.21E-24
CG14251,chr3R,4,male,2,7.74,1.97,2.17E-24
CG33494,chr3R,4,male,11,5.93,2.91,1.04E-12
CG8652,chr2R,4,unbiased,0,1.99,1.93,0.611668961
CG33495,chr3R,4,male,3,5.23,1.91,3.10E-09
CG8799,chr2R,4,female,6,3.91,5.77,0.000496286
CG10700,chr2L,4,unbiased,0,1.9,1.65,0.10771015
CG31427,chr3R,4,unbiased,0,1.51,1.6,0.538553994
CG14719,chr3R,4,male,3,10.75,1.72,2.23E-18
CG31406,chr3R,4,male,3,9.28,1.57,2.49E-18
CG14227,chrX,4,unbiased,0,2.03,2.17,0.20239174
CG33723,chr2L,4,NA,NA,NA,NA,NA
CG16827,chr2R,4,unbiased,0,1.93,1.9,0.855413503
CG32853,chr3R,4,unbiased,0,1.23,1.45,0.040408119
CG33477,chr2R,4,unbiased,0,1.32,1.43,0.483053263
CG33710,chr3L,4,NA,NA,NA,NA,NA
CG16824,chr2L,4,NA,NA,NA,NA,NA
CG33698,chr3R,4,NA,NA,NA,NA,NA
CG11313,chr3R,4,unbiased,1,2.45,2.5,0.758691952
CG11315,chr3R,4,male,7,6.2,2.19,1.45E-20
CG31454,chr3R,4,unbiased,5,1.9,2.11,0.350027171
CG30447,chr2R,4,male,3,9.86,2.03,1.92E-18
CG31507,chr3R,4,unbiased,0,1.38,1.53,0.356012111
CG33533,chr2L,4,unbiased,3,1.65,1.78,0.614960631
CG31477,chr3R,4,male,1,8.18,3.05,1.25E-23
CG31495,chr3R,4,female,7,3.24,6.14,1.52E-15
CG8719,chr2R,4,male,2,3.12,1.79,9.08E-10
CG15636,chr2L,4,male,2,9.92,2.13,2.34E-19
CG10734,chr2R,4,male,3,12.42,1.99,1.67E-21
CG30448,chr2R,4,male,3,6.59,1.76,1.81E-29
CG30414,chr2R,4,unbiased,1,1.95,2.2,0.147871945
CG6289,chr3L,4,male,4,5.54,2.29,6.26E-09
CG11322,chr2L,4,male,2,8.76,1.98,1.23E-16
CG33654,chr3R,4,NA,NA,NA,NA,NA
CG14708,chr3R,4,male,2,10.19,2,6.57E-23
CG30473,chr2R,4,male,3,5.34,1.47,4.10E-13
CG33647,chr3L,4,NA,NA,NA,NA,NA
CG30393,chr2R,4,male,3,10.72,1.72,1.69E-19
CG3290,chr2R,4,unbiased,3,1.56,1.71,0.541343646
CG4793,chr2L,4,unbiased,1,1.75,1.88,0.550558153
CG33552,chr2L,4,NA,NA,NA,NA,NA
CG34054,chr2R,4,unbiased,1,1.9,2.03,0.598811304
CG11756,chrX,4,male,2,8.6,2.38,4.44E-26
CG30083,chr2R,4,unbiased,2,1.61,1.87,0.275048244
CG30087,chr2R,4,male,1,2.69,1.89,2.83E-06
CG30091,chr2R,4,unbiased,1,1.5,1.81,0.109121444
CG8856,chr2R,4,male,1,5.58,1.59,9.77E-24
CG30098,chr2R,4,unbiased,1,1.53,1.71,0.47403396
CG30108,chr2R,4,male,9,5.96,4.76,9.53E-07
CG31664,chr2L,4,unbiased,2,2.59,2.14,0.209262106
CG30075,chr2R,4,male,3,7.85,1.92,4.26E-24
CG31681,chr2L,4,unbiased,2,1.55,1.86,0.079948136
CG14377,chr3R,4,NA,NA,NA,NA,NA
CG30039,chr2R,4,male,3,12.66,1.69,2.43E-28
CG17011,chr2L,4,unbiased,2,3.52,2.01,0.000443578
CG1701,chr2R,4,unbiased,2,2.31,1.64,0.037858535
CG14088,chr3L,4,unbiased,0,1.63,2.01,0.023664677
CG30054,chr2R,4,unbiased,2,1.16,1.36,0.156065558
CG6208,chr3R,4,male,3,3.19,2.38,8.99E-06
CG8860,chr2R,4,female,12,9.81,11.22,4.63E-21
CG16992,chr3L,4,unbiased,3,2.23,1.66,0.110521581
CG31362,chr3R,4,NA,NA,NA,NA,NA
CG4650,chr2L,4,unbiased,1,1.6,1.71,0.508494499
CG16735,chr3R,4,unbiased,0,1.36,1.61,0.06447397
CG33017,chr2R,4,male,2,9.11,1.8,1.61E-30
CG33923,chr2L,4,NA,NA,NA,NA,NA
CG33465,chr2R,4,unbiased,1,1.84,1.87,0.93125991
CG33792,chr2R,4,NA,NA,NA,NA,NA
CG33467,chr2R,4,NA,NA,NA,NA,NA
CG33764,chr3L,4,NA,NA,NA,NA,NA
CG30287,chr2R,4,unbiased,1,1.73,2.22,0.135657364
CG30288,chr2R,4,unbiased,1,1.27,1.47,0.218620982
CG14374,chr3R,4,NA,NA,NA,NA,NA
CG14193,chrX,4,unbiased,2,2.37,2.16,0.277616888
CG10852,chr3L,4,male,4,5.92,2.45,8.15E-06
CG31658,chr2L,4,female,4,3.24,6.47,9.79E-21
CG11639,chrX,4,male,1,6.52,1.8,2.07E-21
CG16905,chr3R,4,unbiased,1,2.07,2.15,0.742274861
CG32713,chrX,4,NA,NA,NA,NA,NA
CG16898,chr2R,4,male,6,7.78,1.82,1.92E-15
CG8534,chr3R,4,unbiased,0,2.45,2.33,0.528057406
CG10630,chr3L,4,male,3,10.54,2.44,1.23E-23
CG31002,chr3R,4,unbiased,0,1.87,2.04,0.291380154
CG30289,chr2R,4,unbiased,3,1.51,1.75,0.121180741
CG13801,chr3L,4,male,1,4.99,2.07,4.08E-21
CG32847,chr3L,4,male,2,10.93,1.8,1.96E-20
CG13723,chr3L,4,male,2,9.67,1.73,1.00E-22
CG32301,chr3L,4,male,1,6.79,2.66,2.86E-18
CG18563,chr2L,4,unbiased,1,1.6,1.99,0.008032548
CG1736,chr3R,4,male,1,8.43,2.18,5.26E-19
CG17856,chr3R,4,male,2,10.48,2.28,1.71E-25
CG4318,chrX,4,male,1,5.39,1.8,2.88E-17
CG31960,chr2L,4,male,2,8.17,1.53,4.08E-19
CG34406,chr2L,4,female,4,1.92,5.11,1.38E-25
CG12854,chr2R,4,female,2,2.85,3.96,5.45E-08
CG13686,chr2L,4,unbiased,1,1.56,2.02,0.000232646
CG5347,chrX,4,male,2,7.35,1.67,1.16E-28
CG17802,chr3R,4,female,3,2.84,7.62,4.41E-28
CG18636,chr2L,4,unbiased,0,2,1.76,0.117437495
CG32110,chr3L,4,male,1,7.78,1.93,9.10E-21
CG5348,chr2R,4,male,1,6.8,1.8,6.13E-23
CG15333,chrX,4,male,1,7.75,1.83,9.94E-32
CG12275,chr3R,4,male,2,8.58,3.13,2.72E-22
CG18550,chr3R,4,unbiased,2,2.76,2.32,0.026519768
CG2291,chr2R,4,male,2,11.27,1.81,2.13E-24
CG34328,chrX,4,male,3,6.94,2.83,2.17E-25
CG34329,chrX,4,NA,NA,NA,NA,NA
CG12231,chrX,4,male,1,8.03,1.94,1.40E-24
CG13325,chr2R,4,unbiased,2,1.58,1.68,0.658516577
CG34335,chrX,4,NA,NA,NA,NA,NA
CG32282,chr3L,4,unbiased,8,3.06,3.5,0.06108682
CG4375,chr2L,4,male,4,13.02,1.98,2.10E-26
CG10090,chr3R,4,male,2,10.89,2.12,1.23E-21
CG32283,chr3L,4,unbiased,2,2.15,2.05,0.672051447
CG31932,chr2L,4,male,1,2.73,1.88,1.66E-06
CG17300,chr3L,4,male,2,10.45,2.1,1.50E-23
CG32284,chr3L,4,unbiased,6,2.19,1.62,0.25432557
CG18538,chr2R,4,unbiased,0,1.42,1.67,0.031018247
CG18545,chr3R,4,male,3,8.7,1.76,1.58E-21
CG5440,chr2L,4,male,1,8.21,2.24,3.62E-18
CG31941,chr2L,4,unbiased,2,2.15,1.73,0.23626993
CG7594,chr3L,4,unbiased,0,1.65,1.74,0.562908722
CG17795,chr3L,4,unbiased,2,1.67,1.23,0.11387017
CG13656,chr3R,4,unbiased,0,1.78,2.03,0.133590242
CG32382,chr3L,4,unbiased,2,1.48,1.76,0.166626011
CG7815,chr3L,4,male,3,10.53,1.57,4.74E-19
CG32383,chr3L,4,unbiased,1,1.71,1.93,0.178189764
CG5372,chr2R,4,unbiased,0,1.87,2.26,0.022156468
CG13577,chr2R,4,male,2,8.22,2.32,1.60E-23
CG7676,chr3R,4,male,3,8.71,2.58,2.70E-22
CG9777,chrX,4,male,3,8.85,2.05,4.38E-20
CG32072,chr3L,4,unbiased,2,1.9,2,0.698538749
CG12721,chrX,4,female,2,2.08,6.01,1.35E-23
CG12717,chrX,4,female,10,2.43,6.49,8.20E-24
CG13560,chr2R,4,unbiased,0,1.8,2.26,0.075895954
CG13559,chr2R,4,unbiased,2,1.88,2.22,0.062633523
CG18814,chr3L,4,unbiased,1,1.92,2.02,0.68368665
CG18823,chrX,4,male,1,3.1,1.95,3.62E-08
CG5609,chr3R,4,unbiased,0,2.35,2.23,0.615161032
CG13540,chr2R,4,male,3,9.53,2.36,1.04E-21
CG9793,chr3R,4,female,4,2.51,6.33,2.20E-19
CG7824,chr3R,4,female,9,2.84,7.85,4.67E-25
CG12491,chr2R,4,NA,NA,NA,NA,NA
CG3678,chr3R,4,NA,NA,NA,NA,NA
CG34432,chr3R,4,NA,NA,NA,NA,NA
CG18672,chr3R,4,unbiased,1,1.91,1.79,0.43823914
CG34436,chr3R,4,NA,NA,NA,NA,NA
CG7627,chr2L,4,female,12,3.71,10.43,1.14E-31
CG17760,chr2R,4,unbiased,6,1.71,1.54,0.445703015
CG4259,chr2L,4,male,7,3.55,2.33,0.001378803
CG1361,chr3R,4,male,3,6.39,1.68,1.33E-13
CG13609,chr3R,4,female,4,3.08,3.69,6.77E-05
CG10232,chr3R,4,unbiased,0,1.89,1.99,0.413143171
CG32368,chr3L,4,male,9,2.33,1.05,0.002944111
CG12477,chr3L,4,male,3,8.16,2.05,1.12E-19
CG18754,chr3R,4,unbiased,0,3.21,1.75,4.60E-05
CG32371,chr3L,4,male,3,11.66,1.33,1.23E-20
CG12744,chr2R,4,female,4,6.45,8.65,1.21E-18
CG18787,chr2L,4,NA,NA,NA,NA,NA
CG15042,chrX,4,male,1,3.65,1.81,2.01E-17
CG12684,chrX,4,male,2,9.6,2.08,3.61E-21
CG18518,chr2L,4,male,1,8.52,1.8,7.87E-19
CG17239,chr2L,4,unbiased,1,2.2,2.64,0.100734168
CG32192,chr3L,4,male,3,12.3,1.55,3.39E-27
CG8137,chr2L,4,unbiased,2,4.4,2.06,0.00012901
CG5509,chr3R,4,male,3,9.88,2.6,5.36E-20
CG18030,chr3R,4,unbiased,2,1.01,1.05,0.852061122
CG7327,chr3L,4,unbiased,0,1.42,1.51,0.627796431
CG17991,chr3R,4,male,2,10.58,2.27,1.52E-20
CG8117,chrX,4,male,1,4.47,1.96,2.78E-16
CG14932,chr2L,4,male,1,9.3,2.29,3.96E-23
CG31865,chr2L,4,NA,NA,NA,NA,NA
CG12133,chr2R,4,unbiased,0,2.06,2.15,0.605460891
CG17234,chr2L,4,unbiased,0,1.75,1.71,0.877069092
CG18420,chr2L,4,unbiased,0,1.4,1.59,0.240210538
CG15403,chr2L,4,male,2,10.29,2.02,7.91E-21
CG1795,chrX,4,female,12,3.32,7.72,2.49E-25
CG7362,chr3R,4,unbiased,0,5.05,1.29,3.10E-18
CG12112,chrX,4,female,12,4.74,8.15,1.60E-13
CG6687,chr3R,4,unbiased,6,2.72,2.87,0.582818573
CG6663,chr3L,4,male,3,6.45,2.08,3.29E-13
CG31810,chr2L,4,unbiased,5,1.72,2.07,0.225118061
CG5265,chr3R,4,male,3,10.87,2.09,7.26E-24
CG32212,chr3L,4,unbiased,1,3.01,3.14,0.434955045
CG17195,chr3R,4,male,2,9.14,1.72,1.97E-21
CG17196,chr3R,4,male,2,9.87,1.74,1.09E-21
CG32568,chrX,4,male,2,9.48,1.8,1.96E-17
CG17200,chr3R,4,unbiased,1,1.61,1.8,0.17005854
CG18108,chr2R,4,unbiased,5,1.74,1.75,0.989146534
CG13898,chr3L,4,male,3,11.19,1.55,4.77E-21
CG18107,chr2R,4,unbiased,4,1.74,1.94,0.490644783
CG9616,chr3R,4,unbiased,4,1.25,1.45,0.474465667
CG8160,chr2R,4,unbiased,1,1.69,1.32,0.068906419
CG17216,chr3R,4,male,2,8.53,2.16,2.59E-18
CG2559,chrX,4,unbiased,2,1.54,1.83,0.136674312
CG12992,chrX,4,male,3,9.51,2.29,3.16E-19
CG5302,chr3R,4,unbiased,0,1.29,1.79,0.010570224
CG31883,chr2L,4,unbiased,2,3.08,1.59,0.002897229
CG32274,chr3L,4,unbiased,0,1.71,2.15,0.038560862
CG17268,chr3R,4,male,1,7.95,1.94,3.73E-18
CG18469,chr2R,4,male,3,8.89,1.95,9.48E-21
CG12181,chrX,4,unbiased,0,1.82,1.85,0.973121308
CG7157,chr2L,4,male,3,7.62,2.61,1.78E-13
CG2512,chr3R,4,female,5,2.05,2.37,0.033789825
CG6737,chr2L,4,male,1,8.94,2.01,7.20E-21
CG3217,chr3L,4,female,12,7.04,7.64,0.008203947
CG15394,chr2L,4,male,9,8.91,4.75,5.21E-12
CG31882,chr2L,4,male,2,10.77,2.13,5.77E-20
CG6730,chr2L,4,unbiased,2,1.45,1.51,0.852601931
CG10328,chr3R,4,unbiased,12,9.04,9.44,0.273541892
CG13324,chr2R,4,male,4,4.84,1.69,2.92E-08
CG7355,chr3L,3,male,1,4.84,2.04,0.001358509
CG32198,chr3L,3,unbiased,1,1.98,2.34,0.239799769
CG15734,chrX,3,male,2,10.03,1.5,9.86E-18
CG12766,chr3L,3,unbiased,6,2.75,2.71,0.830637316
CG18096,chr2L,3,unbiased,1,1.64,1.85,0.656631189
CG3748,chr2L,3,male,2,9.54,1.47,9.86E-20
CG12951,chr3R,3,unbiased,0,1.62,1.87,0.067395787
CG10956,chr2R,3,unbiased,1,1.43,1.72,0.084694754
CG11362,chr2R,3,male,2,7.13,1.18,9.68E-24
CG1878,chr3R,3,unbiased,1,2.31,3.24,0.134967799
CG31061,chr3R,3,unbiased,0,1.49,1.76,0.050044932
CG5103,chr3L,3,male,2,9.5,2.04,8.16E-22
CG18228,chr3R,3,male,10,4.44,3.55,1.59E-05
CG9806,chrX,3,unbiased,2,1.71,2.07,0.019422174
CG7304,chr3L,3,unbiased,1,1.58,1.73,0.252305079
CG7707,chr3L,3,male,3,10.14,1.61,1.22E-19
CG6081,chr2L,3,male,4,6.27,2,4.26E-25
CG15031,chrX,3,male,1,8.39,1.99,8.80E-19
CG30369,chr2R,3,male,2,10.15,2.44,5.10E-21
CG31206,chr3R,3,male,3,11.09,2.17,2.72E-24
CG33325,chr3R,3,unbiased,2,1.67,1.74,0.623678095
CG8908,chr2R,3,male,1,4.23,2.22,3.40E-12
CG32833,chr2R,3,unbiased,2,1.99,1.95,0.845075889
CG32835,chr2R,3,male,3,10.08,1.3,2.95E-17
CG13029,chr3L,3,male,2,9.42,2.11,5.42E-19
CG32279,chr3L,3,unbiased,0,1.92,1.88,0.896505311
CG18125,chr2L,3,unbiased,0,2.12,1.88,0.33412817
CG32073,chr3L,3,male,1,7.48,3.08,1.73E-21
CG31056,chr3R,3,male,3,7.41,3.05,4.75E-06
CG31501,chr3R,3,male,2,9.33,1.79,1.76E-19
CG33013,chr2R,3,unbiased,2,1.73,2.24,0.021312089
CG33226,chr2R,3,NA,NA,NA,NA,NA
CG30450,chr2R,3,unbiased,3,1.91,1.21,0.025999092
CG14605,chr3R,3,male,2,10.28,2.12,6.24E-24
CG32304,chr3L,3,unbiased,0,1.63,1.8,0.260940129
CG33490,chr3L,3,male,2,9.25,1.74,1.45E-17
CG8838,chr2L,3,male,2,11.49,2.25,4.56E-23
CG15742,chrX,3,male,2,10.04,2.17,8.25E-20
CG18418,chr3L,3,male,4,11.11,2.06,3.72E-21
CG32268,chr3L,3,unbiased,0,1.75,1.99,0.068474905
CG31438,chr3R,3,unbiased,1,1.46,1.61,0.280717479
CG33489,chr3L,3,male,2,9.38,1.69,4.14E-21
CG7579,chr3L,3,unbiased,2,1.63,1.62,0.97846977
